Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,207,-,-,-,-
ACQUAPPESA,349,-,-,-,-
ACRI,3783,34,-,-,-
AIELLO CALABRO,320,-,-,-,-
AIETA,63,-,-,-,-
ALBIDONA,362,-,-,-,-
ALESSANDRIA DEL CARRETTO,48,-,-,-,-
ALTILIA,183,-,-,-,-
ALTOMONTE,881,-,-,-,-
ALTRA ASP,1049,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4446,25,-,-,-
AMENDOLARA,290,-,-,-,-
APRIGLIANO,575,10,-,-,-
BELMONTE CALABRO,398,-,-,-,-
BELSITO,252,-,-,-,-
BELVEDERE MARITTIMO,1717,10,-,-,-
BIANCHI,371,-,-,-,-
BISIGNANO,2054,20,-,-,-
BOCCHIGLIERO,137,7,-,-,-
BONIFATI,395,7,-,-,-
BUONVICINO,323,-,-,-,-
CALOPEZZATI,482,-,-,-,-
CALOVETO,363,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,135,-,-,-,-
CARIATI,1221,16,-,-,-
CAROLEI,708,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2599,22,-,-,-
CASSANO ALLO IONIO,3949,30,-,-,-
CASTIGLIONE COSENTINO,863,8,-,-,-
CASTROLIBERO,2470,18,-,-,-
CASTROREGIO,45,-,-,-,-
CASTROVILLARI,4065,31,-,-,-
CELICO,546,7,-,-,-
CELLARA,119,-,-,-,-
CERCHIARA DI CALABRIA,454,9,-,-,-
CERISANO,742,-,-,-,-
CERVICATI,172,-,-,-,-
CERZETO,313,-,-,-,-
CETRARO,2365,24,-,-,-
CIVITA,64,-,-,-,-
CLETO,270,-,-,-,-
COLOSIMI,384,-,-,-,-
CORIGLIANO-ROSSANO,21791,164,-,-,-
COSENZA,17791,150,-,-,-
CROPALATI,230,-,-,-,-
CROSIA,2573,17,-,-,-
DIAMANTE,877,7,-,-,-
DIPIGNANO,1176,10,-,-,-
DOMANICO,318,-,-,-,-
FAGNANO CASTELLO,436,6,-,-,-
FALCONARA ALBANESE,287,-,-,-,-
FIGLINE VEGLIATURO,346,-,-,-,-
FIRMO,331,-,-,-,-
FIUMEFREDDO BRUZIO,803,-,-,-,-
FRANCAVILLA MARITTIMA,635,-,-,-,-
FRASCINETO,426,-,-,-,-
FUSCALDO,1871,8,-,-,-
GRIMALDI,405,-,-,-,-
GRISOLIA,479,-,-,-,-
GUARDIA PIEMONTESE,409,-,-,-,-
LAGO,599,-,-,-,-
LAINO BORGO,439,-,-,-,-
LAINO CASTELLO,175,-,-,-,-
LAPPANO,175,-,-,-,-
LATTARICO,1022,6,-,-,-
LONGOBARDI,515,23,-,-,-
LONGOBUCCO,753,-,-,-,-
LUNGRO,350,6,-,-,-
LUZZI,2177,17,-,-,-
MAIERA',216,-,-,-,-
MALITO,154,-,-,-,-
MALVITO,299,8,-,-,-
MANDATORICCIO,535,-,-,-,-
MANGONE,487,-,-,-,-
MARANO MARCHESATO,944,8,-,-,-
MARANO PRINCIPATO,693,-,-,-,-
MARZI,226,-,-,-,-
MENDICINO,2477,9,-,-,-
MONGRASSANO,447,6,-,-,-
MONTALTO UFFUGO,6481,26,-,-,-
MONTEGIORDANO,375,-,-,-,-
MORANO CALABRO,321,10,-,-,-
MORMANNO,267,10,-,-,-
MOTTAFOLLONE,174,-,-,-,-
NOCARA,42,-,-,-,-
ORIOLO,153,-,-,-,-
ORSOMARSO,247,-,-,-,-
PALUDI,197,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3474,32,-,-,-
PAPASIDERO,38,-,-,-,-
PARENTI,571,-,-,-,-
PATERNO CALABRO,378,-,-,-,-
PEDIVIGLIANO,205,-,-,-,-
PIANE CRATI,330,-,-,-,-
PIETRAFITTA,201,-,-,-,-
PIETRAPAOLA,276,-,-,-,-
PLATACI,87,-,-,-,-
PRAIA A MARE,1043,7,-,-,-
RENDE,10527,54,-,-,-
ROCCA IMPERIALE,357,-,-,-,-
ROGGIANO GRAVINA,1399,17,-,-,-
ROGLIANO,1383,11,-,-,-
ROSE,1089,8,-,-,-
ROSETO CAPO SPULICO,195,-,-,-,-
ROTA GRECA,220,-,-,-,-
ROVITO,483,-,-,-,-
SAN BASILE,124,-,-,-,-
SAN BENEDETTO ULLANO,274,-,-,-,-
SAN COSMO ALBANESE,183,6,-,-,-
SAN DEMETRIO CORONE,631,-,-,-,-
SAN DONATO DI NINEA,260,-,-,-,-
SAN FILI,516,6,-,-,-
SAN GIORGIO ALBANESE,350,6,-,-,-
SAN GIOVANNI IN FIORE,4037,34,-,-,-
SAN LORENZO BELLIZZI,78,-,-,-,-
SAN LORENZO DEL VALLO,472,-,-,-,-
SAN LUCIDO,964,9,-,-,-
SAN MARCO ARGENTANO,1621,7,-,-,-
SAN MARTINO DI FINITA,223,-,-,-,-
SAN NICOLA ARCELLA,279,-,-,-,-
SAN PIETRO IN AMANTEA,124,-,-,-,-
SAN PIETRO IN GUARANO,1023,9,-,-,-
SAN SOSTI,380,7,-,-,-
SAN VINCENZO LA COSTA,622,-,-,-,-
SANGINETO,165,-,-,-,-
SANTA CATERINA ALBANESE,114,-,-,-,-
SANTA DOMENICA TALAO,77,-,-,-,-
SANTA MARIA DEL CEDRO,802,-,-,-,-
SANTA SOFIA D'EPIRO,276,7,-,-,-
SANT'AGATA DI ESARO,124,-,-,-,-
SANTO STEFANO DI ROGLIANO,598,-,-,-,-
SARACENA,846,6,-,-,-
SCALA COELI,41,-,-,-,-
SCALEA,2180,8,-,-,-
SCIGLIANO,175,-,-,-,-
SERRA D'AIELLO,159,-,-,-,-
SPEZZANO ALBANESE,1237,19,-,-,-
