Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,66,-,-,-,-
ACQUAPPESA,101,-,-,-,-
ACRI,1671,24,-,-,-
AIELLO CALABRO,80,-,-,-,-
AIETA,7,-,-,-,-
ALBIDONA,113,-,-,-,-
ALESSANDRIA DEL CARRETTO,-,-,-,-,-
ALTILIA,54,-,-,-,-
ALTOMONTE,425,-,-,-,-
ALTRA ASP,751,7,-,-,-
ALTRA REGIONE,579,10,-,-,-
AMANTEA,1273,17,-,-,-
AMENDOLARA,76,-,-,-,-
APRIGLIANO,273,8,-,-,-
BELMONTE CALABRO,149,-,-,-,-
BELSITO,79,-,-,-,-
BELVEDERE MARITTIMO,579,7,-,-,-
BIANCHI,126,-,-,-,-
BISIGNANO,1160,15,-,-,-
BOCCHIGLIERO,111,7,-,-,-
BONIFATI,150,-,-,-,-
BUONVICINO,95,-,-,-,-
CALOPEZZATI,99,-,-,-,-
CALOVETO,133,-,-,-,-
CAMPANA,227,6,-,-,-
CANNA,36,-,-,-,-
CARIATI,550,11,-,-,-
CAROLEI,273,-,-,-,-
CARPANZANO,7,-,-,-,-
CASALI DEL MANCO,1004,18,-,-,-
CASSANO ALLO IONIO,1945,28,-,-,-
CASTIGLIONE COSENTINO,273,-,-,-,-
CASTROLIBERO,1048,10,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1639,22,-,-,-
CELICO,345,7,-,-,-
CELLARA,36,-,-,-,-
CERCHIARA DI CALABRIA,150,-,-,-,-
CERISANO,286,-,-,-,-
CERVICATI,74,-,-,-,-
CERZETO,141,-,-,-,-
CETRARO,839,16,-,-,-
CIVITA,28,-,-,-,-
CLETO,81,-,-,-,-
COLOSIMI,114,-,-,-,-
CORIGLIANO-ROSSANO,9761,143,-,-,-
COSENZA,7997,106,-,-,-
CROPALATI,82,-,-,-,-
CROSIA,1052,12,-,-,-
DIAMANTE,203,-,-,-,-
DIPIGNANO,521,8,-,-,-
DOMANICO,111,-,-,-,-
FAGNANO CASTELLO,172,-,-,-,-
FALCONARA ALBANESE,111,-,-,-,-
FIGLINE VEGLIATURO,148,-,-,-,-
FIRMO,77,-,-,-,-
FIUMEFREDDO BRUZIO,184,-,-,-,-
FRANCAVILLA MARITTIMA,242,-,-,-,-
FRASCINETO,119,-,-,-,-
FUSCALDO,806,-,-,-,-
GRIMALDI,114,-,-,-,-
GRISOLIA,168,-,-,-,-
GUARDIA PIEMONTESE,138,-,-,-,-
LAGO,141,-,-,-,-
LAINO BORGO,153,-,-,-,-
LAINO CASTELLO,55,-,-,-,-
LAPPANO,101,-,-,-,-
LATTARICO,447,-,-,-,-
LONGOBARDI,178,17,-,-,-
LONGOBUCCO,264,-,-,-,-
LUNGRO,126,-,-,-,-
LUZZI,1018,13,-,-,-
MAIERA',58,-,-,-,-
MALITO,53,-,-,-,-
MALVITO,125,-,-,-,-
MANDATORICCIO,236,-,-,-,-
MANGONE,255,-,-,-,-
MARANO MARCHESATO,400,8,-,-,-
MARANO PRINCIPATO,314,-,-,-,-
MARZI,126,-,-,-,-
MENDICINO,1072,-,-,-,-
MONGRASSANO,181,-,-,-,-
MONTALTO UFFUGO,2705,21,-,-,-
MONTEGIORDANO,103,-,-,-,-
MORANO CALABRO,241,8,-,-,-
MORMANNO,153,7,-,-,-
MOTTAFOLLONE,56,-,-,-,-
NOCARA,30,-,-,-,-
ORIOLO,89,-,-,-,-
ORSOMARSO,82,-,-,-,-
PALUDI,65,-,-,-,-
PANETTIERI,17,-,-,-,-
PAOLA,1124,17,-,-,-
PAPASIDERO,14,-,-,-,-
PARENTI,196,-,-,-,-
PATERNO CALABRO,181,-,-,-,-
PEDIVIGLIANO,87,-,-,-,-
PIANE CRATI,185,-,-,-,-
PIETRAFITTA,106,-,-,-,-
PIETRAPAOLA,95,-,-,-,-
PLATACI,36,-,-,-,-
PRAIA A MARE,369,7,-,-,-
RENDE,4434,41,-,-,-
ROCCA IMPERIALE,254,-,-,-,-
ROGGIANO GRAVINA,588,13,-,-,-
ROGLIANO,704,7,-,-,-
ROSE,517,8,-,-,-
ROSETO CAPO SPULICO,123,-,-,-,-
ROTA GRECA,70,-,-,-,-
ROVITO,294,-,-,-,-
SAN BASILE,35,-,-,-,-
SAN BENEDETTO ULLANO,192,-,-,-,-
SAN COSMO ALBANESE,94,6,-,-,-
SAN DEMETRIO CORONE,151,-,-,-,-
SAN DONATO DI NINEA,75,-,-,-,-
SAN FILI,206,-,-,-,-
SAN GIORGIO ALBANESE,85,-,-,-,-
SAN GIOVANNI IN FIORE,2176,30,-,-,-
SAN LORENZO BELLIZZI,14,-,-,-,-
SAN LORENZO DEL VALLO,238,-,-,-,-
SAN LUCIDO,518,7,-,-,-
SAN MARCO ARGENTANO,543,6,-,-,-
SAN MARTINO DI FINITA,97,-,-,-,-
SAN NICOLA ARCELLA,117,-,-,-,-
SAN PIETRO IN AMANTEA,32,-,-,-,-
SAN PIETRO IN GUARANO,316,6,-,-,-
SAN SOSTI,143,6,-,-,-
SAN VINCENZO LA COSTA,243,-,-,-,-
SANGINETO,76,-,-,-,-
SANTA CATERINA ALBANESE,38,-,-,-,-
SANTA DOMENICA TALAO,30,-,-,-,-
SANTA MARIA DEL CEDRO,357,-,-,-,-
SANTA SOFIA D'EPIRO,141,6,-,-,-
SANT'AGATA DI ESARO,97,-,-,-,-
SANTO STEFANO DI ROGLIANO,267,-,-,-,-
SARACENA,252,-,-,-,-
SCALA COELI,29,-,-,-,-
SCALEA,773,7,-,-,-
SCIGLIANO,70,-,-,-,-
SERRA D'AIELLO,57,-,-,-,-
SPEZZANO ALBANESE,664,13,-,-,-
SPEZZANO DELLA SILA,492,12,-,-,-
TARSIA,89,-,-,-,-
TERRANOVA DA SIBARI,683,11,-,-,-
TERRAVECCHIA,17,-,-,-,-
TORANO CASTELLO,531,18,-,-,-
TORTORA,369,6,-,-,-
TREBISACCE,477,10,-,-,-
VACCARIZZO ALBANESE,82,-,-,-,-
VERBICARO,172,-,-,-,-
VILLAPIANA,387,-,-,-,-
ZUMPANO,349,-,-,-,-
