Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,127,-,-,-,-
ACQUAPPESA,162,-,-,-,-
ACRI,2034,27,-,-,-
AIELLO CALABRO,120,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,164,-,-,-,-
ALESSANDRIA DEL CARRETTO,10,-,-,-,-
ALTILIA,99,-,-,-,-
ALTOMONTE,564,-,-,-,-
ALTRA ASP,881,9,-,-,-
ALTRA REGIONE,594,11,-,-,-
AMANTEA,2144,19,-,-,-
AMENDOLARA,192,-,-,-,-
APRIGLIANO,395,9,-,-,-
BELMONTE CALABRO,189,-,-,-,-
BELSITO,119,-,-,-,-
BELVEDERE MARITTIMO,869,10,-,-,-
BIANCHI,194,-,-,-,-
BISIGNANO,1330,17,-,-,-
BOCCHIGLIERO,116,7,-,-,-
BONIFATI,195,-,-,-,-
BUONVICINO,152,-,-,-,-
CALOPEZZATI,165,-,-,-,-
CALOVETO,187,-,-,-,-
CAMPANA,233,6,-,-,-
CANNA,49,-,-,-,-
CARIATI,727,12,-,-,-
CAROLEI,397,-,-,-,-
CARPANZANO,10,-,-,-,-
CASALI DEL MANCO,1558,20,-,-,-
CASSANO ALLO IONIO,2376,29,-,-,-
CASTIGLIONE COSENTINO,402,-,-,-,-
CASTROLIBERO,1439,13,-,-,-
CASTROREGIO,15,-,-,-,-
CASTROVILLARI,2162,23,-,-,-
CELICO,394,7,-,-,-
CELLARA,59,-,-,-,-
CERCHIARA DI CALABRIA,213,-,-,-,-
CERISANO,419,-,-,-,-
CERVICATI,104,-,-,-,-
CERZETO,202,-,-,-,-
CETRARO,1312,16,-,-,-
CIVITA,42,-,-,-,-
CLETO,109,-,-,-,-
COLOSIMI,172,-,-,-,-
CORIGLIANO-ROSSANO,12615,147,-,-,-
COSENZA,10505,114,-,-,-
CROPALATI,115,-,-,-,-
CROSIA,1382,13,-,-,-
DIAMANTE,289,-,-,-,-
DIPIGNANO,695,8,-,-,-
DOMANICO,164,-,-,-,-
FAGNANO CASTELLO,260,-,-,-,-
FALCONARA ALBANESE,180,-,-,-,-
FIGLINE VEGLIATURO,194,-,-,-,-
FIRMO,141,-,-,-,-
FIUMEFREDDO BRUZIO,395,-,-,-,-
FRANCAVILLA MARITTIMA,339,-,-,-,-
FRASCINETO,212,-,-,-,-
FUSCALDO,1086,8,-,-,-
GRIMALDI,167,-,-,-,-
GRISOLIA,318,-,-,-,-
GUARDIA PIEMONTESE,171,-,-,-,-
LAGO,292,-,-,-,-
LAINO BORGO,200,-,-,-,-
LAINO CASTELLO,88,-,-,-,-
LAPPANO,118,-,-,-,-
LATTARICO,564,-,-,-,-
LONGOBARDI,231,17,-,-,-
LONGOBUCCO,414,-,-,-,-
LUNGRO,192,6,-,-,-
LUZZI,1280,14,-,-,-
MAIERA',88,-,-,-,-
MALITO,76,-,-,-,-
MALVITO,158,-,-,-,-
MANDATORICCIO,385,-,-,-,-
MANGONE,293,-,-,-,-
MARANO MARCHESATO,513,8,-,-,-
MARANO PRINCIPATO,399,-,-,-,-
MARZI,173,-,-,-,-
MENDICINO,1443,6,-,-,-
MONGRASSANO,262,-,-,-,-
MONTALTO UFFUGO,3613,22,-,-,-
MONTEGIORDANO,181,-,-,-,-
MORANO CALABRO,255,9,-,-,-
MORMANNO,183,8,-,-,-
MOTTAFOLLONE,85,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,99,-,-,-,-
ORSOMARSO,140,-,-,-,-
PALUDI,93,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1601,23,-,-,-
PAPASIDERO,27,-,-,-,-
PARENTI,346,-,-,-,-
PATERNO CALABRO,245,-,-,-,-
PEDIVIGLIANO,100,-,-,-,-
PIANE CRATI,222,-,-,-,-
PIETRAFITTA,137,-,-,-,-
PIETRAPAOLA,139,-,-,-,-
PLATACI,57,-,-,-,-
PRAIA A MARE,428,7,-,-,-
RENDE,5950,45,-,-,-
ROCCA IMPERIALE,277,-,-,-,-
ROGGIANO GRAVINA,908,13,-,-,-
ROGLIANO,915,8,-,-,-
ROSE,633,8,-,-,-
ROSETO CAPO SPULICO,139,-,-,-,-
ROTA GRECA,88,-,-,-,-
ROVITO,351,-,-,-,-
SAN BASILE,62,-,-,-,-
SAN BENEDETTO ULLANO,207,-,-,-,-
SAN COSMO ALBANESE,124,6,-,-,-
SAN DEMETRIO CORONE,246,-,-,-,-
SAN DONATO DI NINEA,113,-,-,-,-
SAN FILI,319,-,-,-,-
SAN GIORGIO ALBANESE,121,-,-,-,-
