Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,223,-,-,-,-
ACQUAPPESA,425,-,-,-,-
ACRI,4450,41,-,-,-
AIELLO CALABRO,376,-,-,-,-
AIETA,77,-,-,-,-
ALBIDONA,412,-,-,-,-
ALESSANDRIA DEL CARRETTO,55,-,-,-,-
ALTILIA,220,-,-,-,-
ALTOMONTE,1039,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,5250,27,-,-,-
AMENDOLARA,334,-,-,-,-
APRIGLIANO,670,12,-,-,-
BELMONTE CALABRO,521,-,-,-,-
BELSITO,276,-,-,-,-
BELVEDERE MARITTIMO,2057,11,-,-,-
BIANCHI,407,-,-,-,-
BISIGNANO,2365,22,-,-,-
BOCCHIGLIERO,153,7,-,-,-
BONIFATI,430,8,-,-,-
BUONVICINO,403,-,-,-,-
CALOPEZZATI,536,-,-,-,-
CALOVETO,395,-,-,-,-
CAMPANA,319,8,-,-,-
CANNA,160,-,-,-,-
CARIATI,1339,18,-,-,-
CAROLEI,921,-,-,-,-
CARPANZANO,32,-,-,-,-
CASALI DEL MANCO,3021,26,-,-,-
CASSANO ALLO IONIO,4596,32,-,-,-
CASTIGLIONE COSENTINO,1082,11,-,-,-
CASTROLIBERO,3042,20,-,-,-
CASTROREGIO,52,-,-,-,-
CASTROVILLARI,4921,38,-,-,-
CELICO,616,8,-,-,-
CELLARA,151,-,-,-,-
CERCHIARA DI CALABRIA,515,10,-,-,-
CERISANO,920,-,-,-,-
CERVICATI,207,-,-,-,-
CERZETO,363,-,-,-,-
CETRARO,2737,25,-,-,-
CIVITA,75,-,-,-,-
CLETO,359,-,-,-,-
COLOSIMI,440,-,-,-,-
CORIGLIANO-ROSSANO,24826,178,-,-,-
COSENZA,21751,174,-,-,-
CROPALATI,268,-,-,-,-
CROSIA,2969,17,-,-,-
DIAMANTE,1005,8,-,-,-
DIPIGNANO,1477,12,-,-,-
DOMANICO,402,-,-,-,-
FAGNANO CASTELLO,497,6,-,-,-
FALCONARA ALBANESE,372,-,-,-,-
FIGLINE VEGLIATURO,402,-,-,-,-
FIRMO,382,6,-,-,-
FIUMEFREDDO BRUZIO,1048,-,-,-,-
FRANCAVILLA MARITTIMA,697,-,-,-,-
FRASCINETO,497,-,-,-,-
FUSCALDO,2140,9,-,-,-
GRIMALDI,497,-,-,-,-
GRISOLIA,522,-,-,-,-
GUARDIA PIEMONTESE,497,-,-,-,-
LAGO,733,-,-,-,-
LAINO BORGO,480,-,-,-,-
LAINO CASTELLO,189,-,-,-,-
LAPPANO,196,-,-,-,-
LATTARICO,1171,6,-,-,-
LONGOBARDI,621,24,-,-,-
LONGOBUCCO,826,-,-,-,-
LUNGRO,404,9,-,-,-
LUZZI,2518,17,-,-,-
MAIERA',275,-,-,-,-
MALITO,222,-,-,-,-
MALVITO,401,9,-,-,-
MANDATORICCIO,586,-,-,-,-
MANGONE,564,-,-,-,-
MARANO MARCHESATO,1143,8,-,-,-
MARANO PRINCIPATO,869,-,-,-,-
MARZI,266,-,-,-,-
