Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,213,-,-,-,-
ACQUAPPESA,404,-,-,-,-
ACRI,4215,36,-,-,-
AIELLO CALABRO,354,-,-,-,-
AIETA,74,-,-,-,-
ALBIDONA,395,-,-,-,-
ALESSANDRIA DEL CARRETTO,54,-,-,-,-
ALTILIA,215,-,-,-,-
ALTOMONTE,1005,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4985,26,-,-,-
AMENDOLARA,322,-,-,-,-
APRIGLIANO,633,11,-,-,-
BELMONTE CALABRO,472,-,-,-,-
BELSITO,269,-,-,-,-
BELVEDERE MARITTIMO,1944,10,-,-,-
BIANCHI,400,-,-,-,-
BISIGNANO,2298,21,-,-,-
BOCCHIGLIERO,146,7,-,-,-
BONIFATI,417,7,-,-,-
BUONVICINO,380,-,-,-,-
CALOPEZZATI,504,-,-,-,-
CALOVETO,381,-,-,-,-
CAMPANA,310,8,-,-,-
CANNA,144,-,-,-,-
CARIATI,1261,16,-,-,-
CAROLEI,854,-,-,-,-
CARPANZANO,30,-,-,-,-
CASALI DEL MANCO,2911,25,-,-,-
CASSANO ALLO IONIO,4368,30,-,-,-
CASTIGLIONE COSENTINO,1010,10,-,-,-
CASTROLIBERO,2837,18,-,-,-
CASTROREGIO,48,-,-,-,-
CASTROVILLARI,4648,35,-,-,-
CELICO,608,8,-,-,-
CELLARA,140,-,-,-,-
CERCHIARA DI CALABRIA,490,10,-,-,-
CERISANO,881,-,-,-,-
CERVICATI,199,-,-,-,-
CERZETO,340,-,-,-,-
CETRARO,2573,25,-,-,-
CIVITA,74,-,-,-,-
CLETO,313,-,-,-,-
COLOSIMI,428,-,-,-,-
CORIGLIANO-ROSSANO,23802,167,-,-,-
COSENZA,20626,164,-,-,-
CROPALATI,252,-,-,-,-
CROSIA,2771,17,-,-,-
DIAMANTE,960,8,-,-,-
DIPIGNANO,1394,12,-,-,-
DOMANICO,394,-,-,-,-
FAGNANO CASTELLO,479,6,-,-,-
FALCONARA ALBANESE,360,-,-,-,-
FIGLINE VEGLIATURO,377,-,-,-,-
FIRMO,362,-,-,-,-
FIUMEFREDDO BRUZIO,970,-,-,-,-
FRANCAVILLA MARITTIMA,679,-,-,-,-
FRASCINETO,477,-,-,-,-
FUSCALDO,2082,8,-,-,-
GRIMALDI,481,-,-,-,-
GRISOLIA,510,-,-,-,-
GUARDIA PIEMONTESE,474,-,-,-,-
LAGO,701,-,-,-,-
LAINO BORGO,472,-,-,-,-
LAINO CASTELLO,185,-,-,-,-
