Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,198,-,-,-,-
ACQUAPPESA,290,-,-,-,-
ACRI,3317,33,-,-,-
AIELLO CALABRO,280,-,-,-,-
AIETA,40,-,-,-,-
ALBIDONA,259,-,-,-,-
ALESSANDRIA DEL CARRETTO,39,-,-,-,-
ALTILIA,176,-,-,-,-
ALTOMONTE,805,-,-,-,-
ALTRA ASP,1029,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3954,24,-,-,-
AMENDOLARA,270,-,-,-,-
APRIGLIANO,538,10,-,-,-
BELMONTE CALABRO,348,-,-,-,-
BELSITO,223,-,-,-,-
BELVEDERE MARITTIMO,1536,10,-,-,-
BIANCHI,292,-,-,-,-
BISIGNANO,1887,19,-,-,-
BOCCHIGLIERO,129,7,-,-,-
BONIFATI,352,7,-,-,-
BUONVICINO,284,-,-,-,-
CALOPEZZATI,419,-,-,-,-
CALOVETO,345,-,-,-,-
CAMPANA,278,7,-,-,-
CANNA,111,-,-,-,-
CARIATI,1133,13,-,-,-
CAROLEI,616,-,-,-,-
CARPANZANO,20,-,-,-,-
CASALI DEL MANCO,2390,20,-,-,-
CASSANO ALLO IONIO,3651,30,-,-,-
CASTIGLIONE COSENTINO,794,8,-,-,-
CASTROLIBERO,2249,17,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3684,27,-,-,-
CELICO,481,7,-,-,-
CELLARA,99,-,-,-,-
CERCHIARA DI CALABRIA,421,8,-,-,-
CERISANO,676,-,-,-,-
CERVICATI,155,-,-,-,-
CERZETO,290,-,-,-,-
CETRARO,2088,23,-,-,-
CIVITA,59,-,-,-,-
CLETO,226,-,-,-,-
COLOSIMI,297,-,-,-,-
CORIGLIANO-ROSSANO,19988,162,-,-,-
COSENZA,16340,141,-,-,-
CROPALATI,204,-,-,-,-
CROSIA,2376,16,-,-,-
DIAMANTE,710,-,-,-,-
DIPIGNANO,1066,8,-,-,-
DOMANICO,271,-,-,-,-
FAGNANO CASTELLO,399,6,-,-,-
FALCONARA ALBANESE,260,-,-,-,-
FIGLINE VEGLIATURO,331,-,-,-,-
FIRMO,287,-,-,-,-
FIUMEFREDDO BRUZIO,703,-,-,-,-
FRANCAVILLA MARITTIMA,572,-,-,-,-
FRASCINETO,405,-,-,-,-
FUSCALDO,1713,8,-,-,-
GRIMALDI,390,-,-,-,-
GRISOLIA,450,-,-,-,-
GUARDIA PIEMONTESE,332,-,-,-,-
LAGO,533,-,-,-,-
LAINO BORGO,404,-,-,-,-
LAINO CASTELLO,160,-,-,-,-
LAPPANO,164,-,-,-,-
LATTARICO,927,6,-,-,-
LONGOBARDI,469,21,-,-,-
LONGOBUCCO,685,-,-,-,-
LUNGRO,330,6,-,-,-
LUZZI,2006,17,-,-,-
MAIERA',193,-,-,-,-
MALITO,140,-,-,-,-
MALVITO,262,8,-,-,-
MANDATORICCIO,504,-,-,-,-
MANGONE,445,-,-,-,-
MARANO MARCHESATO,876,8,-,-,-
MARANO PRINCIPATO,646,-,-,-,-
MARZI,213,-,-,-,-
MENDICINO,2286,8,-,-,-
MONGRASSANO,411,-,-,-,-
MONTALTO UFFUGO,5961,25,-,-,-
MONTEGIORDANO,337,-,-,-,-
MORANO CALABRO,296,9,-,-,-
MORMANNO,233,9,-,-,-
MOTTAFOLLONE,149,-,-,-,-
NOCARA,40,-,-,-,-
ORIOLO,140,-,-,-,-
ORSOMARSO,228,-,-,-,-
PALUDI,173,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3121,31,-,-,-
PAPASIDERO,34,-,-,-,-
PARENTI,530,-,-,-,-
PATERNO CALABRO,355,-,-,-,-
PEDIVIGLIANO,175,-,-,-,-
PIANE CRATI,315,-,-,-,-
PIETRAFITTA,178,-,-,-,-
PIETRAPAOLA,249,-,-,-,-
PLATACI,79,-,-,-,-
PRAIA A MARE,906,7,-,-,-
RENDE,9684,52,-,-,-
ROCCA IMPERIALE,342,-,-,-,-
ROGGIANO GRAVINA,1276,15,-,-,-
ROGLIANO,1306,11,-,-,-
ROSE,1013,8,-,-,-
ROSETO CAPO SPULICO,160,-,-,-,-
ROTA GRECA,190,-,-,-,-
ROVITO,435,-,-,-,-
SAN BASILE,116,-,-,-,-
SAN BENEDETTO ULLANO,263,-,-,-,-
SAN COSMO ALBANESE,171,6,-,-,-
SAN DEMETRIO CORONE,570,-,-,-,-
SAN DONATO DI NINEA,221,-,-,-,-
SAN FILI,477,-,-,-,-
SAN GIORGIO ALBANESE,288,-,-,-,-
SAN GIOVANNI IN FIORE,3665,33,-,-,-
SAN LORENZO BELLIZZI,62,-,-,-,-
SAN LORENZO DEL VALLO,420,-,-,-,-
SAN LUCIDO,834,9,-,-,-
SAN MARCO ARGENTANO,1503,7,-,-,-
SAN MARTINO DI FINITA,193,-,-,-,-
SAN NICOLA ARCELLA,256,-,-,-,-
SAN PIETRO IN AMANTEA,117,-,-,-,-
SAN PIETRO IN GUARANO,900,9,-,-,-
SAN SOSTI,323,7,-,-,-
SAN VINCENZO LA COSTA,579,-,-,-,-
SANGINETO,155,-,-,-,-
SANTA CATERINA ALBANESE,106,-,-,-,-
SANTA DOMENICA TALAO,72,-,-,-,-
SANTA MARIA DEL CEDRO,762,-,-,-,-
SANTA SOFIA D'EPIRO,235,7,-,-,-
SANT'AGATA DI ESARO,121,-,-,-,-
SANTO STEFANO DI ROGLIANO,555,-,-,-,-
SARACENA,770,6,-,-,-
SCALA COELI,37,-,-,-,-
SCALEA,2017,8,-,-,-
SCIGLIANO,161,-,-,-,-
SERRA D'AIELLO,133,-,-,-,-
SPEZZANO ALBANESE,1112,18,-,-,-
SPEZZANO DELLA SILA,856,14,-,-,-
TARSIA,380,-,-,-,-
TERRANOVA DA SIBARI,922,12,-,-,-
TERRAVECCHIA,81,-,-,-,-
TORANO CASTELLO,884,20,-,-,-
TORTORA,745,8,-,-,-
TREBISACCE,1608,12,-,-,-
VACCARIZZO ALBANESE,209,-,-,-,-
VERBICARO,211,6,-,-,-
VILLAPIANA,755,-,-,-,-
ZUMPANO,740,-,-,-,-
