Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,141,-,-,-,-
ACQUAPPESA,176,-,-,-,-
ACRI,2212,27,-,-,-
AIELLO CALABRO,137,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,181,-,-,-,-
ALESSANDRIA DEL CARRETTO,17,-,-,-,-
ALTILIA,106,-,-,-,-
ALTOMONTE,605,-,-,-,-
ALTRA ASP,899,9,-,-,-
ALTRA REGIONE,598,11,-,-,-
AMANTEA,2381,20,-,-,-
AMENDOLARA,211,-,-,-,-
APRIGLIANO,414,10,-,-,-
BELMONTE CALABRO,224,-,-,-,-
BELSITO,164,-,-,-,-
BELVEDERE MARITTIMO,992,10,-,-,-
BIANCHI,221,-,-,-,-
BISIGNANO,1380,17,-,-,-
BOCCHIGLIERO,116,7,-,-,-
BONIFATI,211,-,-,-,-
BUONVICINO,174,-,-,-,-
CALOPEZZATI,203,-,-,-,-
CALOVETO,204,-,-,-,-
CAMPANA,234,6,-,-,-
CANNA,63,-,-,-,-
CARIATI,778,12,-,-,-
CAROLEI,413,-,-,-,-
CARPANZANO,12,-,-,-,-
CASALI DEL MANCO,1673,20,-,-,-
CASSANO ALLO IONIO,2507,29,-,-,-
CASTIGLIONE COSENTINO,465,-,-,-,-
CASTROLIBERO,1578,14,-,-,-
CASTROREGIO,16,-,-,-,-
CASTROVILLARI,2399,24,-,-,-
CELICO,418,7,-,-,-
CELLARA,80,-,-,-,-
CERCHIARA DI CALABRIA,224,-,-,-,-
CERISANO,458,-,-,-,-
CERVICATI,110,-,-,-,-
CERZETO,217,-,-,-,-
CETRARO,1440,19,-,-,-
CIVITA,42,-,-,-,-
CLETO,115,-,-,-,-
COLOSIMI,177,-,-,-,-
CORIGLIANO-ROSSANO,13453,148,-,-,-
COSENZA,11447,119,-,-,-
CROPALATI,133,-,-,-,-
CROSIA,1450,13,-,-,-
DIAMANTE,317,-,-,-,-
DIPIGNANO,753,8,-,-,-
DOMANICO,170,-,-,-,-
FAGNANO CASTELLO,288,-,-,-,-
FALCONARA ALBANESE,206,-,-,-,-
FIGLINE VEGLIATURO,216,-,-,-,-
FIRMO,169,-,-,-,-
FIUMEFREDDO BRUZIO,455,-,-,-,-
FRANCAVILLA MARITTIMA,357,-,-,-,-
FRASCINETO,253,-,-,-,-
FUSCALDO,1181,8,-,-,-
GRIMALDI,189,-,-,-,-
GRISOLIA,338,-,-,-,-
GUARDIA PIEMONTESE,176,-,-,-,-
LAGO,320,-,-,-,-
LAINO BORGO,242,-,-,-,-
LAINO CASTELLO,112,-,-,-,-
LAPPANO,121,-,-,-,-
LATTARICO,620,-,-,-,-
LONGOBARDI,256,17,-,-,-
LONGOBUCCO,430,-,-,-,-
LUNGRO,215,6,-,-,-
LUZZI,1385,14,-,-,-
MAIERA',97,-,-,-,-
MALITO,77,-,-,-,-
MALVITO,171,-,-,-,-
MANDATORICCIO,412,-,-,-,-
MANGONE,306,-,-,-,-
MARANO MARCHESATO,568,8,-,-,-
MARANO PRINCIPATO,431,-,-,-,-
MARZI,181,-,-,-,-
MENDICINO,1567,6,-,-,-
MONGRASSANO,291,-,-,-,-
MONTALTO UFFUGO,3971,22,-,-,-
MONTEGIORDANO,201,-,-,-,-
MORANO CALABRO,261,9,-,-,-
MORMANNO,187,8,-,-,-
MOTTAFOLLONE,94,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,112,-,-,-,-
ORSOMARSO,148,-,-,-,-
PALUDI,104,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1866,24,-,-,-
PAPASIDERO,29,-,-,-,-
PARENTI,379,-,-,-,-
PATERNO CALABRO,276,-,-,-,-
PEDIVIGLIANO,107,-,-,-,-
PIANE CRATI,242,-,-,-,-
PIETRAFITTA,148,-,-,-,-
PIETRAPAOLA,152,-,-,-,-
PLATACI,59,-,-,-,-
PRAIA A MARE,461,7,-,-,-
RENDE,6497,45,-,-,-
ROCCA IMPERIALE,285,-,-,-,-
ROGGIANO GRAVINA,980,13,-,-,-
ROGLIANO,983,8,-,-,-
ROSE,699,8,-,-,-
ROSETO CAPO SPULICO,144,-,-,-,-
ROTA GRECA,130,-,-,-,-
ROVITO,364,-,-,-,-
SAN BASILE,68,-,-,-,-
SAN BENEDETTO ULLANO,216,-,-,-,-
SAN COSMO ALBANESE,127,6,-,-,-
SAN DEMETRIO CORONE,290,-,-,-,-
SAN DONATO DI NINEA,141,-,-,-,-
SAN FILI,362,-,-,-,-
SAN GIORGIO ALBANESE,126,-,-,-,-
SAN GIOVANNI IN FIORE,2806,31,-,-,-
SAN LORENZO BELLIZZI,35,-,-,-,-
SAN LORENZO DEL VALLO,300,-,-,-,-
SAN LUCIDO,675,8,-,-,-
SAN MARCO ARGENTANO,1025,7,-,-,-
SAN MARTINO DI FINITA,125,-,-,-,-
SAN NICOLA ARCELLA,190,-,-,-,-
SAN PIETRO IN AMANTEA,49,-,-,-,-
SAN PIETRO IN GUARANO,544,8,-,-,-
SAN SOSTI,220,7,-,-,-
SAN VINCENZO LA COSTA,357,-,-,-,-
SANGINETO,118,-,-,-,-
SANTA CATERINA ALBANESE,69,-,-,-,-
SANTA DOMENICA TALAO,50,-,-,-,-
SANTA MARIA DEL CEDRO,545,-,-,-,-
SANTA SOFIA D'EPIRO,168,7,-,-,-
SANT'AGATA DI ESARO,106,-,-,-,-
SANTO STEFANO DI ROGLIANO,393,-,-,-,-
SARACENA,503,-,-,-,-
SCALA COELI,31,-,-,-,-
SCALEA,1224,8,-,-,-
SCIGLIANO,100,-,-,-,-
SERRA D'AIELLO,86,-,-,-,-
SPEZZANO ALBANESE,842,16,-,-,-
SPEZZANO DELLA SILA,650,12,-,-,-
TARSIA,195,-,-,-,-
TERRANOVA DA SIBARI,804,12,-,-,-
TERRAVECCHIA,44,-,-,-,-
TORANO CASTELLO,662,19,-,-,-
TORTORA,439,7,-,-,-
TREBISACCE,954,11,-,-,-
VACCARIZZO ALBANESE,130,-,-,-,-
VERBICARO,191,6,-,-,-
VILLAPIANA,555,-,-,-,-
ZUMPANO,556,-,-,-,-
