Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,207,-,-,-,-
ACQUAPPESA,364,-,-,-,-
ACRI,3849,34,-,-,-
AIELLO CALABRO,323,-,-,-,-
AIETA,67,-,-,-,-
ALBIDONA,365,-,-,-,-
ALESSANDRIA DEL CARRETTO,48,-,-,-,-
ALTILIA,189,-,-,-,-
ALTOMONTE,916,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,600,11,-,-,-
AMANTEA,4501,25,-,-,-
AMENDOLARA,293,-,-,-,-
APRIGLIANO,590,10,-,-,-
BELMONTE CALABRO,401,-,-,-,-
BELSITO,254,-,-,-,-
BELVEDERE MARITTIMO,1744,10,-,-,-
BIANCHI,374,-,-,-,-
BISIGNANO,2076,20,-,-,-
BOCCHIGLIERO,140,7,-,-,-
BONIFATI,399,7,-,-,-
BUONVICINO,334,-,-,-,-
CALOPEZZATI,484,-,-,-,-
CALOVETO,368,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,138,-,-,-,-
CARIATI,1228,16,-,-,-
CAROLEI,749,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2651,23,-,-,-
CASSANO ALLO IONIO,4025,30,-,-,-
CASTIGLIONE COSENTINO,884,8,-,-,-
CASTROLIBERO,2532,18,-,-,-
CASTROREGIO,45,-,-,-,-
CASTROVILLARI,4158,31,-,-,-
CELICO,560,7,-,-,-
CELLARA,127,-,-,-,-
CERCHIARA DI CALABRIA,460,9,-,-,-
CERISANO,758,-,-,-,-
CERVICATI,179,-,-,-,-
CERZETO,317,-,-,-,-
CETRARO,2384,24,-,-,-
CIVITA,65,-,-,-,-
CLETO,272,-,-,-,-
COLOSIMI,389,-,-,-,-
CORIGLIANO-ROSSANO,22054,164,-,-,-
COSENZA,18214,151,-,-,-
CROPALATI,233,-,-,-,-
CROSIA,2590,17,-,-,-
DIAMANTE,892,7,-,-,-
DIPIGNANO,1218,10,-,-,-
DOMANICO,328,-,-,-,-
FAGNANO CASTELLO,442,6,-,-,-
FALCONARA ALBANESE,293,-,-,-,-
FIGLINE VEGLIATURO,348,-,-,-,-
FIRMO,335,-,-,-,-
FIUMEFREDDO BRUZIO,846,-,-,-,-
FRANCAVILLA MARITTIMA,638,-,-,-,-
FRASCINETO,428,-,-,-,-
FUSCALDO,1895,8,-,-,-
GRIMALDI,408,-,-,-,-
GRISOLIA,487,-,-,-,-
GUARDIA PIEMONTESE,428,-,-,-,-
LAGO,613,-,-,-,-
LAINO BORGO,446,-,-,-,-
LAINO CASTELLO,180,-,-,-,-
LAPPANO,177,-,-,-,-
LATTARICO,1038,6,-,-,-
LONGOBARDI,524,23,-,-,-
LONGOBUCCO,757,-,-,-,-
LUNGRO,350,6,-,-,-
LUZZI,2226,17,-,-,-
MAIERA',226,-,-,-,-
MALITO,161,-,-,-,-
MALVITO,308,8,-,-,-
MANDATORICCIO,538,-,-,-,-
MANGONE,490,-,-,-,-
MARANO MARCHESATO,962,8,-,-,-
MARANO PRINCIPATO,712,-,-,-,-
MARZI,228,-,-,-,-
MENDICINO,2555,9,-,-,-
MONGRASSANO,456,6,-,-,-
MONTALTO UFFUGO,6594,26,-,-,-
MONTEGIORDANO,377,-,-,-,-
MORANO CALABRO,342,10,-,-,-
MORMANNO,269,10,-,-,-
MOTTAFOLLONE,180,-,-,-,-
NOCARA,42,-,-,-,-
ORIOLO,153,-,-,-,-
ORSOMARSO,250,-,-,-,-
PALUDI,198,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3532,32,-,-,-
PAPASIDERO,40,-,-,-,-
PARENTI,571,-,-,-,-
PATERNO CALABRO,395,-,-,-,-
PEDIVIGLIANO,206,-,-,-,-
PIANE CRATI,338,-,-,-,-
PIETRAFITTA,206,-,-,-,-
PIETRAPAOLA,279,-,-,-,-
PLATACI,89,-,-,-,-
PRAIA A MARE,1048,7,-,-,-
RENDE,10857,54,-,-,-
ROCCA IMPERIALE,358,-,-,-,-
ROGGIANO GRAVINA,1419,17,-,-,-
ROGLIANO,1406,11,-,-,-
ROSE,1101,8,-,-,-
ROSETO CAPO SPULICO,197,-,-,-,-
ROTA GRECA,230,-,-,-,-
ROVITO,490,-,-,-,-
SAN BASILE,128,-,-,-,-
SAN BENEDETTO ULLANO,274,-,-,-,-
SAN COSMO ALBANESE,185,6,-,-,-
SAN DEMETRIO CORONE,655,-,-,-,-
SAN DONATO DI NINEA,261,-,-,-,-
SAN FILI,521,6,-,-,-
SAN GIORGIO ALBANESE,356,6,-,-,-
SAN GIOVANNI IN FIORE,4059,34,-,-,-
SAN LORENZO BELLIZZI,78,-,-,-,-
SAN LORENZO DEL VALLO,489,-,-,-,-
SAN LUCIDO,986,9,-,-,-
SAN MARCO ARGENTANO,1646,7,-,-,-
SAN MARTINO DI FINITA,232,-,-,-,-
SAN NICOLA ARCELLA,281,-,-,-,-
SAN PIETRO IN AMANTEA,125,-,-,-,-
SAN PIETRO IN GUARANO,1056,9,-,-,-
SAN SOSTI,383,7,-,-,-
SAN VINCENZO LA COSTA,634,-,-,-,-
SANGINETO,168,-,-,-,-
SANTA CATERINA ALBANESE,123,-,-,-,-
SANTA DOMENICA TALAO,78,-,-,-,-
SANTA MARIA DEL CEDRO,808,-,-,-,-
SANTA SOFIA D'EPIRO,301,7,-,-,-
SANT'AGATA DI ESARO,124,-,-,-,-
SANTO STEFANO DI ROGLIANO,604,-,-,-,-
SARACENA,851,6,-,-,-
SCALA COELI,41,-,-,-,-
SCALEA,2197,8,-,-,-
SCIGLIANO,176,-,-,-,-
SERRA D'AIELLO,162,-,-,-,-
SPEZZANO ALBANESE,1252,21,-,-,-
SPEZZANO DELLA SILA,1011,14,-,-,-
TARSIA,419,-,-,-,-
TERRANOVA DA SIBARI,988,12,-,-,-
TERRAVECCHIA,101,-,-,-,-
TORANO CASTELLO,939,20,-,-,-
TORTORA,867,9,-,-,-
TREBISACCE,1835,16,-,-,-
VACCARIZZO ALBANESE,238,-,-,-,-
VERBICARO,270,6,-,-,-
VILLAPIANA,843,-,-,-,-
ZUMPANO,806,-,-,-,-
