Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,194,-,-,-,-
ACQUAPPESA,282,-,-,-,-
ACRI,3250,33,-,-,-
AIELLO CALABRO,277,-,-,-,-
AIETA,39,-,-,-,-
ALBIDONA,256,-,-,-,-
ALESSANDRIA DEL CARRETTO,34,-,-,-,-
ALTILIA,175,-,-,-,-
ALTOMONTE,795,-,-,-,-
ALTRA ASP,1027,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3906,24,-,-,-
AMENDOLARA,265,-,-,-,-
APRIGLIANO,535,10,-,-,-
BELMONTE CALABRO,342,-,-,-,-
BELSITO,218,-,-,-,-
BELVEDERE MARITTIMO,1515,10,-,-,-
BIANCHI,282,-,-,-,-
BISIGNANO,1856,17,-,-,-
BOCCHIGLIERO,128,7,-,-,-
BONIFATI,347,7,-,-,-
BUONVICINO,282,-,-,-,-
CALOPEZZATI,406,-,-,-,-
CALOVETO,343,-,-,-,-
CAMPANA,278,7,-,-,-
CANNA,102,-,-,-,-
CARIATI,1121,13,-,-,-
CAROLEI,606,-,-,-,-
CARPANZANO,20,-,-,-,-
CASALI DEL MANCO,2345,20,-,-,-
CASSANO ALLO IONIO,3598,29,-,-,-
CASTIGLIONE COSENTINO,778,8,-,-,-
CASTROLIBERO,2235,16,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3625,27,-,-,-
CELICO,481,7,-,-,-
CELLARA,98,-,-,-,-
CERCHIARA DI CALABRIA,409,7,-,-,-
CERISANO,664,-,-,-,-
CERVICATI,154,-,-,-,-
CERZETO,285,-,-,-,-
CETRARO,2063,23,-,-,-
CIVITA,56,-,-,-,-
CLETO,225,-,-,-,-
COLOSIMI,292,-,-,-,-
CORIGLIANO-ROSSANO,19627,160,-,-,-
COSENZA,16158,140,-,-,-
CROPALATI,204,-,-,-,-
CROSIA,2331,15,-,-,-
DIAMANTE,693,-,-,-,-
DIPIGNANO,1050,8,-,-,-
DOMANICO,269,-,-,-,-
FAGNANO CASTELLO,396,6,-,-,-
FALCONARA ALBANESE,259,-,-,-,-
FIGLINE VEGLIATURO,327,-,-,-,-
FIRMO,284,-,-,-,-
FIUMEFREDDO BRUZIO,686,-,-,-,-
FRANCAVILLA MARITTIMA,559,-,-,-,-
FRASCINETO,400,-,-,-,-
FUSCALDO,1686,8,-,-,-
GRIMALDI,387,-,-,-,-
GRISOLIA,446,-,-,-,-
GUARDIA PIEMONTESE,327,-,-,-,-
LAGO,531,-,-,-,-
LAINO BORGO,397,-,-,-,-
LAINO CASTELLO,160,-,-,-,-
LAPPANO,163,-,-,-,-
LATTARICO,913,6,-,-,-
LONGOBARDI,463,21,-,-,-
LONGOBUCCO,665,-,-,-,-
LUNGRO,325,6,-,-,-
LUZZI,1977,17,-,-,-
MAIERA',192,-,-,-,-
MALITO,132,-,-,-,-
MALVITO,262,8,-,-,-
MANDATORICCIO,503,-,-,-,-
MANGONE,441,-,-,-,-
MARANO MARCHESATO,870,8,-,-,-
MARANO PRINCIPATO,644,-,-,-,-
MARZI,210,-,-,-,-
MENDICINO,2269,7,-,-,-
MONGRASSANO,405,-,-,-,-
MONTALTO UFFUGO,5899,24,-,-,-
MONTEGIORDANO,333,-,-,-,-
MORANO CALABRO,294,9,-,-,-
MORMANNO,232,9,-,-,-
MOTTAFOLLONE,146,-,-,-,-
NOCARA,40,-,-,-,-
ORIOLO,138,-,-,-,-
ORSOMARSO,227,-,-,-,-
PALUDI,171,-,-,-,-
