Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,193,-,-,-,-
ACQUAPPESA,279,-,-,-,-
ACRI,3228,32,-,-,-
AIELLO CALABRO,276,-,-,-,-
AIETA,39,-,-,-,-
ALBIDONA,255,-,-,-,-
ALESSANDRIA DEL CARRETTO,33,-,-,-,-
ALTILIA,171,-,-,-,-
ALTOMONTE,790,-,-,-,-
ALTRA ASP,1026,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3869,24,-,-,-
AMENDOLARA,263,-,-,-,-
APRIGLIANO,532,10,-,-,-
BELMONTE CALABRO,341,-,-,-,-
BELSITO,216,-,-,-,-
BELVEDERE MARITTIMO,1503,10,-,-,-
BIANCHI,281,-,-,-,-
BISIGNANO,1845,17,-,-,-
BOCCHIGLIERO,127,7,-,-,-
BONIFATI,343,7,-,-,-
BUONVICINO,281,-,-,-,-
CALOPEZZATI,392,-,-,-,-
CALOVETO,337,-,-,-,-
CAMPANA,275,7,-,-,-
CANNA,99,-,-,-,-
CARIATI,1111,13,-,-,-
CAROLEI,601,-,-,-,-
CARPANZANO,20,-,-,-,-
CASALI DEL MANCO,2325,20,-,-,-
CASSANO ALLO IONIO,3571,29,-,-,-
CASTIGLIONE COSENTINO,771,8,-,-,-
CASTROLIBERO,2225,16,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3595,27,-,-,-
CELICO,480,7,-,-,-
CELLARA,98,-,-,-,-
CERCHIARA DI CALABRIA,406,7,-,-,-
CERISANO,659,-,-,-,-
CERVICATI,154,-,-,-,-
CERZETO,279,-,-,-,-
CETRARO,2048,23,-,-,-
CIVITA,56,-,-,-,-
CLETO,224,-,-,-,-
COLOSIMI,286,-,-,-,-
CORIGLIANO-ROSSANO,19413,159,-,-,-
COSENZA,16067,139,-,-,-
CROPALATI,203,-,-,-,-
CROSIA,2308,15,-,-,-
DIAMANTE,679,-,-,-,-
DIPIGNANO,1044,8,-,-,-
DOMANICO,264,-,-,-,-
FAGNANO CASTELLO,396,6,-,-,-
FALCONARA ALBANESE,258,-,-,-,-
FIGLINE VEGLIATURO,323,-,-,-,-
FIRMO,279,-,-,-,-
FIUMEFREDDO BRUZIO,681,-,-,-,-
FRANCAVILLA MARITTIMA,557,-,-,-,-
FRASCINETO,399,-,-,-,-
FUSCALDO,1670,8,-,-,-
GRIMALDI,387,-,-,-,-
GRISOLIA,443,-,-,-,-
GUARDIA PIEMONTESE,320,-,-,-,-
LAGO,531,-,-,-,-
LAINO BORGO,396,-,-,-,-
LAINO CASTELLO,159,-,-,-,-
LAPPANO,163,-,-,-,-
LATTARICO,910,6,-,-,-
LONGOBARDI,461,21,-,-,-
LONGOBUCCO,655,-,-,-,-
LUNGRO,323,6,-,-,-
LUZZI,1963,17,-,-,-
MAIERA',191,-,-,-,-
MALITO,131,-,-,-,-
MALVITO,261,7,-,-,-
MANDATORICCIO,500,-,-,-,-
MANGONE,438,-,-,-,-
MARANO MARCHESATO,864,8,-,-,-
MARANO PRINCIPATO,640,-,-,-,-
MARZI,210,-,-,-,-
MENDICINO,2258,7,-,-,-
MONGRASSANO,404,-,-,-,-
MONTALTO UFFUGO,5841,23,-,-,-
MONTEGIORDANO,331,-,-,-,-
MORANO CALABRO,292,9,-,-,-
MORMANNO,231,9,-,-,-
MOTTAFOLLONE,145,-,-,-,-
NOCARA,38,-,-,-,-
ORIOLO,138,-,-,-,-
ORSOMARSO,227,-,-,-,-
PALUDI,169,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3047,31,-,-,-
PAPASIDERO,34,-,-,-,-
PARENTI,524,-,-,-,-
PATERNO CALABRO,355,-,-,-,-
PEDIVIGLIANO,167,-,-,-,-
PIANE CRATI,308,-,-,-,-
PIETRAFITTA,176,-,-,-,-
PIETRAPAOLA,235,-,-,-,-
PLATACI,79,-,-,-,-
PRAIA A MARE,865,7,-,-,-
RENDE,9539,51,-,-,-
ROCCA IMPERIALE,342,-,-,-,-
ROGGIANO GRAVINA,1249,15,-,-,-
ROGLIANO,1296,11,-,-,-
ROSE,988,8,-,-,-
ROSETO CAPO SPULICO,160,-,-,-,-
ROTA GRECA,186,-,-,-,-
ROVITO,427,-,-,-,-
SAN BASILE,115,-,-,-,-
SAN BENEDETTO ULLANO,259,-,-,-,-
SAN COSMO ALBANESE,163,6,-,-,-
SAN DEMETRIO CORONE,551,-,-,-,-
SAN DONATO DI NINEA,213,-,-,-,-
SAN FILI,472,-,-,-,-
SAN GIORGIO ALBANESE,278,-,-,-,-
SAN GIOVANNI IN FIORE,3591,33,-,-,-
SAN LORENZO BELLIZZI,59,-,-,-,-
SAN LORENZO DEL VALLO,416,-,-,-,-
SAN LUCIDO,795,9,-,-,-
SAN MARCO ARGENTANO,1454,7,-,-,-
SAN MARTINO DI FINITA,181,-,-,-,-
SAN NICOLA ARCELLA,250,-,-,-,-
SAN PIETRO IN AMANTEA,114,-,-,-,-
SAN PIETRO IN GUARANO,887,9,-,-,-
SAN SOSTI,317,7,-,-,-
SAN VINCENZO LA COSTA,571,-,-,-,-
SANGINETO,153,-,-,-,-
SANTA CATERINA ALBANESE,106,-,-,-,-
SANTA DOMENICA TALAO,69,-,-,-,-
SANTA MARIA DEL CEDRO,751,-,-,-,-
SANTA SOFIA D'EPIRO,232,7,-,-,-
SANT'AGATA DI ESARO,121,-,-,-,-
SANTO STEFANO DI ROGLIANO,547,-,-,-,-
SARACENA,750,6,-,-,-
SCALA COELI,37,-,-,-,-
SCALEA,1960,8,-,-,-
SCIGLIANO,160,-,-,-,-
SERRA D'AIELLO,133,-,-,-,-
SPEZZANO ALBANESE,1091,18,-,-,-
SPEZZANO DELLA SILA,840,14,-,-,-
TARSIA,364,-,-,-,-
TERRANOVA DA SIBARI,909,12,-,-,-
TERRAVECCHIA,80,-,-,-,-
TORANO CASTELLO,867,19,-,-,-
TORTORA,706,8,-,-,-
TREBISACCE,1552,12,-,-,-
VACCARIZZO ALBANESE,202,-,-,-,-
VERBICARO,208,6,-,-,-
VILLAPIANA,744,-,-,-,-
ZUMPANO,724,-,-,-,-
