Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,102,-,-,-,-
ACQUAPPESA,128,-,-,-,-
ACRI,1787,25,-,-,-
AIELLO CALABRO,92,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,127,-,-,-,-
ALESSANDRIA DEL CARRETTO,7,-,-,-,-
ALTILIA,71,-,-,-,-
ALTOMONTE,485,-,-,-,-
ALTRA ASP,817,9,-,-,-
ALTRA REGIONE,590,10,-,-,-
AMANTEA,1610,18,-,-,-
AMENDOLARA,108,-,-,-,-
APRIGLIANO,333,8,-,-,-
BELMONTE CALABRO,161,-,-,-,-
BELSITO,95,-,-,-,-
BELVEDERE MARITTIMO,661,7,-,-,-
BIANCHI,151,-,-,-,-
BISIGNANO,1248,16,-,-,-
BOCCHIGLIERO,112,7,-,-,-
BONIFATI,167,-,-,-,-
BUONVICINO,112,-,-,-,-
CALOPEZZATI,112,-,-,-,-
CALOVETO,158,-,-,-,-
CAMPANA,228,6,-,-,-
CANNA,42,-,-,-,-
CARIATI,618,12,-,-,-
CAROLEI,325,-,-,-,-
CARPANZANO,8,-,-,-,-
CASALI DEL MANCO,1286,18,-,-,-
CASSANO ALLO IONIO,2082,29,-,-,-
CASTIGLIONE COSENTINO,312,-,-,-,-
CASTROLIBERO,1238,10,-,-,-
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,1864,23,-,-,-
CELICO,363,7,-,-,-
CELLARA,53,-,-,-,-
CERCHIARA DI CALABRIA,168,-,-,-,-
CERISANO,361,-,-,-,-
CERVICATI,83,-,-,-,-
CERZETO,164,-,-,-,-
CETRARO,1020,16,-,-,-
CIVITA,34,-,-,-,-
CLETO,94,-,-,-,-
COLOSIMI,145,-,-,-,-
CORIGLIANO-ROSSANO,10665,144,-,-,-
COSENZA,9096,107,-,-,-
CROPALATI,103,-,-,-,-
CROSIA,1194,13,-,-,-
DIAMANTE,233,-,-,-,-
DIPIGNANO,596,8,-,-,-
DOMANICO,136,-,-,-,-
FAGNANO CASTELLO,201,-,-,-,-
FALCONARA ALBANESE,125,-,-,-,-
FIGLINE VEGLIATURO,179,-,-,-,-
FIRMO,103,-,-,-,-
FIUMEFREDDO BRUZIO,247,-,-,-,-
FRANCAVILLA MARITTIMA,282,-,-,-,-
FRASCINETO,159,-,-,-,-
FUSCALDO,933,7,-,-,-
GRIMALDI,133,-,-,-,-
GRISOLIA,267,-,-,-,-
GUARDIA PIEMONTESE,153,-,-,-,-
LAGO,204,-,-,-,-
LAINO BORGO,169,-,-,-,-
LAINO CASTELLO,68,-,-,-,-
LAPPANO,106,-,-,-,-
LATTARICO,490,-,-,-,-
LONGOBARDI,189,17,-,-,-
LONGOBUCCO,368,-,-,-,-
LUNGRO,146,6,-,-,-
LUZZI,1107,13,-,-,-
MAIERA',76,-,-,-,-
MALITO,71,-,-,-,-
MALVITO,147,-,-,-,-
MANDATORICCIO,268,-,-,-,-
MANGONE,264,-,-,-,-
MARANO MARCHESATO,458,8,-,-,-
MARANO PRINCIPATO,347,-,-,-,-
MARZI,150,-,-,-,-
MENDICINO,1257,-,-,-,-
MONGRASSANO,227,-,-,-,-
MONTALTO UFFUGO,3074,22,-,-,-
MONTEGIORDANO,123,-,-,-,-
MORANO CALABRO,251,8,-,-,-
MORMANNO,170,7,-,-,-
MOTTAFOLLONE,67,-,-,-,-
NOCARA,30,-,-,-,-
ORIOLO,93,-,-,-,-
ORSOMARSO,94,-,-,-,-
PALUDI,71,-,-,-,-
PANETTIERI,17,-,-,-,-
PAOLA,1260,19,-,-,-
PAPASIDERO,18,-,-,-,-
PARENTI,282,-,-,-,-
PATERNO CALABRO,200,-,-,-,-
PEDIVIGLIANO,90,-,-,-,-
PIANE CRATI,202,-,-,-,-
PIETRAFITTA,112,-,-,-,-
PIETRAPAOLA,110,-,-,-,-
PLATACI,42,-,-,-,-
PRAIA A MARE,394,7,-,-,-
RENDE,5080,43,-,-,-
ROCCA IMPERIALE,263,-,-,-,-
ROGGIANO GRAVINA,756,13,-,-,-
ROGLIANO,799,7,-,-,-
ROSE,559,8,-,-,-
ROSETO CAPO SPULICO,133,-,-,-,-
ROTA GRECA,72,-,-,-,-
ROVITO,331,-,-,-,-
SAN BASILE,55,-,-,-,-
SAN BENEDETTO ULLANO,199,-,-,-,-
SAN COSMO ALBANESE,108,6,-,-,-
SAN DEMETRIO CORONE,170,-,-,-,-
SAN DONATO DI NINEA,90,-,-,-,-
SAN FILI,233,-,-,-,-
SAN GIORGIO ALBANESE,90,-,-,-,-
SAN GIOVANNI IN FIORE,2363,31,-,-,-
SAN LORENZO BELLIZZI,22,-,-,-,-
SAN LORENZO DEL VALLO,252,-,-,-,-
SAN LUCIDO,557,8,-,-,-
SAN MARCO ARGENTANO,726,6,-,-,-
SAN MARTINO DI FINITA,101,-,-,-,-
SAN NICOLA ARCELLA,131,-,-,-,-
SAN PIETRO IN AMANTEA,34,-,-,-,-
SAN PIETRO IN GUARANO,384,6,-,-,-
SAN SOSTI,171,6,-,-,-
SAN VINCENZO LA COSTA,273,-,-,-,-
SANGINETO,97,-,-,-,-
SANTA CATERINA ALBANESE,51,-,-,-,-
SANTA DOMENICA TALAO,32,-,-,-,-
SANTA MARIA DEL CEDRO,401,-,-,-,-
SANTA SOFIA D'EPIRO,146,6,-,-,-
SANT'AGATA DI ESARO,101,-,-,-,-
SANTO STEFANO DI ROGLIANO,305,-,-,-,-
SARACENA,330,-,-,-,-
SCALA COELI,31,-,-,-,-
SCALEA,895,8,-,-,-
SCIGLIANO,85,-,-,-,-
SERRA D'AIELLO,65,-,-,-,-
SPEZZANO ALBANESE,724,13,-,-,-
SPEZZANO DELLA SILA,562,12,-,-,-
TARSIA,106,-,-,-,-
TERRANOVA DA SIBARI,741,11,-,-,-
TERRAVECCHIA,19,-,-,-,-
TORANO CASTELLO,558,18,-,-,-
TORTORA,391,7,-,-,-
TREBISACCE,588,10,-,-,-
VACCARIZZO ALBANESE,109,-,-,-,-
VERBICARO,182,6,-,-,-
VILLAPIANA,434,-,-,-,-
ZUMPANO,409,-,-,-,-
