Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,209,-,-,-,-
ACQUAPPESA,375,-,-,-,-
ACRI,4005,35,-,-,-
AIELLO CALABRO,328,-,-,-,-
AIETA,68,-,-,-,-
ALBIDONA,375,-,-,-,-
ALESSANDRIA DEL CARRETTO,50,-,-,-,-
ALTILIA,195,-,-,-,-
ALTOMONTE,950,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,600,11,-,-,-
AMANTEA,4626,25,-,-,-
AMENDOLARA,305,-,-,-,-
APRIGLIANO,602,10,-,-,-
BELMONTE CALABRO,420,-,-,-,-
BELSITO,256,-,-,-,-
BELVEDERE MARITTIMO,1788,10,-,-,-
BIANCHI,379,-,-,-,-
BISIGNANO,2141,21,-,-,-
BOCCHIGLIERO,144,7,-,-,-
BONIFATI,406,7,-,-,-
BUONVICINO,348,-,-,-,-
CALOPEZZATI,486,-,-,-,-
CALOVETO,373,-,-,-,-
CAMPANA,285,7,-,-,-
CANNA,139,-,-,-,-
CARIATI,1236,16,-,-,-
CAROLEI,800,-,-,-,-
CARPANZANO,28,-,-,-,-
CASALI DEL MANCO,2769,24,-,-,-
CASSANO ALLO IONIO,4162,30,-,-,-
CASTIGLIONE COSENTINO,937,10,-,-,-
CASTROLIBERO,2647,18,-,-,-
CASTROREGIO,45,-,-,-,-
CASTROVILLARI,4318,31,-,-,-
CELICO,580,8,-,-,-
CELLARA,129,-,-,-,-
CERCHIARA DI CALABRIA,463,9,-,-,-
CERISANO,797,-,-,-,-
CERVICATI,190,-,-,-,-
CERZETO,325,-,-,-,-
CETRARO,2437,24,-,-,-
CIVITA,67,-,-,-,-
CLETO,286,-,-,-,-
COLOSIMI,404,-,-,-,-
CORIGLIANO-ROSSANO,22668,164,-,-,-
COSENZA,19203,153,-,-,-
CROPALATI,240,-,-,-,-
CROSIA,2663,17,-,-,-
DIAMANTE,910,8,-,-,-
DIPIGNANO,1288,11,-,-,-
DOMANICO,340,-,-,-,-
FAGNANO CASTELLO,457,6,-,-,-
FALCONARA ALBANESE,316,-,-,-,-
FIGLINE VEGLIATURO,351,-,-,-,-
FIRMO,336,-,-,-,-
FIUMEFREDDO BRUZIO,893,-,-,-,-
FRANCAVILLA MARITTIMA,643,-,-,-,-
FRASCINETO,451,-,-,-,-
FUSCALDO,1954,8,-,-,-
GRIMALDI,441,-,-,-,-
GRISOLIA,494,-,-,-,-
GUARDIA PIEMONTESE,446,-,-,-,-
LAGO,636,-,-,-,-
LAINO BORGO,458,-,-,-,-
LAINO CASTELLO,182,-,-,-,-
LAPPANO,182,-,-,-,-
LATTARICO,1068,6,-,-,-
LONGOBARDI,545,23,-,-,-
LONGOBUCCO,771,-,-,-,-
LUNGRO,356,6,-,-,-
LUZZI,2314,17,-,-,-
MAIERA',234,-,-,-,-
MALITO,188,-,-,-,-
MALVITO,333,8,-,-,-
MANDATORICCIO,545,-,-,-,-
MANGONE,507,-,-,-,-
MARANO MARCHESATO,1013,8,-,-,-
MARANO PRINCIPATO,741,-,-,-,-
MARZI,233,-,-,-,-
MENDICINO,2688,9,-,-,-
MONGRASSANO,480,6,-,-,-
MONTALTO UFFUGO,6890,28,-,-,-
MONTEGIORDANO,381,-,-,-,-
MORANO CALABRO,395,10,-,-,-
MORMANNO,270,11,-,-,-
MOTTAFOLLONE,184,-,-,-,-
NOCARA,42,-,-,-,-
ORIOLO,154,-,-,-,-
ORSOMARSO,254,-,-,-,-
PALUDI,204,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3642,34,-,-,-
PAPASIDERO,41,-,-,-,-
PARENTI,576,-,-,-,-
PATERNO CALABRO,410,-,-,-,-
PEDIVIGLIANO,210,-,-,-,-
PIANE CRATI,349,-,-,-,-
PIETRAFITTA,218,-,-,-,-
PIETRAPAOLA,280,-,-,-,-
PLATACI,89,-,-,-,-
PRAIA A MARE,1079,7,-,-,-
RENDE,11485,54,-,-,-
ROCCA IMPERIALE,364,-,-,-,-
ROGGIANO GRAVINA,1465,17,-,-,-
ROGLIANO,1461,11,-,-,-
ROSE,1137,8,-,-,-
ROSETO CAPO SPULICO,197,-,-,-,-
ROTA GRECA,241,-,-,-,-
ROVITO,508,-,-,-,-
SAN BASILE,133,-,-,-,-
SAN BENEDETTO ULLANO,280,-,-,-,-
SAN COSMO ALBANESE,186,6,-,-,-
SAN DEMETRIO CORONE,662,-,-,-,-
SAN DONATO DI NINEA,269,-,-,-,-
SAN FILI,537,6,-,-,-
SAN GIORGIO ALBANESE,378,6,-,-,-
SAN GIOVANNI IN FIORE,4116,34,-,-,-
SAN LORENZO BELLIZZI,78,-,-,-,-
SAN LORENZO DEL VALLO,512,-,-,-,-
SAN LUCIDO,1019,10,-,-,-
SAN MARCO ARGENTANO,1716,7,-,-,-
SAN MARTINO DI FINITA,254,-,-,-,-
SAN NICOLA ARCELLA,290,-,-,-,-
