Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,190,-,-,-,-
ACQUAPPESA,264,-,-,-,-
ACRI,3106,31,-,-,-
AIELLO CALABRO,269,-,-,-,-
AIETA,35,-,-,-,-
ALBIDONA,252,-,-,-,-
ALESSANDRIA DEL CARRETTO,33,-,-,-,-
ALTILIA,167,-,-,-,-
ALTOMONTE,760,-,-,-,-
ALTRA ASP,1017,13,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3716,24,-,-,-
AMENDOLARA,251,-,-,-,-
APRIGLIANO,510,10,-,-,-
BELMONTE CALABRO,331,-,-,-,-
BELSITO,209,-,-,-,-
BELVEDERE MARITTIMO,1414,10,-,-,-
BIANCHI,273,-,-,-,-
BISIGNANO,1785,17,-,-,-
BOCCHIGLIERO,126,7,-,-,-
BONIFATI,328,6,-,-,-
BUONVICINO,275,-,-,-,-
CALOPEZZATI,357,-,-,-,-
CALOVETO,315,-,-,-,-
CAMPANA,270,7,-,-,-
CANNA,78,-,-,-,-
CARIATI,1065,13,-,-,-
CAROLEI,578,-,-,-,-
CARPANZANO,18,-,-,-,-
CASALI DEL MANCO,2226,20,-,-,-
CASSANO ALLO IONIO,3376,29,-,-,-
CASTIGLIONE COSENTINO,725,8,-,-,-
CASTROLIBERO,2121,16,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3378,26,-,-,-
CELICO,464,7,-,-,-
CELLARA,98,-,-,-,-
CERCHIARA DI CALABRIA,345,6,-,-,-
CERISANO,601,-,-,-,-
CERVICATI,149,-,-,-,-
CERZETO,268,-,-,-,-
CETRARO,1933,21,-,-,-
CIVITA,55,-,-,-,-
CLETO,218,-,-,-,-
COLOSIMI,272,-,-,-,-
CORIGLIANO-ROSSANO,18187,157,-,-,-
COSENZA,15378,135,-,-,-
CROPALATI,188,-,-,-,-
CROSIA,2173,15,-,-,-
DIAMANTE,608,-,-,-,-
DIPIGNANO,980,8,-,-,-
DOMANICO,245,-,-,-,-
FAGNANO CASTELLO,372,-,-,-,-
FALCONARA ALBANESE,249,-,-,-,-
FIGLINE VEGLIATURO,303,-,-,-,-
FIRMO,256,-,-,-,-
FIUMEFREDDO BRUZIO,651,-,-,-,-
FRANCAVILLA MARITTIMA,520,-,-,-,-
FRASCINETO,357,-,-,-,-
FUSCALDO,1586,8,-,-,-
GRIMALDI,367,-,-,-,-
GRISOLIA,427,-,-,-,-
GUARDIA PIEMONTESE,293,-,-,-,-
