Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,207,-,-,-,-
ACQUAPPESA,334,-,-,-,-
ACRI,3716,33,-,-,-
AIELLO CALABRO,311,-,-,-,-
AIETA,59,-,-,-,-
ALBIDONA,329,-,-,-,-
ALESSANDRIA DEL CARRETTO,47,-,-,-,-
ALTILIA,179,-,-,-,-
ALTOMONTE,836,-,-,-,-
ALTRA ASP,1045,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4337,25,-,-,-
AMENDOLARA,289,-,-,-,-
APRIGLIANO,567,10,-,-,-
BELMONTE CALABRO,393,-,-,-,-
BELSITO,249,-,-,-,-
BELVEDERE MARITTIMO,1691,10,-,-,-
BIANCHI,357,-,-,-,-
BISIGNANO,2026,20,-,-,-
BOCCHIGLIERO,134,7,-,-,-
BONIFATI,386,7,-,-,-
BUONVICINO,315,-,-,-,-
CALOPEZZATI,476,-,-,-,-
CALOVETO,363,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,135,-,-,-,-
CARIATI,1220,15,-,-,-
CAROLEI,660,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2539,21,-,-,-
CASSANO ALLO IONIO,3861,30,-,-,-
CASTIGLIONE COSENTINO,840,8,-,-,-
CASTROLIBERO,2395,18,-,-,-
CASTROREGIO,44,-,-,-,-
CASTROVILLARI,3920,31,-,-,-
CELICO,507,7,-,-,-
CELLARA,110,-,-,-,-
CERCHIARA DI CALABRIA,453,8,-,-,-
CERISANO,722,-,-,-,-
CERVICATI,170,-,-,-,-
CERZETO,311,-,-,-,-
CETRARO,2334,24,-,-,-
CIVITA,64,-,-,-,-
CLETO,267,-,-,-,-
COLOSIMI,374,-,-,-,-
CORIGLIANO-ROSSANO,21347,164,-,-,-
COSENZA,17287,148,-,-,-
CROPALATI,224,-,-,-,-
CROSIA,2542,16,-,-,-
DIAMANTE,835,7,-,-,-
DIPIGNANO,1129,9,-,-,-
DOMANICO,300,-,-,-,-
FAGNANO CASTELLO,424,6,-,-,-
FALCONARA ALBANESE,284,-,-,-,-
FIGLINE VEGLIATURO,341,-,-,-,-
FIRMO,326,-,-,-,-
FIUMEFREDDO BRUZIO,770,-,-,-,-
FRANCAVILLA MARITTIMA,627,-,-,-,-
FRASCINETO,416,-,-,-,-
FUSCALDO,1839,8,-,-,-
GRIMALDI,403,-,-,-,-
GRISOLIA,471,-,-,-,-
GUARDIA PIEMONTESE,395,-,-,-,-
LAGO,570,-,-,-,-
LAINO BORGO,432,-,-,-,-
LAINO CASTELLO,173,-,-,-,-
LAPPANO,172,-,-,-,-
LATTARICO,982,6,-,-,-
LONGOBARDI,502,23,-,-,-
LONGOBUCCO,744,-,-,-,-
LUNGRO,343,6,-,-,-
LUZZI,2131,17,-,-,-
MAIERA',209,-,-,-,-
MALITO,153,-,-,-,-
MALVITO,290,8,-,-,-
MANDATORICCIO,535,-,-,-,-
MANGONE,477,-,-,-,-
MARANO MARCHESATO,920,8,-,-,-
MARANO PRINCIPATO,672,-,-,-,-
MARZI,222,-,-,-,-
MENDICINO,2387,9,-,-,-
MONGRASSANO,439,6,-,-,-
MONTALTO UFFUGO,6313,26,-,-,-
MONTEGIORDANO,372,-,-,-,-
MORANO CALABRO,305,10,-,-,-
MORMANNO,265,9,-,-,-
MOTTAFOLLONE,156,-,-,-,-
NOCARA,42,-,-,-,-
ORIOLO,146,-,-,-,-
ORSOMARSO,240,-,-,-,-
PALUDI,194,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3401,31,-,-,-
PAPASIDERO,38,-,-,-,-
PARENTI,563,-,-,-,-
PATERNO CALABRO,374,-,-,-,-
PEDIVIGLIANO,192,-,-,-,-
PIANE CRATI,327,-,-,-,-
PIETRAFITTA,200,-,-,-,-
PIETRAPAOLA,273,-,-,-,-
PLATACI,87,-,-,-,-
PRAIA A MARE,1016,7,-,-,-
RENDE,10216,53,-,-,-
ROCCA IMPERIALE,354,-,-,-,-
ROGGIANO GRAVINA,1376,17,-,-,-
ROGLIANO,1372,11,-,-,-
ROSE,1071,8,-,-,-
ROSETO CAPO SPULICO,190,-,-,-,-
ROTA GRECA,209,-,-,-,-
ROVITO,472,-,-,-,-
SAN BASILE,120,-,-,-,-
SAN BENEDETTO ULLANO,269,-,-,-,-
SAN COSMO ALBANESE,183,6,-,-,-
SAN DEMETRIO CORONE,617,-,-,-,-
SAN DONATO DI NINEA,255,-,-,-,-
SAN FILI,507,6,-,-,-
SAN GIORGIO ALBANESE,321,6,-,-,-
SAN GIOVANNI IN FIORE,3983,34,-,-,-
SAN LORENZO BELLIZZI,77,-,-,-,-
SAN LORENZO DEL VALLO,463,-,-,-,-
SAN LUCIDO,941,9,-,-,-
SAN MARCO ARGENTANO,1600,7,-,-,-
SAN MARTINO DI FINITA,222,-,-,-,-
SAN NICOLA ARCELLA,274,-,-,-,-
SAN PIETRO IN AMANTEA,124,-,-,-,-
SAN PIETRO IN GUARANO,967,9,-,-,-
SAN SOSTI,369,7,-,-,-
SAN VINCENZO LA COSTA,613,-,-,-,-
SANGINETO,163,-,-,-,-
SANTA CATERINA ALBANESE,108,-,-,-,-
SANTA DOMENICA TALAO,74,-,-,-,-
