Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,199,-,-,-,-
ACQUAPPESA,300,-,-,-,-
ACRI,3480,33,-,-,-
AIELLO CALABRO,295,-,-,-,-
AIETA,42,-,-,-,-
ALBIDONA,285,-,-,-,-
ALESSANDRIA DEL CARRETTO,42,-,-,-,-
ALTILIA,176,-,-,-,-
ALTOMONTE,814,-,-,-,-
ALTRA ASP,1032,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4096,24,-,-,-
AMENDOLARA,278,-,-,-,-
APRIGLIANO,552,10,-,-,-
BELMONTE CALABRO,366,-,-,-,-
BELSITO,233,-,-,-,-
BELVEDERE MARITTIMO,1586,10,-,-,-
BIANCHI,332,-,-,-,-
BISIGNANO,1931,19,-,-,-
BOCCHIGLIERO,130,7,-,-,-
BONIFATI,369,7,-,-,-
BUONVICINO,288,-,-,-,-
CALOPEZZATI,441,-,-,-,-
CALOVETO,347,-,-,-,-
CAMPANA,278,7,-,-,-
CANNA,119,-,-,-,-
CARIATI,1180,14,-,-,-
CAROLEI,635,-,-,-,-
CARPANZANO,24,-,-,-,-
CASALI DEL MANCO,2449,21,-,-,-
CASSANO ALLO IONIO,3743,30,-,-,-
CASTIGLIONE COSENTINO,805,8,-,-,-
CASTROLIBERO,2293,17,-,-,-
CASTROREGIO,43,-,-,-,-
CASTROVILLARI,3783,30,-,-,-
CELICO,487,7,-,-,-
CELLARA,99,-,-,-,-
CERCHIARA DI CALABRIA,442,8,-,-,-
CERISANO,693,-,-,-,-
CERVICATI,158,-,-,-,-
CERZETO,299,-,-,-,-
CETRARO,2161,24,-,-,-
CIVITA,60,-,-,-,-
CLETO,246,-,-,-,-
COLOSIMI,318,-,-,-,-
CORIGLIANO-ROSSANO,20565,162,-,-,-
COSENZA,16662,143,-,-,-
CROPALATI,214,-,-,-,-
CROSIA,2443,16,-,-,-
DIAMANTE,758,6,-,-,-
DIPIGNANO,1082,8,-,-,-
DOMANICO,280,-,-,-,-
FAGNANO CASTELLO,413,6,-,-,-
FALCONARA ALBANESE,267,-,-,-,-
FIGLINE VEGLIATURO,332,-,-,-,-
FIRMO,297,-,-,-,-
FIUMEFREDDO BRUZIO,713,-,-,-,-
FRANCAVILLA MARITTIMA,594,-,-,-,-
FRASCINETO,408,-,-,-,-
FUSCALDO,1767,8,-,-,-
GRIMALDI,391,-,-,-,-
GRISOLIA,461,-,-,-,-
