Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,207,-,-,-,-
ACQUAPPESA,343,-,-,-,-
ACRI,3739,34,-,-,-
AIELLO CALABRO,314,-,-,-,-
AIETA,61,-,-,-,-
ALBIDONA,346,-,-,-,-
ALESSANDRIA DEL CARRETTO,48,-,-,-,-
ALTILIA,179,-,-,-,-
ALTOMONTE,870,-,-,-,-
ALTRA ASP,1045,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4384,25,-,-,-
AMENDOLARA,290,-,-,-,-
APRIGLIANO,567,10,-,-,-
BELMONTE CALABRO,396,-,-,-,-
BELSITO,250,-,-,-,-
BELVEDERE MARITTIMO,1705,10,-,-,-
BIANCHI,369,-,-,-,-
BISIGNANO,2038,20,-,-,-
BOCCHIGLIERO,135,7,-,-,-
BONIFATI,387,7,-,-,-
BUONVICINO,315,-,-,-,-
CALOPEZZATI,478,-,-,-,-
CALOVETO,363,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,135,-,-,-,-
CARIATI,1220,16,-,-,-
CAROLEI,664,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2560,22,-,-,-
CASSANO ALLO IONIO,3880,30,-,-,-
CASTIGLIONE COSENTINO,848,8,-,-,-
CASTROLIBERO,2419,18,-,-,-
CASTROREGIO,44,-,-,-,-
CASTROVILLARI,3967,31,-,-,-
CELICO,529,7,-,-,-
CELLARA,112,-,-,-,-
CERCHIARA DI CALABRIA,453,9,-,-,-
CERISANO,730,-,-,-,-
CERVICATI,171,-,-,-,-
CERZETO,311,-,-,-,-
CETRARO,2343,24,-,-,-
CIVITA,64,-,-,-,-
CLETO,268,-,-,-,-
COLOSIMI,379,-,-,-,-
CORIGLIANO-ROSSANO,21480,164,-,-,-
COSENZA,17500,148,-,-,-
CROPALATI,226,-,-,-,-
CROSIA,2554,17,-,-,-
DIAMANTE,868,7,-,-,-
DIPIGNANO,1156,9,-,-,-
DOMANICO,305,-,-,-,-
FAGNANO CASTELLO,429,6,-,-,-
FALCONARA ALBANESE,285,-,-,-,-
FIGLINE VEGLIATURO,342,-,-,-,-
FIRMO,331,-,-,-,-
FIUMEFREDDO BRUZIO,785,-,-,-,-
FRANCAVILLA MARITTIMA,632,-,-,-,-
FRASCINETO,421,-,-,-,-
FUSCALDO,1856,8,-,-,-
GRIMALDI,403,-,-,-,-
GRISOLIA,472,-,-,-,-
GUARDIA PIEMONTESE,404,-,-,-,-
LAGO,577,-,-,-,-
LAINO BORGO,434,-,-,-,-
LAINO CASTELLO,173,-,-,-,-
LAPPANO,174,-,-,-,-
LATTARICO,992,6,-,-,-
LONGOBARDI,508,23,-,-,-
LONGOBUCCO,748,-,-,-,-
LUNGRO,349,6,-,-,-
LUZZI,2147,17,-,-,-
MAIERA',210,-,-,-,-
MALITO,153,-,-,-,-
MALVITO,293,8,-,-,-
MANDATORICCIO,535,-,-,-,-
MANGONE,482,-,-,-,-
MARANO MARCHESATO,931,8,-,-,-
MARANO PRINCIPATO,678,-,-,-,-
MARZI,224,-,-,-,-
MENDICINO,2422,9,-,-,-
MONGRASSANO,442,6,-,-,-
MONTALTO UFFUGO,6374,26,-,-,-
MONTEGIORDANO,375,-,-,-,-
MORANO CALABRO,309,10,-,-,-
