Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,211,-,-,-,-
ACQUAPPESA,385,-,-,-,-
ACRI,4127,36,-,-,-
AIELLO CALABRO,337,-,-,-,-
AIETA,68,-,-,-,-
ALBIDONA,380,-,-,-,-
ALESSANDRIA DEL CARRETTO,51,-,-,-,-
ALTILIA,204,-,-,-,-
ALTOMONTE,983,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4715,25,-,-,-
AMENDOLARA,312,-,-,-,-
APRIGLIANO,615,10,-,-,-
BELMONTE CALABRO,426,-,-,-,-
BELSITO,264,-,-,-,-
BELVEDERE MARITTIMO,1860,10,-,-,-
BIANCHI,386,-,-,-,-
BISIGNANO,2195,21,-,-,-
BOCCHIGLIERO,144,7,-,-,-
BONIFATI,413,7,-,-,-
BUONVICINO,361,-,-,-,-
CALOPEZZATI,491,-,-,-,-
CALOVETO,377,-,-,-,-
CAMPANA,285,7,-,-,-
CANNA,141,-,-,-,-
CARIATI,1240,16,-,-,-
CAROLEI,831,-,-,-,-
CARPANZANO,30,-,-,-,-
CASALI DEL MANCO,2832,25,-,-,-
CASSANO ALLO IONIO,4246,30,-,-,-
CASTIGLIONE COSENTINO,971,10,-,-,-
CASTROLIBERO,2727,18,-,-,-
CASTROREGIO,45,-,-,-,-
CASTROVILLARI,4451,32,-,-,-
CELICO,591,8,-,-,-
CELLARA,131,-,-,-,-
CERCHIARA DI CALABRIA,480,9,-,-,-
CERISANO,829,-,-,-,-
CERVICATI,194,-,-,-,-
CERZETO,332,-,-,-,-
CETRARO,2523,25,-,-,-
CIVITA,67,-,-,-,-
CLETO,293,-,-,-,-
COLOSIMI,411,-,-,-,-
CORIGLIANO-ROSSANO,23039,165,-,-,-
COSENZA,19838,155,-,-,-
CROPALATI,248,-,-,-,-
CROSIA,2698,17,-,-,-
DIAMANTE,926,8,-,-,-
DIPIGNANO,1339,12,-,-,-
DOMANICO,381,-,-,-,-
FAGNANO CASTELLO,471,6,-,-,-
FALCONARA ALBANESE,334,-,-,-,-
FIGLINE VEGLIATURO,362,-,-,-,-
FIRMO,339,-,-,-,-
FIUMEFREDDO BRUZIO,933,-,-,-,-
FRANCAVILLA MARITTIMA,662,-,-,-,-
FRASCINETO,466,-,-,-,-
FUSCALDO,2009,8,-,-,-
GRIMALDI,467,-,-,-,-
GRISOLIA,498,-,-,-,-
GUARDIA PIEMONTESE,461,-,-,-,-
LAGO,667,-,-,-,-
LAINO BORGO,461,-,-,-,-
LAINO CASTELLO,183,-,-,-,-
LAPPANO,186,-,-,-,-
LATTARICO,1104,6,-,-,-
LONGOBARDI,564,23,-,-,-
LONGOBUCCO,784,-,-,-,-
LUNGRO,369,6,-,-,-
LUZZI,2373,17,-,-,-
MAIERA',239,-,-,-,-
MALITO,200,-,-,-,-
MALVITO,355,8,-,-,-
MANDATORICCIO,553,-,-,-,-
MANGONE,517,-,-,-,-
MARANO MARCHESATO,1045,8,-,-,-
MARANO PRINCIPATO,775,-,-,-,-
MARZI,241,-,-,-,-
MENDICINO,2804,9,-,-,-
MONGRASSANO,489,6,-,-,-
