Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,192,-,-,-,-
ACQUAPPESA,279,-,-,-,-
ACRI,3218,32,-,-,-
AIELLO CALABRO,276,-,-,-,-
AIETA,38,-,-,-,-
ALBIDONA,255,-,-,-,-
ALESSANDRIA DEL CARRETTO,33,-,-,-,-
ALTILIA,170,-,-,-,-
ALTOMONTE,789,-,-,-,-
ALTRA ASP,1026,13,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3861,24,-,-,-
AMENDOLARA,263,-,-,-,-
APRIGLIANO,530,10,-,-,-
BELMONTE CALABRO,341,-,-,-,-
BELSITO,213,-,-,-,-
BELVEDERE MARITTIMO,1496,10,-,-,-
BIANCHI,280,-,-,-,-
BISIGNANO,1842,17,-,-,-
BOCCHIGLIERO,127,7,-,-,-
BONIFATI,343,7,-,-,-
BUONVICINO,281,-,-,-,-
CALOPEZZATI,390,-,-,-,-
CALOVETO,337,-,-,-,-
CAMPANA,275,7,-,-,-
CANNA,95,-,-,-,-
CARIATI,1109,13,-,-,-
CAROLEI,601,-,-,-,-
CARPANZANO,19,-,-,-,-
CASALI DEL MANCO,2318,20,-,-,-
CASSANO ALLO IONIO,3561,29,-,-,-
CASTIGLIONE COSENTINO,771,8,-,-,-
CASTROLIBERO,2220,16,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3580,27,-,-,-
CELICO,480,7,-,-,-
CELLARA,98,-,-,-,-
CERCHIARA DI CALABRIA,404,7,-,-,-
CERISANO,656,-,-,-,-
CERVICATI,154,-,-,-,-
CERZETO,275,-,-,-,-
CETRARO,2045,23,-,-,-
CIVITA,56,-,-,-,-
CLETO,224,-,-,-,-
COLOSIMI,286,-,-,-,-
CORIGLIANO-ROSSANO,19307,159,-,-,-
COSENZA,16026,139,-,-,-
CROPALATI,202,-,-,-,-
CROSIA,2289,15,-,-,-
DIAMANTE,674,-,-,-,-
DIPIGNANO,1041,8,-,-,-
DOMANICO,259,-,-,-,-
FAGNANO CASTELLO,395,6,-,-,-
FALCONARA ALBANESE,258,-,-,-,-
FIGLINE VEGLIATURO,322,-,-,-,-
FIRMO,277,-,-,-,-
FIUMEFREDDO BRUZIO,678,-,-,-,-
FRANCAVILLA MARITTIMA,555,-,-,-,-
FRASCINETO,396,-,-,-,-
FUSCALDO,1666,8,-,-,-
GRIMALDI,384,-,-,-,-
GRISOLIA,442,-,-,-,-
GUARDIA PIEMONTESE,315,-,-,-,-
LAGO,529,-,-,-,-
LAINO BORGO,392,-,-,-,-
LAINO CASTELLO,157,-,-,-,-
LAPPANO,163,-,-,-,-
LATTARICO,910,6,-,-,-
LONGOBARDI,460,21,-,-,-
LONGOBUCCO,654,-,-,-,-
LUNGRO,322,6,-,-,-
LUZZI,1960,17,-,-,-
MAIERA',191,-,-,-,-
MALITO,131,-,-,-,-
MALVITO,261,7,-,-,-
MANDATORICCIO,500,-,-,-,-
MANGONE,437,-,-,-,-
MARANO MARCHESATO,863,8,-,-,-
MARANO PRINCIPATO,637,-,-,-,-
MARZI,210,-,-,-,-
MENDICINO,2253,7,-,-,-
MONGRASSANO,404,-,-,-,-
MONTALTO UFFUGO,5816,23,-,-,-
MONTEGIORDANO,331,-,-,-,-
MORANO CALABRO,292,9,-,-,-
MORMANNO,231,9,-,-,-
MOTTAFOLLONE,145,-,-,-,-
NOCARA,38,-,-,-,-
ORIOLO,138,-,-,-,-
ORSOMARSO,226,-,-,-,-
PALUDI,167,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3029,31,-,-,-
PAPASIDERO,34,-,-,-,-
PARENTI,524,-,-,-,-
PATERNO CALABRO,354,-,-,-,-
PEDIVIGLIANO,164,-,-,-,-
PIANE CRATI,308,-,-,-,-
PIETRAFITTA,176,-,-,-,-
PIETRAPAOLA,233,-,-,-,-
PLATACI,77,-,-,-,-
PRAIA A MARE,859,7,-,-,-
RENDE,9505,50,-,-,-
ROCCA IMPERIALE,341,-,-,-,-
ROGGIANO GRAVINA,1242,15,-,-,-
ROGLIANO,1296,11,-,-,-
ROSE,984,8,-,-,-
ROSETO CAPO SPULICO,160,-,-,-,-
ROTA GRECA,186,-,-,-,-
ROVITO,427,-,-,-,-
SAN BASILE,115,-,-,-,-
SAN BENEDETTO ULLANO,259,-,-,-,-
SAN COSMO ALBANESE,160,6,-,-,-
SAN DEMETRIO CORONE,548,-,-,-,-
SAN DONATO DI NINEA,212,-,-,-,-
SAN FILI,472,-,-,-,-
SAN GIORGIO ALBANESE,274,-,-,-,-
SAN GIOVANNI IN FIORE,3580,33,-,-,-
SAN LORENZO BELLIZZI,59,-,-,-,-
SAN LORENZO DEL VALLO,415,-,-,-,-
SAN LUCIDO,794,9,-,-,-
SAN MARCO ARGENTANO,1450,7,-,-,-
SAN MARTINO DI FINITA,179,-,-,-,-
SAN NICOLA ARCELLA,250,-,-,-,-
SAN PIETRO IN AMANTEA,114,-,-,-,-
SAN PIETRO IN GUARANO,885,9,-,-,-
SAN SOSTI,316,7,-,-,-
SAN VINCENZO LA COSTA,570,-,-,-,-
SANGINETO,153,-,-,-,-
SANTA CATERINA ALBANESE,106,-,-,-,-
SANTA DOMENICA TALAO,69,-,-,-,-
SANTA MARIA DEL CEDRO,747,-,-,-,-
SANTA SOFIA D'EPIRO,232,7,-,-,-
SANT'AGATA DI ESARO,121,-,-,-,-
SANTO STEFANO DI ROGLIANO,545,-,-,-,-
SARACENA,750,6,-,-,-
SCALA COELI,37,-,-,-,-
SCALEA,1952,8,-,-,-
SCIGLIANO,160,-,-,-,-
SERRA D'AIELLO,133,-,-,-,-
