Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,222,-,-,-,-
ACQUAPPESA,424,-,-,-,-
ACRI,4438,41,-,-,-
AIELLO CALABRO,376,-,-,-,-
AIETA,77,-,-,-,-
ALBIDONA,412,-,-,-,-
ALESSANDRIA DEL CARRETTO,55,-,-,-,-
ALTILIA,220,-,-,-,-
ALTOMONTE,1033,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,5235,27,-,-,-
AMENDOLARA,333,-,-,-,-
APRIGLIANO,669,12,-,-,-
BELMONTE CALABRO,520,-,-,-,-
BELSITO,276,-,-,-,-
BELVEDERE MARITTIMO,2052,11,-,-,-
BIANCHI,406,-,-,-,-
BISIGNANO,2363,21,-,-,-
BOCCHIGLIERO,153,7,-,-,-
BONIFATI,428,8,-,-,-
BUONVICINO,402,-,-,-,-
CALOPEZZATI,536,-,-,-,-
CALOVETO,395,-,-,-,-
CAMPANA,319,8,-,-,-
CANNA,160,-,-,-,-
CARIATI,1334,18,-,-,-
CAROLEI,920,-,-,-,-
CARPANZANO,31,-,-,-,-
CASALI DEL MANCO,3015,26,-,-,-
CASSANO ALLO IONIO,4585,32,-,-,-
CASTIGLIONE COSENTINO,1074,11,-,-,-
CASTROLIBERO,3025,20,-,-,-
CASTROREGIO,52,-,-,-,-
CASTROVILLARI,4914,37,-,-,-
CELICO,616,8,-,-,-
CELLARA,150,-,-,-,-
CERCHIARA DI CALABRIA,514,10,-,-,-
CERISANO,915,-,-,-,-
CERVICATI,206,-,-,-,-
CERZETO,362,-,-,-,-
CETRARO,2733,25,-,-,-
CIVITA,75,-,-,-,-
CLETO,359,-,-,-,-
COLOSIMI,439,-,-,-,-
CORIGLIANO-ROSSANO,24778,176,-,-,-
COSENZA,21681,171,-,-,-
CROPALATI,267,-,-,-,-
CROSIA,2966,17,-,-,-
DIAMANTE,1002,8,-,-,-
DIPIGNANO,1472,12,-,-,-
DOMANICO,402,-,-,-,-
FAGNANO CASTELLO,497,6,-,-,-
