Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,200,-,-,-,-
ACQUAPPESA,312,-,-,-,-
ACRI,3593,33,-,-,-
AIELLO CALABRO,300,-,-,-,-
AIETA,45,-,-,-,-
ALBIDONA,320,-,-,-,-
ALESSANDRIA DEL CARRETTO,44,-,-,-,-
ALTILIA,179,-,-,-,-
ALTOMONTE,815,-,-,-,-
ALTRA ASP,1041,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4214,25,-,-,-
AMENDOLARA,283,-,-,-,-
APRIGLIANO,557,10,-,-,-
BELMONTE CALABRO,379,-,-,-,-
BELSITO,235,-,-,-,-
BELVEDERE MARITTIMO,1628,10,-,-,-
BIANCHI,347,-,-,-,-
BISIGNANO,1961,19,-,-,-
BOCCHIGLIERO,131,7,-,-,-
BONIFATI,378,7,-,-,-
BUONVICINO,300,-,-,-,-
CALOPEZZATI,463,-,-,-,-
CALOVETO,351,-,-,-,-
CAMPANA,281,7,-,-,-
CANNA,124,-,-,-,-
CARIATI,1213,15,-,-,-
CAROLEI,643,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2481,21,-,-,-
CASSANO ALLO IONIO,3813,30,-,-,-
CASTIGLIONE COSENTINO,820,8,-,-,-
CASTROLIBERO,2339,17,-,-,-
CASTROREGIO,44,-,-,-,-
CASTROVILLARI,3850,30,-,-,-
CELICO,493,7,-,-,-
CELLARA,103,-,-,-,-
CERCHIARA DI CALABRIA,451,8,-,-,-
CERISANO,708,-,-,-,-
CERVICATI,160,-,-,-,-
CERZETO,304,-,-,-,-
CETRARO,2266,24,-,-,-
CIVITA,64,-,-,-,-
CLETO,254,-,-,-,-
COLOSIMI,339,-,-,-,-
CORIGLIANO-ROSSANO,20942,162,-,-,-
COSENZA,16914,147,-,-,-
CROPALATI,220,-,-,-,-
CROSIA,2509,16,-,-,-
DIAMANTE,784,6,-,-,-
DIPIGNANO,1099,9,-,-,-
DOMANICO,283,-,-,-,-
FAGNANO CASTELLO,419,6,-,-,-
FALCONARA ALBANESE,275,-,-,-,-
FIGLINE VEGLIATURO,335,-,-,-,-
FIRMO,307,-,-,-,-
FIUMEFREDDO BRUZIO,735,-,-,-,-
FRANCAVILLA MARITTIMA,602,-,-,-,-
FRASCINETO,409,-,-,-,-
FUSCALDO,1807,8,-,-,-
GRIMALDI,399,-,-,-,-
GRISOLIA,467,-,-,-,-
GUARDIA PIEMONTESE,373,-,-,-,-
LAGO,554,-,-,-,-
LAINO BORGO,420,-,-,-,-
LAINO CASTELLO,166,-,-,-,-
LAPPANO,170,-,-,-,-
LATTARICO,954,6,-,-,-
LONGOBARDI,492,23,-,-,-
LONGOBUCCO,725,-,-,-,-
LUNGRO,333,6,-,-,-
LUZZI,2074,17,-,-,-
MAIERA',197,-,-,-,-
MALITO,150,-,-,-,-
MALVITO,282,8,-,-,-
MANDATORICCIO,526,-,-,-,-
MANGONE,465,-,-,-,-
MARANO MARCHESATO,908,8,-,-,-
MARANO PRINCIPATO,660,-,-,-,-
MARZI,219,-,-,-,-
MENDICINO,2350,9,-,-,-
MONGRASSANO,432,6,-,-,-
MONTALTO UFFUGO,6209,26,-,-,-
MONTEGIORDANO,361,-,-,-,-
MORANO CALABRO,300,10,-,-,-
MORMANNO,251,9,-,-,-
MOTTAFOLLONE,153,-,-,-,-
NOCARA,42,-,-,-,-
ORIOLO,143,-,-,-,-
ORSOMARSO,235,-,-,-,-
PALUDI,193,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3309,31,-,-,-
PAPASIDERO,36,-,-,-,-
PARENTI,543,-,-,-,-
PATERNO CALABRO,368,-,-,-,-
PEDIVIGLIANO,186,-,-,-,-
PIANE CRATI,321,-,-,-,-
PIETRAFITTA,200,-,-,-,-
PIETRAPAOLA,265,-,-,-,-
PLATACI,85,-,-,-,-
PRAIA A MARE,983,7,-,-,-
RENDE,10043,53,-,-,-
ROCCA IMPERIALE,348,-,-,-,-
ROGGIANO GRAVINA,1341,15,-,-,-
ROGLIANO,1339,11,-,-,-
ROSE,1061,8,-,-,-
ROSETO CAPO SPULICO,187,-,-,-,-
ROTA GRECA,203,-,-,-,-
ROVITO,465,-,-,-,-
SAN BASILE,119,-,-,-,-
SAN BENEDETTO ULLANO,269,-,-,-,-
SAN COSMO ALBANESE,182,6,-,-,-
SAN DEMETRIO CORONE,611,-,-,-,-
