Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,210,-,-,-,-
ACQUAPPESA,378,-,-,-,-
ACRI,4039,35,-,-,-
AIELLO CALABRO,335,-,-,-,-
AIETA,68,-,-,-,-
ALBIDONA,378,-,-,-,-
ALESSANDRIA DEL CARRETTO,51,-,-,-,-
ALTILIA,200,-,-,-,-
ALTOMONTE,964,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,600,11,-,-,-
AMANTEA,4657,25,-,-,-
AMENDOLARA,309,-,-,-,-
APRIGLIANO,606,10,-,-,-
BELMONTE CALABRO,422,-,-,-,-
BELSITO,257,-,-,-,-
BELVEDERE MARITTIMO,1809,10,-,-,-
BIANCHI,381,-,-,-,-
BISIGNANO,2160,21,-,-,-
BOCCHIGLIERO,144,7,-,-,-
BONIFATI,411,7,-,-,-
BUONVICINO,352,-,-,-,-
CALOPEZZATI,487,-,-,-,-
CALOVETO,376,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,140,-,-,-,-
CARIATI,1236,16,-,-,-
CAROLEI,819,-,-,-,-
CARPANZANO,29,-,-,-,-
CASALI DEL MANCO,2789,24,-,-,-
CASSANO ALLO IONIO,4197,30,-,-,-
CASTIGLIONE COSENTINO,955,10,-,-,-
CASTROLIBERO,2676,18,-,-,-
CASTROREGIO,45,-,-,-,-
CASTROVILLARI,4360,31,-,-,-
CELICO,582,8,-,-,-
CELLARA,130,-,-,-,-
CERCHIARA DI CALABRIA,467,9,-,-,-
CERISANO,810,-,-,-,-
CERVICATI,191,-,-,-,-
CERZETO,332,-,-,-,-
CETRARO,2454,24,-,-,-
CIVITA,67,-,-,-,-
CLETO,291,-,-,-,-
COLOSIMI,408,-,-,-,-
CORIGLIANO-ROSSANO,22844,165,-,-,-
COSENZA,19423,154,-,-,-
CROPALATI,243,-,-,-,-
CROSIA,2679,17,-,-,-
DIAMANTE,917,8,-,-,-
DIPIGNANO,1312,11,-,-,-
DOMANICO,343,-,-,-,-
FAGNANO CASTELLO,462,6,-,-,-
FALCONARA ALBANESE,316,-,-,-,-
FIGLINE VEGLIATURO,355,-,-,-,-
FIRMO,336,-,-,-,-
FIUMEFREDDO BRUZIO,910,-,-,-,-
