Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,211,-,-,-,-
ACQUAPPESA,398,-,-,-,-
ACRI,4167,36,-,-,-
AIELLO CALABRO,343,-,-,-,-
AIETA,68,-,-,-,-
ALBIDONA,381,-,-,-,-
ALESSANDRIA DEL CARRETTO,51,-,-,-,-
ALTILIA,211,-,-,-,-
ALTOMONTE,993,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4783,25,-,-,-
AMENDOLARA,317,-,-,-,-
APRIGLIANO,622,10,-,-,-
BELMONTE CALABRO,443,-,-,-,-
BELSITO,265,-,-,-,-
BELVEDERE MARITTIMO,1882,10,-,-,-
BIANCHI,392,-,-,-,-
BISIGNANO,2218,21,-,-,-
BOCCHIGLIERO,145,7,-,-,-
BONIFATI,415,7,-,-,-
BUONVICINO,369,-,-,-,-
CALOPEZZATI,493,-,-,-,-
CALOVETO,378,-,-,-,-
CAMPANA,308,7,-,-,-
CANNA,142,-,-,-,-
CARIATI,1244,16,-,-,-
CAROLEI,841,-,-,-,-
CARPANZANO,30,-,-,-,-
CASALI DEL MANCO,2856,25,-,-,-
CASSANO ALLO IONIO,4285,30,-,-,-
CASTIGLIONE COSENTINO,998,10,-,-,-
CASTROLIBERO,2767,18,-,-,-
CASTROREGIO,47,-,-,-,-
CASTROVILLARI,4508,34,-,-,-
CELICO,597,8,-,-,-
CELLARA,134,-,-,-,-
CERCHIARA DI CALABRIA,482,10,-,-,-
CERISANO,840,-,-,-,-
CERVICATI,195,-,-,-,-
CERZETO,335,-,-,-,-
CETRARO,2557,25,-,-,-
CIVITA,68,-,-,-,-
CLETO,297,-,-,-,-
COLOSIMI,412,-,-,-,-
CORIGLIANO-ROSSANO,23303,166,-,-,-
COSENZA,20163,160,-,-,-
CROPALATI,249,-,-,-,-
CROSIA,2717,17,-,-,-
DIAMANTE,944,8,-,-,-
DIPIGNANO,1356,12,-,-,-
DOMANICO,391,-,-,-,-
FAGNANO CASTELLO,472,6,-,-,-
FALCONARA ALBANESE,346,-,-,-,-
FIGLINE VEGLIATURO,372,-,-,-,-
FIRMO,354,-,-,-,-
FIUMEFREDDO BRUZIO,946,-,-,-,-
FRANCAVILLA MARITTIMA,669,-,-,-,-
FRASCINETO,472,-,-,-,-
FUSCALDO,2034,8,-,-,-
GRIMALDI,475,-,-,-,-
GRISOLIA,504,-,-,-,-
GUARDIA PIEMONTESE,468,-,-,-,-
LAGO,676,-,-,-,-
LAINO BORGO,468,-,-,-,-
LAINO CASTELLO,185,-,-,-,-
LAPPANO,187,-,-,-,-
LATTARICO,1111,6,-,-,-
LONGOBARDI,570,23,-,-,-
LONGOBUCCO,790,-,-,-,-
LUNGRO,374,6,-,-,-
LUZZI,2385,17,-,-,-
MAIERA',246,-,-,-,-
MALITO,205,-,-,-,-
MALVITO,359,8,-,-,-
MANDATORICCIO,559,-,-,-,-
MANGONE,526,-,-,-,-
MARANO MARCHESATO,1049,8,-,-,-
MARANO PRINCIPATO,796,-,-,-,-
MARZI,246,-,-,-,-
MENDICINO,2855,9,-,-,-
MONGRASSANO,500,6,-,-,-
MONTALTO UFFUGO,7200,29,-,-,-
MONTEGIORDANO,397,-,-,-,-
MORANO CALABRO,444,10,-,-,-
MORMANNO,275,11,-,-,-
MOTTAFOLLONE,196,-,-,-,-
NOCARA,49,-,-,-,-
ORIOLO,157,-,-,-,-
ORSOMARSO,260,-,-,-,-
PALUDI,228,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3896,35,-,-,-
PAPASIDERO,41,-,-,-,-
PARENTI,582,-,-,-,-
PATERNO CALABRO,437,-,-,-,-
PEDIVIGLIANO,212,-,-,-,-
PIANE CRATI,370,-,-,-,-
PIETRAFITTA,221,-,-,-,-
PIETRAPAOLA,291,-,-,-,-
PLATACI,95,-,-,-,-
PRAIA A MARE,1149,7,-,-,-
RENDE,12100,57,-,-,-
ROCCA IMPERIALE,370,-,-,-,-
ROGGIANO GRAVINA,1518,17,-,-,-
ROGLIANO,1535,11,-,-,-
ROSE,1220,8,-,-,-
ROSETO CAPO SPULICO,200,-,-,-,-
ROTA GRECA,250,-,-,-,-
ROVITO,518,-,-,-,-
SAN BASILE,138,-,-,-,-
SAN BENEDETTO ULLANO,288,-,-,-,-
SAN COSMO ALBANESE,199,6,-,-,-
SAN DEMETRIO CORONE,685,-,-,-,-
SAN DONATO DI NINEA,286,-,-,-,-
SAN FILI,575,6,-,-,-
SAN GIORGIO ALBANESE,395,6,-,-,-
SAN GIOVANNI IN FIORE,4206,34,-,-,-
SAN LORENZO BELLIZZI,79,-,-,-,-
SAN LORENZO DEL VALLO,539,-,-,-,-
SAN LUCIDO,1114,10,-,-,-
SAN MARCO ARGENTANO,1799,7,-,-,-
SAN MARTINO DI FINITA,260,-,-,-,-
SAN NICOLA ARCELLA,299,-,-,-,-
SAN PIETRO IN AMANTEA,131,-,-,-,-
SAN PIETRO IN GUARANO,1168,10,-,-,-
SAN SOSTI,439,7,-,-,-
SAN VINCENZO LA COSTA,712,-,-,-,-
SANGINETO,171,-,-,-,-
SANTA CATERINA ALBANESE,131,-,-,-,-
SANTA DOMENICA TALAO,80,-,-,-,-
SANTA MARIA DEL CEDRO,858,-,-,-,-
SANTA SOFIA D'EPIRO,325,7,-,-,-
SANT'AGATA DI ESARO,129,-,-,-,-
SANTO STEFANO DI ROGLIANO,674,-,-,-,-
SARACENA,921,6,-,-,-
SCALA COELI,42,-,-,-,-
SCALEA,2311,8,-,-,-
SCIGLIANO,223,-,-,-,-
SERRA D'AIELLO,166,-,-,-,-
SPEZZANO ALBANESE,1343,21,-,-,-
SPEZZANO DELLA SILA,1083,16,-,-,-
TARSIA,441,-,-,-,-
TERRANOVA DA SIBARI,1055,13,-,-,-
TERRAVECCHIA,103,-,-,-,-
TORANO CASTELLO,1015,20,-,-,-
TORTORA,967,9,-,-,-
TREBISACCE,1980,16,-,-,-
VACCARIZZO ALBANESE,255,-,-,-,-
VERBICARO,305,6,-,-,-
VILLAPIANA,875,-,-,-,-
ZUMPANO,843,-,-,-,-
