Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,192,-,-,-,-
ACQUAPPESA,279,-,-,-,-
ACRI,3194,32,-,-,-
AIELLO CALABRO,273,-,-,-,-
AIETA,38,-,-,-,-
ALBIDONA,255,-,-,-,-
ALESSANDRIA DEL CARRETTO,33,-,-,-,-
ALTILIA,169,-,-,-,-
ALTOMONTE,781,-,-,-,-
ALTRA ASP,1024,13,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3828,24,-,-,-
AMENDOLARA,258,-,-,-,-
APRIGLIANO,528,10,-,-,-
BELMONTE CALABRO,340,-,-,-,-
BELSITO,210,-,-,-,-
BELVEDERE MARITTIMO,1474,10,-,-,-
BIANCHI,276,-,-,-,-
BISIGNANO,1833,17,-,-,-
BOCCHIGLIERO,127,7,-,-,-
BONIFATI,341,6,-,-,-
BUONVICINO,280,-,-,-,-
CALOPEZZATI,387,-,-,-,-
CALOVETO,334,-,-,-,-
CAMPANA,274,7,-,-,-
CANNA,88,-,-,-,-
CARIATI,1095,13,-,-,-
CAROLEI,596,-,-,-,-
CARPANZANO,19,-,-,-,-
CASALI DEL MANCO,2288,20,-,-,-
CASSANO ALLO IONIO,3510,29,-,-,-
CASTIGLIONE COSENTINO,762,8,-,-,-
CASTROLIBERO,2199,16,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3535,27,-,-,-
CELICO,476,7,-,-,-
CELLARA,98,-,-,-,-
CERCHIARA DI CALABRIA,398,6,-,-,-
CERISANO,642,-,-,-,-
CERVICATI,151,-,-,-,-
CERZETO,273,-,-,-,-
CETRARO,2024,23,-,-,-
CIVITA,56,-,-,-,-
CLETO,224,-,-,-,-
COLOSIMI,282,-,-,-,-
CORIGLIANO-ROSSANO,19022,158,-,-,-
COSENZA,15894,138,-,-,-
CROPALATI,197,-,-,-,-
CROSIA,2261,15,-,-,-
DIAMANTE,662,-,-,-,-
DIPIGNANO,1026,8,-,-,-
DOMANICO,258,-,-,-,-
FAGNANO CASTELLO,394,6,-,-,-
FALCONARA ALBANESE,253,-,-,-,-
FIGLINE VEGLIATURO,311,-,-,-,-
FIRMO,270,-,-,-,-
FIUMEFREDDO BRUZIO,673,-,-,-,-
FRANCAVILLA MARITTIMA,547,-,-,-,-
FRASCINETO,390,-,-,-,-
FUSCALDO,1649,8,-,-,-
GRIMALDI,379,-,-,-,-
GRISOLIA,439,-,-,-,-
GUARDIA PIEMONTESE,307,-,-,-,-
LAGO,525,-,-,-,-
LAINO BORGO,388,-,-,-,-
LAINO CASTELLO,155,-,-,-,-
LAPPANO,161,-,-,-,-
LATTARICO,902,6,-,-,-
LONGOBARDI,455,21,-,-,-
LONGOBUCCO,650,-,-,-,-
LUNGRO,320,6,-,-,-
LUZZI,1950,17,-,-,-
MAIERA',190,-,-,-,-
MALITO,125,-,-,-,-
MALVITO,261,7,-,-,-
MANDATORICCIO,499,-,-,-,-
MANGONE,432,-,-,-,-
MARANO MARCHESATO,855,8,-,-,-
MARANO PRINCIPATO,633,-,-,-,-
MARZI,210,-,-,-,-
MENDICINO,2237,7,-,-,-
MONGRASSANO,401,-,-,-,-
MONTALTO UFFUGO,5753,22,-,-,-
MONTEGIORDANO,330,-,-,-,-
MORANO CALABRO,292,9,-,-,-
MORMANNO,230,9,-,-,-
MOTTAFOLLONE,145,-,-,-,-
NOCARA,38,-,-,-,-
ORIOLO,138,-,-,-,-
ORSOMARSO,222,-,-,-,-
PALUDI,166,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,2996,31,-,-,-
PAPASIDERO,34,-,-,-,-
PARENTI,524,-,-,-,-
PATERNO CALABRO,348,-,-,-,-
PEDIVIGLIANO,163,-,-,-,-
PIANE CRATI,306,-,-,-,-
PIETRAFITTA,175,-,-,-,-
PIETRAPAOLA,231,-,-,-,-
PLATACI,76,-,-,-,-
PRAIA A MARE,833,7,-,-,-
RENDE,9404,50,-,-,-
ROCCA IMPERIALE,339,-,-,-,-
ROGGIANO GRAVINA,1226,15,-,-,-
ROGLIANO,1284,9,-,-,-
ROSE,973,8,-,-,-
ROSETO CAPO SPULICO,160,-,-,-,-
ROTA GRECA,185,-,-,-,-
ROVITO,423,-,-,-,-
SAN BASILE,113,-,-,-,-
SAN BENEDETTO ULLANO,259,-,-,-,-
SAN COSMO ALBANESE,157,6,-,-,-
SAN DEMETRIO CORONE,538,-,-,-,-
SAN DONATO DI NINEA,208,-,-,-,-
SAN FILI,472,-,-,-,-
SAN GIORGIO ALBANESE,269,-,-,-,-
SAN GIOVANNI IN FIORE,3547,32,-,-,-
SAN LORENZO BELLIZZI,58,-,-,-,-
SAN LORENZO DEL VALLO,411,-,-,-,-
SAN LUCIDO,789,9,-,-,-
SAN MARCO ARGENTANO,1440,7,-,-,-
SAN MARTINO DI FINITA,177,-,-,-,-
SAN NICOLA ARCELLA,248,-,-,-,-
SAN PIETRO IN AMANTEA,114,-,-,-,-
SAN PIETRO IN GUARANO,877,9,-,-,-
SAN SOSTI,315,7,-,-,-
SAN VINCENZO LA COSTA,562,-,-,-,-
SANGINETO,153,-,-,-,-
SANTA CATERINA ALBANESE,106,-,-,-,-
SANTA DOMENICA TALAO,69,-,-,-,-
SANTA MARIA DEL CEDRO,740,-,-,-,-
SANTA SOFIA D'EPIRO,228,7,-,-,-
SANT'AGATA DI ESARO,119,-,-,-,-
SANTO STEFANO DI ROGLIANO,540,-,-,-,-
SARACENA,745,6,-,-,-
SCALA COELI,36,-,-,-,-
SCALEA,1932,8,-,-,-
SCIGLIANO,160,-,-,-,-
SERRA D'AIELLO,131,-,-,-,-
