Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,197,-,-,-,-
ACQUAPPESA,290,-,-,-,-
ACRI,3306,33,-,-,-
AIELLO CALABRO,280,-,-,-,-
AIETA,40,-,-,-,-
ALBIDONA,256,-,-,-,-
ALESSANDRIA DEL CARRETTO,36,-,-,-,-
ALTILIA,176,-,-,-,-
ALTOMONTE,804,-,-,-,-
ALTRA ASP,1029,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3945,24,-,-,-
AMENDOLARA,268,-,-,-,-
APRIGLIANO,537,10,-,-,-
BELMONTE CALABRO,346,-,-,-,-
BELSITO,222,-,-,-,-
BELVEDERE MARITTIMO,1532,10,-,-,-
BIANCHI,289,-,-,-,-
BISIGNANO,1885,19,-,-,-
BOCCHIGLIERO,129,7,-,-,-
BONIFATI,352,7,-,-,-
BUONVICINO,283,-,-,-,-
CALOPEZZATI,413,-,-,-,-
CALOVETO,344,-,-,-,-
CAMPANA,278,7,-,-,-
CANNA,109,-,-,-,-
CARIATI,1133,13,-,-,-
CAROLEI,613,-,-,-,-
CARPANZANO,20,-,-,-,-
CASALI DEL MANCO,2384,20,-,-,-
CASSANO ALLO IONIO,3640,29,-,-,-
CASTIGLIONE COSENTINO,788,8,-,-,-
CASTROLIBERO,2247,17,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3668,27,-,-,-
CELICO,481,7,-,-,-
CELLARA,99,-,-,-,-
CERCHIARA DI CALABRIA,418,8,-,-,-
CERISANO,675,-,-,-,-
CERVICATI,155,-,-,-,-
CERZETO,290,-,-,-,-
CETRARO,2084,23,-,-,-
CIVITA,58,-,-,-,-
CLETO,225,-,-,-,-
COLOSIMI,296,-,-,-,-
CORIGLIANO-ROSSANO,19924,160,-,-,-
COSENZA,16314,141,-,-,-
CROPALATI,204,-,-,-,-
CROSIA,2373,15,-,-,-
DIAMANTE,708,-,-,-,-
DIPIGNANO,1063,8,-,-,-
DOMANICO,271,-,-,-,-
FAGNANO CASTELLO,398,6,-,-,-
FALCONARA ALBANESE,259,-,-,-,-
FIGLINE VEGLIATURO,331,-,-,-,-
FIRMO,287,-,-,-,-
FIUMEFREDDO BRUZIO,701,-,-,-,-
FRANCAVILLA MARITTIMA,568,-,-,-,-
FRASCINETO,402,-,-,-,-
FUSCALDO,1705,8,-,-,-
GRIMALDI,389,-,-,-,-
GRISOLIA,448,-,-,-,-
GUARDIA PIEMONTESE,332,-,-,-,-
LAGO,533,-,-,-,-
LAINO BORGO,402,-,-,-,-
LAINO CASTELLO,160,-,-,-,-
LAPPANO,164,-,-,-,-
LATTARICO,924,6,-,-,-
LONGOBARDI,469,21,-,-,-
LONGOBUCCO,685,-,-,-,-
LUNGRO,330,6,-,-,-
LUZZI,1999,17,-,-,-
MAIERA',193,-,-,-,-
MALITO,140,-,-,-,-
MALVITO,262,8,-,-,-
MANDATORICCIO,503,-,-,-,-
MANGONE,444,-,-,-,-
MARANO MARCHESATO,874,8,-,-,-
MARANO PRINCIPATO,645,-,-,-,-
MARZI,212,-,-,-,-
MENDICINO,2283,8,-,-,-
MONGRASSANO,411,-,-,-,-
MONTALTO UFFUGO,5953,24,-,-,-
MONTEGIORDANO,337,-,-,-,-
MORANO CALABRO,296,9,-,-,-
MORMANNO,232,9,-,-,-
MOTTAFOLLONE,149,-,-,-,-
NOCARA,40,-,-,-,-
ORIOLO,139,-,-,-,-
ORSOMARSO,228,-,-,-,-
PALUDI,173,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3113,31,-,-,-
PAPASIDERO,34,-,-,-,-
PARENTI,530,-,-,-,-
PATERNO CALABRO,355,-,-,-,-
PEDIVIGLIANO,175,-,-,-,-
PIANE CRATI,315,-,-,-,-
PIETRAFITTA,178,-,-,-,-
PIETRAPAOLA,243,-,-,-,-
PLATACI,79,-,-,-,-
PRAIA A MARE,900,7,-,-,-
RENDE,9669,52,-,-,-
ROCCA IMPERIALE,342,-,-,-,-
ROGGIANO GRAVINA,1272,15,-,-,-
ROGLIANO,1305,11,-,-,-
ROSE,1012,8,-,-,-
ROSETO CAPO SPULICO,160,-,-,-,-
ROTA GRECA,189,-,-,-,-
ROVITO,433,-,-,-,-
SAN BASILE,116,-,-,-,-
SAN BENEDETTO ULLANO,263,-,-,-,-
SAN COSMO ALBANESE,167,6,-,-,-
SAN DEMETRIO CORONE,568,-,-,-,-
SAN DONATO DI NINEA,221,-,-,-,-
SAN FILI,475,-,-,-,-
SAN GIORGIO ALBANESE,287,-,-,-,-
SAN GIOVANNI IN FIORE,3658,33,-,-,-
SAN LORENZO BELLIZZI,61,-,-,-,-
SAN LORENZO DEL VALLO,420,-,-,-,-
SAN LUCIDO,826,9,-,-,-
SAN MARCO ARGENTANO,1498,7,-,-,-
SAN MARTINO DI FINITA,192,-,-,-,-
SAN NICOLA ARCELLA,256,-,-,-,-
SAN PIETRO IN AMANTEA,117,-,-,-,-
SAN PIETRO IN GUARANO,900,9,-,-,-
SAN SOSTI,323,7,-,-,-
SAN VINCENZO LA COSTA,579,-,-,-,-
SANGINETO,155,-,-,-,-
