Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,207,-,-,-,-
ACQUAPPESA,365,-,-,-,-
ACRI,3862,34,-,-,-
AIELLO CALABRO,323,-,-,-,-
AIETA,67,-,-,-,-
ALBIDONA,365,-,-,-,-
ALESSANDRIA DEL CARRETTO,48,-,-,-,-
ALTILIA,190,-,-,-,-
ALTOMONTE,918,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,600,11,-,-,-
AMANTEA,4512,25,-,-,-
AMENDOLARA,293,-,-,-,-
APRIGLIANO,590,10,-,-,-
BELMONTE CALABRO,402,-,-,-,-
BELSITO,254,-,-,-,-
BELVEDERE MARITTIMO,1750,10,-,-,-
BIANCHI,375,-,-,-,-
BISIGNANO,2083,20,-,-,-
BOCCHIGLIERO,140,7,-,-,-
BONIFATI,400,7,-,-,-
BUONVICINO,335,-,-,-,-
CALOPEZZATI,484,-,-,-,-
CALOVETO,369,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,138,-,-,-,-
CARIATI,1229,16,-,-,-
CAROLEI,756,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2654,23,-,-,-
CASSANO ALLO IONIO,4029,30,-,-,-
CASTIGLIONE COSENTINO,886,8,-,-,-
CASTROLIBERO,2538,18,-,-,-
CASTROREGIO,45,-,-,-,-
CASTROVILLARI,4178,31,-,-,-
CELICO,562,7,-,-,-
CELLARA,128,-,-,-,-
CERCHIARA DI CALABRIA,461,9,-,-,-
CERISANO,761,-,-,-,-
CERVICATI,183,-,-,-,-
CERZETO,318,-,-,-,-
CETRARO,2388,24,-,-,-
CIVITA,65,-,-,-,-
CLETO,272,-,-,-,-
COLOSIMI,389,-,-,-,-
CORIGLIANO-ROSSANO,22096,164,-,-,-
COSENZA,18283,151,-,-,-
CROPALATI,233,-,-,-,-
CROSIA,2593,17,-,-,-
DIAMANTE,892,7,-,-,-
DIPIGNANO,1223,10,-,-,-
DOMANICO,331,-,-,-,-
