Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,196,-,-,-,-
ACQUAPPESA,284,-,-,-,-
ACRI,3273,33,-,-,-
AIELLO CALABRO,278,-,-,-,-
AIETA,39,-,-,-,-
ALBIDONA,256,-,-,-,-
ALESSANDRIA DEL CARRETTO,36,-,-,-,-
ALTILIA,176,-,-,-,-
ALTOMONTE,802,-,-,-,-
ALTRA ASP,1028,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3925,24,-,-,-
AMENDOLARA,267,-,-,-,-
APRIGLIANO,537,10,-,-,-
BELMONTE CALABRO,342,-,-,-,-
BELSITO,221,-,-,-,-
BELVEDERE MARITTIMO,1521,10,-,-,-
BIANCHI,285,-,-,-,-
BISIGNANO,1863,18,-,-,-
BOCCHIGLIERO,128,7,-,-,-
BONIFATI,349,7,-,-,-
BUONVICINO,283,-,-,-,-
CALOPEZZATI,410,-,-,-,-
CALOVETO,344,-,-,-,-
CAMPANA,278,7,-,-,-
CANNA,105,-,-,-,-
CARIATI,1126,13,-,-,-
CAROLEI,611,-,-,-,-
CARPANZANO,20,-,-,-,-
CASALI DEL MANCO,2362,20,-,-,-
CASSANO ALLO IONIO,3621,29,-,-,-
CASTIGLIONE COSENTINO,784,8,-,-,-
CASTROLIBERO,2242,17,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3651,27,-,-,-
CELICO,481,7,-,-,-
CELLARA,99,-,-,-,-
CERCHIARA DI CALABRIA,412,8,-,-,-
CERISANO,670,-,-,-,-
CERVICATI,155,-,-,-,-
CERZETO,288,-,-,-,-
CETRARO,2073,23,-,-,-
CIVITA,57,-,-,-,-
CLETO,225,-,-,-,-
COLOSIMI,296,-,-,-,-
CORIGLIANO-ROSSANO,19754,160,-,-,-
COSENZA,16235,141,-,-,-
CROPALATI,204,-,-,-,-
CROSIA,2355,15,-,-,-
DIAMANTE,703,-,-,-,-
DIPIGNANO,1055,8,-,-,-
DOMANICO,269,-,-,-,-
FAGNANO CASTELLO,398,6,-,-,-
FALCONARA ALBANESE,259,-,-,-,-
FIGLINE VEGLIATURO,328,-,-,-,-
FIRMO,286,-,-,-,-
FIUMEFREDDO BRUZIO,696,-,-,-,-
FRANCAVILLA MARITTIMA,564,-,-,-,-
FRASCINETO,401,-,-,-,-
FUSCALDO,1697,8,-,-,-
GRIMALDI,388,-,-,-,-
GRISOLIA,447,-,-,-,-
GUARDIA PIEMONTESE,330,-,-,-,-
LAGO,531,-,-,-,-
LAINO BORGO,400,-,-,-,-
LAINO CASTELLO,160,-,-,-,-
LAPPANO,163,-,-,-,-
