Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,204,-,-,-,-
ACQUAPPESA,320,-,-,-,-
ACRI,3646,33,-,-,-
AIELLO CALABRO,305,-,-,-,-
AIETA,47,-,-,-,-
ALBIDONA,322,-,-,-,-
ALESSANDRIA DEL CARRETTO,44,-,-,-,-
ALTILIA,179,-,-,-,-
ALTOMONTE,819,-,-,-,-
ALTRA ASP,1043,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4250,25,-,-,-
AMENDOLARA,287,-,-,-,-
APRIGLIANO,559,10,-,-,-
BELMONTE CALABRO,383,-,-,-,-
BELSITO,241,-,-,-,-
BELVEDERE MARITTIMO,1650,10,-,-,-
BIANCHI,351,-,-,-,-
BISIGNANO,1989,19,-,-,-
BOCCHIGLIERO,133,7,-,-,-
BONIFATI,379,7,-,-,-
BUONVICINO,304,-,-,-,-
CALOPEZZATI,469,-,-,-,-
CALOVETO,353,-,-,-,-
CAMPANA,282,7,-,-,-
CANNA,132,-,-,-,-
CARIATI,1218,15,-,-,-
CAROLEI,647,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2494,21,-,-,-
CASSANO ALLO IONIO,3833,30,-,-,-
CASTIGLIONE COSENTINO,820,8,-,-,-
CASTROLIBERO,2356,17,-,-,-
CASTROREGIO,44,-,-,-,-
CASTROVILLARI,3869,30,-,-,-
CELICO,500,7,-,-,-
CELLARA,105,-,-,-,-
CERCHIARA DI CALABRIA,451,8,-,-,-
CERISANO,712,-,-,-,-
CERVICATI,161,-,-,-,-
CERZETO,307,-,-,-,-
CETRARO,2289,24,-,-,-
CIVITA,64,-,-,-,-
CLETO,256,-,-,-,-
COLOSIMI,351,-,-,-,-
CORIGLIANO-ROSSANO,21070,162,-,-,-
COSENZA,17021,147,-,-,-
CROPALATI,220,-,-,-,-
CROSIA,2519,16,-,-,-
DIAMANTE,798,7,-,-,-
DIPIGNANO,1104,9,-,-,-
DOMANICO,286,-,-,-,-
FAGNANO CASTELLO,420,6,-,-,-
FALCONARA ALBANESE,277,-,-,-,-
FIGLINE VEGLIATURO,341,-,-,-,-
FIRMO,314,-,-,-,-
FIUMEFREDDO BRUZIO,748,-,-,-,-
FRANCAVILLA MARITTIMA,610,-,-,-,-
FRASCINETO,416,-,-,-,-
FUSCALDO,1823,8,-,-,-
GRIMALDI,400,-,-,-,-
