Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,175,-,-,-,-
ACQUAPPESA,220,-,-,-,-
ACRI,2860,30,-,-,-
AIELLO CALABRO,208,-,-,-,-
AIETA,18,-,-,-,-
ALBIDONA,227,-,-,-,-
ALESSANDRIA DEL CARRETTO,29,-,-,-,-
ALTILIA,157,-,-,-,-
ALTOMONTE,706,-,-,-,-
ALTRA ASP,960,11,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3194,22,-,-,-
AMENDOLARA,225,-,-,-,-
APRIGLIANO,478,10,-,-,-
BELMONTE CALABRO,287,-,-,-,-
BELSITO,186,-,-,-,-
BELVEDERE MARITTIMO,1272,10,-,-,-
BIANCHI,266,-,-,-,-
BISIGNANO,1619,17,-,-,-
BOCCHIGLIERO,123,7,-,-,-
BONIFATI,281,-,-,-,-
BUONVICINO,250,-,-,-,-
CALOPEZZATI,296,-,-,-,-
CALOVETO,254,-,-,-,-
CAMPANA,257,6,-,-,-
CANNA,72,-,-,-,-
CARIATI,916,13,-,-,-
CAROLEI,504,-,-,-,-
CARPANZANO,13,-,-,-,-
CASALI DEL MANCO,2025,20,-,-,-
CASSANO ALLO IONIO,2912,29,-,-,-
CASTIGLIONE COSENTINO,616,6,-,-,-
CASTROLIBERO,1915,15,-,-,-
CASTROREGIO,40,-,-,-,-
CASTROVILLARI,2971,25,-,-,-
CELICO,453,7,-,-,-
CELLARA,90,-,-,-,-
CERCHIARA DI CALABRIA,290,-,-,-,-
CERISANO,541,-,-,-,-
CERVICATI,137,-,-,-,-
CERZETO,249,-,-,-,-
CETRARO,1690,20,-,-,-
CIVITA,51,-,-,-,-
CLETO,170,-,-,-,-
COLOSIMI,226,-,-,-,-
CORIGLIANO-ROSSANO,16099,152,-,-,-
COSENZA,13850,132,-,-,-
CROPALATI,157,-,-,-,-
CROSIA,1822,14,-,-,-
DIAMANTE,499,-,-,-,-
DIPIGNANO,880,8,-,-,-
DOMANICO,205,-,-,-,-
FAGNANO CASTELLO,323,-,-,-,-
FALCONARA ALBANESE,231,-,-,-,-
FIGLINE VEGLIATURO,255,-,-,-,-
FIRMO,204,-,-,-,-
FIUMEFREDDO BRUZIO,555,-,-,-,-
FRANCAVILLA MARITTIMA,445,-,-,-,-
FRASCINETO,304,-,-,-,-
FUSCALDO,1391,8,-,-,-
GRIMALDI,310,-,-,-,-
GRISOLIA,403,-,-,-,-
GUARDIA PIEMONTESE,240,-,-,-,-
LAGO,449,-,-,-,-
LAINO BORGO,292,-,-,-,-
LAINO CASTELLO,136,-,-,-,-
LAPPANO,145,-,-,-,-
LATTARICO,785,6,-,-,-
LONGOBARDI,330,19,-,-,-
LONGOBUCCO,557,-,-,-,-
LUNGRO,279,6,-,-,-
LUZZI,1711,15,-,-,-
MAIERA',171,-,-,-,-
