latitudine,longitudine,Positivi ultimi 30gg,Deceduti ultimi 30gg,Comune
39.34473972,16.31210874,20,-,SAN PIETRO IN GUARANO
39.65815182,16.02916167,12,-,SAN SOSTI
39.36475905,16.1508893,5,1,SAN VINCENZO LA COSTA
39.60366647,15.91251148,1,-,SANGINETO
39.58577673,16.07067974,2,-,SANTA CATERINA ALBANESE
39.81957215,15.85542937,-,-,SANTA DOMENICA TALAO
39.74889043,15.83623515,11,-,SANTA MARIA DEL CEDRO
39.54597475,16.32883248,12,-,SANTA SOFIA D'EPIRO
39.62090696,15.98238081,15,-,SANT'AGATA DI ESARO
39.19223486,16.3207926,4,1,SANTO STEFANO DI ROGLIANO
39.77527455,16.15618881,-,-,SARACENA
39.4488244,16.88589056,-,-,SCALA COELI
39.80643078,15.79100532,11,-,SCALEA
39.12822708,16.30670827,-,-,SCIGLIANO
39.09003923,16.12612198,-,-,SERRA D'AIELLO
39.66184414,16.30856798,40,-,SPEZZANO ALBANESE
39.29780432,16.33736492,34,1,SPEZZANO DELLA SILA
39.61728492,16.27301582,1,-,TARSIA
39.65582009,16.34380151,49,1,TERRANOVA DA SIBARI
39.46366527,16.94752399,-,-,TERRAVECCHIA
39.50489706,16.14471775,31,-,TORANO CASTELLO
39.92210156,15.76829121,36,-,TORTORA
39.86679844,16.53046229,40,-,TREBISACCE
39.58707282,16.43323022,-,-,VACCARIZZO ALBANESE
39.75488674,15.91112224,19,-,VERBICARO
39.84696351,16.45512175,20,-,VILLAPIANA
39.31063234,16.29350577,22,3,ZUMPANO
