Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,221,-,-,-,-
ACQUAPPESA,424,-,-,-,-
ACRI,4419,39,-,-,-
AIELLO CALABRO,375,-,-,-,-
AIETA,77,-,-,-,-
ALBIDONA,412,-,-,-,-
ALESSANDRIA DEL CARRETTO,55,-,-,-,-
ALTILIA,220,-,-,-,-
ALTOMONTE,1030,-,-,-,-
ALTRA ASP,1049,15,-,-,-
ALTRA REGIONE,600,11,-,-,-
AMANTEA,5208,27,-,-,-
AMENDOLARA,332,-,-,-,-
APRIGLIANO,668,11,-,-,-
BELMONTE CALABRO,520,-,-,-,-
BELSITO,275,-,-,-,-
BELVEDERE MARITTIMO,2034,11,-,-,-
BIANCHI,406,-,-,-,-
BISIGNANO,2361,21,-,-,-
BOCCHIGLIERO,153,7,-,-,-
BONIFATI,427,8,-,-,-
BUONVICINO,400,-,-,-,-
CALOPEZZATI,533,-,-,-,-
CALOVETO,394,-,-,-,-
CAMPANA,318,8,-,-,-
CANNA,160,-,-,-,-
CARIATI,1328,17,-,-,-
CAROLEI,920,-,-,-,-
CARPANZANO,31,-,-,-,-
CASALI DEL MANCO,3002,26,-,-,-
CASSANO ALLO IONIO,4577,32,-,-,-
CASTIGLIONE COSENTINO,1073,11,-,-,-
CASTROLIBERO,3006,20,-,-,-
CASTROREGIO,52,-,-,-,-
CASTROVILLARI,4891,37,-,-,-
CELICO,615,8,-,-,-
CELLARA,150,-,-,-,-
CERCHIARA DI CALABRIA,511,10,-,-,-
CERISANO,911,-,-,-,-
CERVICATI,206,-,-,-,-
CERZETO,360,-,-,-,-
CETRARO,2728,25,-,-,-
CIVITA,75,-,-,-,-
CLETO,353,-,-,-,-
COLOSIMI,438,-,-,-,-
CORIGLIANO-ROSSANO,24717,175,-,-,-
COSENZA,21613,171,-,-,-
CROPALATI,267,-,-,-,-
CROSIA,2957,17,-,-,-
DIAMANTE,996,8,-,-,-
DIPIGNANO,1467,12,-,-,-
DOMANICO,402,-,-,-,-
FAGNANO CASTELLO,496,6,-,-,-
FALCONARA ALBANESE,367,-,-,-,-
FIGLINE VEGLIATURO,402,-,-,-,-
FIRMO,380,6,-,-,-
FIUMEFREDDO BRUZIO,1030,-,-,-,-
FRANCAVILLA MARITTIMA,696,-,-,-,-
FRASCINETO,496,-,-,-,-
FUSCALDO,2133,8,-,-,-
GRIMALDI,495,-,-,-,-
GRISOLIA,522,-,-,-,-
GUARDIA PIEMONTESE,497,-,-,-,-
LAGO,730,-,-,-,-
LAINO BORGO,477,-,-,-,-
LAINO CASTELLO,188,-,-,-,-
LAPPANO,196,-,-,-,-
LATTARICO,1165,6,-,-,-
LONGOBARDI,619,23,-,-,-
LONGOBUCCO,818,-,-,-,-
LUNGRO,402,8,-,-,-
LUZZI,2503,17,-,-,-
MAIERA',273,-,-,-,-
MALITO,221,-,-,-,-
MALVITO,401,9,-,-,-
MANDATORICCIO,584,-,-,-,-
MANGONE,562,-,-,-,-
MARANO MARCHESATO,1139,8,-,-,-
MARANO PRINCIPATO,860,-,-,-,-
MARZI,266,-,-,-,-
MENDICINO,3053,11,-,-,-
MONGRASSANO,529,6,-,-,-
MONTALTO UFFUGO,7708,31,-,-,-
MONTEGIORDANO,413,-,-,-,-
MORANO CALABRO,523,11,-,-,-
MORMANNO,280,11,-,-,-
MOTTAFOLLONE,219,-,-,-,-
NOCARA,51,-,-,-,-
ORIOLO,159,-,-,-,-
ORSOMARSO,272,-,-,-,-
PALUDI,237,-,-,-,-
PANETTIERI,39,-,-,-,-
PAOLA,4093,37,-,-,-
PAPASIDERO,42,-,-,-,-
PARENTI,591,-,-,-,-
PATERNO CALABRO,459,-,-,-,-
PEDIVIGLIANO,212,-,-,-,-
PIANE CRATI,404,-,-,-,-
PIETRAFITTA,234,-,-,-,-
PIETRAPAOLA,312,-,-,-,-
PLATACI,96,-,-,-,-
PRAIA A MARE,1215,7,-,-,-
RENDE,13145,61,-,-,-
ROCCA IMPERIALE,375,-,-,-,-
ROGGIANO GRAVINA,1577,19,-,-,-
ROGLIANO,1626,12,-,-,-
ROSE,1277,9,-,-,-
ROSETO CAPO SPULICO,207,-,-,-,-
ROTA GRECA,260,-,-,-,-
ROVITO,540,-,-,-,-
SAN BASILE,150,-,-,-,-
SAN BENEDETTO ULLANO,300,-,-,-,-
SAN COSMO ALBANESE,203,6,-,-,-
SAN DEMETRIO CORONE,759,-,-,-,-
SAN DONATO DI NINEA,307,-,-,-,-
SAN FILI,619,6,-,-,-
SAN GIORGIO ALBANESE,409,6,-,-,-
SAN GIOVANNI IN FIORE,4389,34,-,-,-
SAN LORENZO BELLIZZI,81,-,-,-,-
SAN LORENZO DEL VALLO,567,-,-,-,-
SAN LUCIDO,1169,11,-,-,-
SAN MARCO ARGENTANO,1908,7,-,-,-
SAN MARTINO DI FINITA,278,-,-,-,-
SAN NICOLA ARCELLA,316,-,-,-,-
SAN PIETRO IN AMANTEA,148,-,-,-,-
SAN PIETRO IN GUARANO,1274,11,-,-,-
SAN SOSTI,456,7,-,-,-
SAN VINCENZO LA COSTA,785,-,-,-,-
SANGINETO,177,-,-,-,-
SANTA CATERINA ALBANESE,136,-,-,-,-
SANTA DOMENICA TALAO,83,-,-,-,-
SANTA MARIA DEL CEDRO,884,-,-,-,-
SANTA SOFIA D'EPIRO,357,7,-,-,-
SANT'AGATA DI ESARO,135,-,-,-,-
SANTO STEFANO DI ROGLIANO,728,-,-,-,-
SARACENA,983,9,-,-,-
SCALA COELI,69,6,-,-,-
SCALEA,2397,10,-,-,-
SCIGLIANO,236,-,-,-,-
SERRA D'AIELLO,181,-,-,-,-
SPEZZANO ALBANESE,1391,23,-,-,-
SPEZZANO DELLA SILA,1113,16,-,-,-
TARSIA,491,-,-,-,-
TERRANOVA DA SIBARI,1089,14,-,-,-
TERRAVECCHIA,115,-,-,-,-
TORANO CASTELLO,1063,22,-,-,-
TORTORA,1035,9,-,-,-
TREBISACCE,2114,18,-,-,-
VACCARIZZO ALBANESE,274,-,-,-,-
VERBICARO,325,7,-,-,-
VILLAPIANA,918,-,-,-,-
ZUMPANO,890,-,-,-,-
