Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,139,-,-,-,-
ACQUAPPESA,168,-,-,-,-
ACRI,2114,27,-,-,-
AIELLO CALABRO,131,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,165,-,-,-,-
ALESSANDRIA DEL CARRETTO,12,-,-,-,-
ALTILIA,103,-,-,-,-
ALTOMONTE,577,-,-,-,-
ALTRA ASP,889,9,-,-,-
ALTRA REGIONE,594,11,-,-,-
AMANTEA,2246,19,-,-,-
AMENDOLARA,207,-,-,-,-
APRIGLIANO,399,10,-,-,-
BELMONTE CALABRO,197,-,-,-,-
BELSITO,138,-,-,-,-
BELVEDERE MARITTIMO,917,10,-,-,-
BIANCHI,211,-,-,-,-
BISIGNANO,1344,17,-,-,-
BOCCHIGLIERO,116,7,-,-,-
BONIFATI,202,-,-,-,-
BUONVICINO,161,-,-,-,-
CALOPEZZATI,190,-,-,-,-
CALOVETO,193,-,-,-,-
CAMPANA,234,6,-,-,-
CANNA,55,-,-,-,-
CARIATI,738,12,-,-,-
CAROLEI,405,-,-,-,-
CARPANZANO,12,-,-,-,-
CASALI DEL MANCO,1610,20,-,-,-
CASSANO ALLO IONIO,2440,29,-,-,-
CASTIGLIONE COSENTINO,424,-,-,-,-
CASTROLIBERO,1501,13,-,-,-
CASTROREGIO,15,-,-,-,-
CASTROVILLARI,2271,23,-,-,-
CELICO,406,7,-,-,-
CELLARA,68,-,-,-,-
CERCHIARA DI CALABRIA,219,-,-,-,-
CERISANO,433,-,-,-,-
CERVICATI,105,-,-,-,-
CERZETO,208,-,-,-,-
CETRARO,1350,16,-,-,-
CIVITA,42,-,-,-,-
CLETO,111,-,-,-,-
COLOSIMI,175,-,-,-,-
CORIGLIANO-ROSSANO,12973,147,-,-,-
COSENZA,10894,115,-,-,-
CROPALATI,126,-,-,-,-
CROSIA,1414,13,-,-,-
DIAMANTE,301,-,-,-,-
DIPIGNANO,716,8,-,-,-
DOMANICO,165,-,-,-,-
FAGNANO CASTELLO,275,-,-,-,-
FALCONARA ALBANESE,191,-,-,-,-
FIGLINE VEGLIATURO,208,-,-,-,-
FIRMO,154,-,-,-,-
FIUMEFREDDO BRUZIO,418,-,-,-,-
FRANCAVILLA MARITTIMA,347,-,-,-,-
FRASCINETO,232,-,-,-,-
FUSCALDO,1134,8,-,-,-
GRIMALDI,169,-,-,-,-
GRISOLIA,324,-,-,-,-
GUARDIA PIEMONTESE,173,-,-,-,-
LAGO,302,-,-,-,-
LAINO BORGO,216,-,-,-,-
LAINO CASTELLO,97,-,-,-,-
LAPPANO,120,-,-,-,-
LATTARICO,593,-,-,-,-
LONGOBARDI,233,17,-,-,-
LONGOBUCCO,420,-,-,-,-
LUNGRO,197,6,-,-,-
LUZZI,1333,14,-,-,-
MAIERA',90,-,-,-,-
MALITO,76,-,-,-,-
MALVITO,167,-,-,-,-
MANDATORICCIO,401,-,-,-,-
MANGONE,298,-,-,-,-
MARANO MARCHESATO,538,8,-,-,-
MARANO PRINCIPATO,410,-,-,-,-
MARZI,177,-,-,-,-
MENDICINO,1496,6,-,-,-
MONGRASSANO,275,-,-,-,-
MONTALTO UFFUGO,3778,22,-,-,-
MONTEGIORDANO,192,-,-,-,-
MORANO CALABRO,256,9,-,-,-
MORMANNO,184,8,-,-,-
MOTTAFOLLONE,93,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,109,-,-,-,-
ORSOMARSO,146,-,-,-,-
PALUDI,97,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1731,23,-,-,-
PAPASIDERO,28,-,-,-,-
PARENTI,356,-,-,-,-
PATERNO CALABRO,259,-,-,-,-
PEDIVIGLIANO,101,-,-,-,-
PIANE CRATI,230,-,-,-,-
PIETRAFITTA,140,-,-,-,-
PIETRAPAOLA,144,-,-,-,-
PLATACI,58,-,-,-,-
PRAIA A MARE,441,7,-,-,-
RENDE,6191,45,-,-,-
ROCCA IMPERIALE,280,-,-,-,-
ROGGIANO GRAVINA,928,13,-,-,-
ROGLIANO,944,8,-,-,-
ROSE,651,8,-,-,-
ROSETO CAPO SPULICO,140,-,-,-,-
ROTA GRECA,111,-,-,-,-
ROVITO,356,-,-,-,-
SAN BASILE,66,-,-,-,-
SAN BENEDETTO ULLANO,210,-,-,-,-
SAN COSMO ALBANESE,127,6,-,-,-
SAN DEMETRIO CORONE,256,-,-,-,-
SAN DONATO DI NINEA,122,-,-,-,-
SAN FILI,340,-,-,-,-
SAN GIORGIO ALBANESE,124,-,-,-,-
SAN GIOVANNI IN FIORE,2716,31,-,-,-
SAN LORENZO BELLIZZI,34,-,-,-,-
SAN LORENZO DEL VALLO,294,-,-,-,-
SAN LUCIDO,658,8,-,-,-
SAN MARCO ARGENTANO,974,7,-,-,-
SAN MARTINO DI FINITA,115,-,-,-,-
SAN NICOLA ARCELLA,187,-,-,-,-
SAN PIETRO IN AMANTEA,46,-,-,-,-
SAN PIETRO IN GUARANO,501,7,-,-,-
SAN SOSTI,207,7,-,-,-
SAN VINCENZO LA COSTA,327,-,-,-,-
SANGINETO,116,-,-,-,-
SANTA CATERINA ALBANESE,68,-,-,-,-
SANTA DOMENICA TALAO,49,-,-,-,-
SANTA MARIA DEL CEDRO,529,-,-,-,-
SANTA SOFIA D'EPIRO,163,6,-,-,-
SANT'AGATA DI ESARO,106,-,-,-,-
SANTO STEFANO DI ROGLIANO,370,-,-,-,-
SARACENA,475,-,-,-,-
SCALA COELI,31,-,-,-,-
SCALEA,1183,8,-,-,-
SCIGLIANO,97,-,-,-,-
SERRA D'AIELLO,84,-,-,-,-
SPEZZANO ALBANESE,821,16,-,-,-
SPEZZANO DELLA SILA,617,12,-,-,-
TARSIA,173,-,-,-,-
TERRANOVA DA SIBARI,790,12,-,-,-
TERRAVECCHIA,39,-,-,-,-
TORANO CASTELLO,636,19,-,-,-
TORTORA,434,7,-,-,-
TREBISACCE,909,11,-,-,-
VACCARIZZO ALBANESE,129,-,-,-,-
VERBICARO,191,6,-,-,-
VILLAPIANA,541,-,-,-,-
ZUMPANO,528,-,-,-,-
