Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,149,-,-,-,-
ACQUAPPESA,190,-,-,-,-
ACRI,2570,29,-,-,-
AIELLO CALABRO,147,-,-,-,-
AIETA,14,-,-,-,-
ALBIDONA,204,-,-,-,-
ALESSANDRIA DEL CARRETTO,25,-,-,-,-
ALTILIA,135,-,-,-,-
ALTOMONTE,656,-,-,-,-
ALTRA ASP,935,11,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,2743,22,-,-,-
AMENDOLARA,218,-,-,-,-
APRIGLIANO,465,10,-,-,-
BELMONTE CALABRO,247,-,-,-,-
BELSITO,178,-,-,-,-
BELVEDERE MARITTIMO,1166,10,-,-,-
BIANCHI,258,-,-,-,-
BISIGNANO,1493,17,-,-,-
BOCCHIGLIERO,121,7,-,-,-
BONIFATI,241,-,-,-,-
BUONVICINO,208,-,-,-,-
CALOPEZZATI,233,-,-,-,-
CALOVETO,246,-,-,-,-
CAMPANA,245,6,-,-,-
CANNA,66,-,-,-,-
CARIATI,840,13,-,-,-
CAROLEI,446,-,-,-,-
CARPANZANO,13,-,-,-,-
CASALI DEL MANCO,1885,20,-,-,-
CASSANO ALLO IONIO,2678,29,-,-,-
CASTIGLIONE COSENTINO,533,-,-,-,-
CASTROLIBERO,1762,14,-,-,-
CASTROREGIO,20,-,-,-,-
CASTROVILLARI,2663,25,-,-,-
CELICO,435,7,-,-,-
CELLARA,86,-,-,-,-
CERCHIARA DI CALABRIA,252,-,-,-,-
CERISANO,504,-,-,-,-
CERVICATI,120,-,-,-,-
CERZETO,233,-,-,-,-
CETRARO,1589,20,-,-,-
CIVITA,47,-,-,-,-
CLETO,130,-,-,-,-
COLOSIMI,202,-,-,-,-
CORIGLIANO-ROSSANO,14771,152,-,-,-
COSENZA,12730,127,-,-,-
CROPALATI,145,-,-,-,-
CROSIA,1609,13,-,-,-
DIAMANTE,415,-,-,-,-
DIPIGNANO,822,8,-,-,-
DOMANICO,182,-,-,-,-
FAGNANO CASTELLO,315,-,-,-,-
FALCONARA ALBANESE,217,-,-,-,-
FIGLINE VEGLIATURO,245,-,-,-,-
FIRMO,184,-,-,-,-
FIUMEFREDDO BRUZIO,502,-,-,-,-
FRANCAVILLA MARITTIMA,393,-,-,-,-
FRASCINETO,270,-,-,-,-
FUSCALDO,1274,8,-,-,-
GRIMALDI,237,-,-,-,-
GRISOLIA,392,-,-,-,-
GUARDIA PIEMONTESE,195,-,-,-,-
LAGO,382,-,-,-,-
LAINO BORGO,248,-,-,-,-
LAINO CASTELLO,118,-,-,-,-
LAPPANO,133,-,-,-,-
LATTARICO,723,6,-,-,-
LONGOBARDI,294,19,-,-,-
LONGOBUCCO,532,-,-,-,-
LUNGRO,250,6,-,-,-
LUZZI,1547,15,-,-,-
MAIERA',142,-,-,-,-
MALITO,89,-,-,-,-
MALVITO,199,6,-,-,-
MANDATORICCIO,431,-,-,-,-
MANGONE,333,-,-,-,-
MARANO MARCHESATO,659,8,-,-,-
MARANO PRINCIPATO,496,-,-,-,-
MARZI,191,-,-,-,-
MENDICINO,1768,6,-,-,-
MONGRASSANO,339,-,-,-,-
MONTALTO UFFUGO,4443,22,-,-,-
MONTEGIORDANO,230,-,-,-,-
MORANO CALABRO,265,9,-,-,-
MORMANNO,207,8,-,-,-
MOTTAFOLLONE,109,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,124,-,-,-,-
ORSOMARSO,176,-,-,-,-
PALUDI,118,-,-,-,-
PANETTIERI,35,-,-,-,-
PAOLA,2096,26,-,-,-
PAPASIDERO,30,-,-,-,-
PARENTI,428,-,-,-,-
PATERNO CALABRO,293,-,-,-,-
PEDIVIGLIANO,114,-,-,-,-
PIANE CRATI,257,-,-,-,-
PIETRAFITTA,155,-,-,-,-
PIETRAPAOLA,168,-,-,-,-
PLATACI,73,-,-,-,-
PRAIA A MARE,516,7,-,-,-
RENDE,7486,48,-,-,-
ROCCA IMPERIALE,289,-,-,-,-
ROGGIANO GRAVINA,1016,13,-,-,-
ROGLIANO,1120,8,-,-,-
ROSE,767,8,-,-,-
ROSETO CAPO SPULICO,148,-,-,-,-
ROTA GRECA,145,-,-,-,-
ROVITO,383,-,-,-,-
SAN BASILE,81,-,-,-,-
SAN BENEDETTO ULLANO,225,-,-,-,-
SAN COSMO ALBANESE,130,6,-,-,-
SAN DEMETRIO CORONE,320,-,-,-,-
SAN DONATO DI NINEA,154,-,-,-,-
SAN FILI,413,-,-,-,-
SAN GIORGIO ALBANESE,142,-,-,-,-
SAN GIOVANNI IN FIORE,3064,32,-,-,-
SAN LORENZO BELLIZZI,43,-,-,-,-
SAN LORENZO DEL VALLO,333,-,-,-,-
SAN LUCIDO,689,8,-,-,-
SAN MARCO ARGENTANO,1159,7,-,-,-
SAN MARTINO DI FINITA,138,-,-,-,-
SAN NICOLA ARCELLA,202,-,-,-,-
SAN PIETRO IN AMANTEA,61,-,-,-,-
SAN PIETRO IN GUARANO,632,8,-,-,-
SAN SOSTI,268,7,-,-,-
SAN VINCENZO LA COSTA,419,-,-,-,-
SANGINETO,133,-,-,-,-
SANTA CATERINA ALBANESE,79,-,-,-,-
SANTA DOMENICA TALAO,56,-,-,-,-
SANTA MARIA DEL CEDRO,591,-,-,-,-
SANTA SOFIA D'EPIRO,186,7,-,-,-
SANT'AGATA DI ESARO,113,-,-,-,-
SANTO STEFANO DI ROGLIANO,448,-,-,-,-
SARACENA,591,-,-,-,-
SCALA COELI,31,-,-,-,-
SCALEA,1381,8,-,-,-
SCIGLIANO,110,-,-,-,-
SERRA D'AIELLO,97,-,-,-,-
SPEZZANO ALBANESE,900,16,-,-,-
SPEZZANO DELLA SILA,695,13,-,-,-
TARSIA,243,-,-,-,-
TERRANOVA DA SIBARI,838,12,-,-,-
TERRAVECCHIA,57,-,-,-,-
TORANO CASTELLO,715,19,-,-,-
TORTORA,464,8,-,-,-
TREBISACCE,1159,12,-,-,-
VACCARIZZO ALBANESE,133,-,-,-,-
VERBICARO,197,6,-,-,-
VILLAPIANA,591,-,-,-,-
ZUMPANO,608,-,-,-,-
