Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,219,-,-,-,-
ACQUAPPESA,408,-,-,-,-
ACRI,4328,37,-,-,-
AIELLO CALABRO,370,-,-,-,-
AIETA,75,-,-,-,-
ALBIDONA,410,-,-,-,-
ALESSANDRIA DEL CARRETTO,55,-,-,-,-
ALTILIA,219,-,-,-,-
ALTOMONTE,1023,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,5145,26,-,-,-
AMENDOLARA,325,-,-,-,-
APRIGLIANO,660,11,-,-,-
BELMONTE CALABRO,511,-,-,-,-
BELSITO,273,-,-,-,-
BELVEDERE MARITTIMO,1990,10,-,-,-
BIANCHI,403,-,-,-,-
BISIGNANO,2335,21,-,-,-
BOCCHIGLIERO,150,7,-,-,-
BONIFATI,423,7,-,-,-
BUONVICINO,393,-,-,-,-
CALOPEZZATI,518,-,-,-,-
CALOVETO,387,-,-,-,-
CAMPANA,312,8,-,-,-
CANNA,152,-,-,-,-
CARIATI,1305,17,-,-,-
CAROLEI,883,-,-,-,-
CARPANZANO,30,-,-,-,-
CASALI DEL MANCO,2946,26,-,-,-
CASSANO ALLO IONIO,4470,31,-,-,-
CASTIGLIONE COSENTINO,1053,11,-,-,-
CASTROLIBERO,2932,18,-,-,-
CASTROREGIO,50,-,-,-,-
CASTROVILLARI,4819,36,-,-,-
CELICO,610,8,-,-,-
CELLARA,150,-,-,-,-
CERCHIARA DI CALABRIA,499,10,-,-,-
CERISANO,890,-,-,-,-
CERVICATI,204,-,-,-,-
CERZETO,345,-,-,-,-
CETRARO,2638,25,-,-,-
CIVITA,75,-,-,-,-
CLETO,347,-,-,-,-
COLOSIMI,436,-,-,-,-
CORIGLIANO-ROSSANO,24372,171,-,-,-
COSENZA,21206,166,-,-,-
CROPALATI,254,-,-,-,-
CROSIA,2876,17,-,-,-
DIAMANTE,985,8,-,-,-
DIPIGNANO,1438,12,-,-,-
DOMANICO,396,-,-,-,-
FAGNANO CASTELLO,488,6,-,-,-
FALCONARA ALBANESE,364,-,-,-,-
FIGLINE VEGLIATURO,395,-,-,-,-
FIRMO,373,6,-,-,-
FIUMEFREDDO BRUZIO,1001,-,-,-,-
FRANCAVILLA MARITTIMA,683,-,-,-,-
FRASCINETO,486,-,-,-,-
FUSCALDO,2106,8,-,-,-
GRIMALDI,482,-,-,-,-
GRISOLIA,514,-,-,-,-
GUARDIA PIEMONTESE,483,-,-,-,-
LAGO,723,-,-,-,-
LAINO BORGO,474,-,-,-,-
LAINO CASTELLO,185,-,-,-,-
LAPPANO,196,-,-,-,-
LATTARICO,1147,6,-,-,-
LONGOBARDI,607,23,-,-,-
LONGOBUCCO,813,-,-,-,-
LUNGRO,389,7,-,-,-
LUZZI,2472,17,-,-,-
MAIERA',273,-,-,-,-
MALITO,214,-,-,-,-
MALVITO,383,9,-,-,-
MANDATORICCIO,579,-,-,-,-
MANGONE,556,-,-,-,-
MARANO MARCHESATO,1113,8,-,-,-
MARANO PRINCIPATO,847,-,-,-,-
MARZI,262,-,-,-,-
MENDICINO,2977,9,-,-,-
MONGRASSANO,522,6,-,-,-
MONTALTO UFFUGO,7538,29,-,-,-
MONTEGIORDANO,406,-,-,-,-
MORANO CALABRO,502,10,-,-,-
MORMANNO,278,11,-,-,-
MOTTAFOLLONE,215,-,-,-,-
NOCARA,51,-,-,-,-
ORIOLO,159,-,-,-,-
ORSOMARSO,270,-,-,-,-
PALUDI,233,-,-,-,-
PANETTIERI,39,-,-,-,-
PAOLA,4026,37,-,-,-
PAPASIDERO,41,-,-,-,-
PARENTI,588,-,-,-,-
PATERNO CALABRO,457,-,-,-,-
PEDIVIGLIANO,212,-,-,-,-
PIANE CRATI,391,-,-,-,-
PIETRAFITTA,233,-,-,-,-
PIETRAPAOLA,310,-,-,-,-
PLATACI,96,-,-,-,-
PRAIA A MARE,1198,7,-,-,-
RENDE,12874,61,-,-,-
ROCCA IMPERIALE,374,-,-,-,-
ROGGIANO GRAVINA,1558,18,-,-,-
ROGLIANO,1602,11,-,-,-
ROSE,1254,9,-,-,-
ROSETO CAPO SPULICO,205,-,-,-,-
ROTA GRECA,256,-,-,-,-
ROVITO,535,-,-,-,-
SAN BASILE,148,-,-,-,-
SAN BENEDETTO ULLANO,295,-,-,-,-
SAN COSMO ALBANESE,203,6,-,-,-
SAN DEMETRIO CORONE,741,-,-,-,-
SAN DONATO DI NINEA,299,-,-,-,-
SAN FILI,592,6,-,-,-
SAN GIORGIO ALBANESE,404,6,-,-,-
SAN GIOVANNI IN FIORE,4365,34,-,-,-
SAN LORENZO BELLIZZI,79,-,-,-,-
SAN LORENZO DEL VALLO,562,-,-,-,-
SAN LUCIDO,1156,11,-,-,-
SAN MARCO ARGENTANO,1882,7,-,-,-
SAN MARTINO DI FINITA,277,-,-,-,-
SAN NICOLA ARCELLA,312,-,-,-,-
SAN PIETRO IN AMANTEA,145,-,-,-,-
SAN PIETRO IN GUARANO,1248,10,-,-,-
SAN SOSTI,450,7,-,-,-
SAN VINCENZO LA COSTA,765,-,-,-,-
SANGINETO,175,-,-,-,-
SANTA CATERINA ALBANESE,133,-,-,-,-
SANTA DOMENICA TALAO,81,-,-,-,-
SANTA MARIA DEL CEDRO,878,-,-,-,-
SANTA SOFIA D'EPIRO,341,7,-,-,-
SANT'AGATA DI ESARO,133,-,-,-,-
SANTO STEFANO DI ROGLIANO,725,-,-,-,-
SARACENA,970,8,-,-,-
SCALA COELI,62,6,-,-,-
SCALEA,2372,8,-,-,-
SCIGLIANO,235,-,-,-,-
SERRA D'AIELLO,177,-,-,-,-
SPEZZANO ALBANESE,1381,22,-,-,-
SPEZZANO DELLA SILA,1099,16,-,-,-
TARSIA,480,-,-,-,-
TERRANOVA DA SIBARI,1084,14,-,-,-
TERRAVECCHIA,110,-,-,-,-
