Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,207,-,-,-,-
ACQUAPPESA,332,-,-,-,-
ACRI,3710,33,-,-,-
AIELLO CALABRO,309,-,-,-,-
AIETA,58,-,-,-,-
ALBIDONA,327,-,-,-,-
ALESSANDRIA DEL CARRETTO,47,-,-,-,-
ALTILIA,179,-,-,-,-
ALTOMONTE,834,-,-,-,-
ALTRA ASP,1045,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4331,25,-,-,-
AMENDOLARA,289,-,-,-,-
APRIGLIANO,566,10,-,-,-
BELMONTE CALABRO,391,-,-,-,-
BELSITO,249,-,-,-,-
BELVEDERE MARITTIMO,1689,10,-,-,-
BIANCHI,356,-,-,-,-
BISIGNANO,2025,20,-,-,-
BOCCHIGLIERO,134,7,-,-,-
BONIFATI,385,7,-,-,-
BUONVICINO,314,-,-,-,-
CALOPEZZATI,476,-,-,-,-
CALOVETO,363,-,-,-,-
CAMPANA,284,7,-,-,-
CANNA,135,-,-,-,-
CARIATI,1220,15,-,-,-
CAROLEI,660,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2531,21,-,-,-
CASSANO ALLO IONIO,3860,30,-,-,-
CASTIGLIONE COSENTINO,840,8,-,-,-
CASTROLIBERO,2384,18,-,-,-
CASTROREGIO,44,-,-,-,-
CASTROVILLARI,3913,31,-,-,-
CELICO,507,7,-,-,-
CELLARA,110,-,-,-,-
CERCHIARA DI CALABRIA,453,8,-,-,-
CERISANO,721,-,-,-,-
CERVICATI,169,-,-,-,-
CERZETO,311,-,-,-,-
CETRARO,2333,24,-,-,-
CIVITA,64,-,-,-,-
CLETO,265,-,-,-,-
COLOSIMI,372,-,-,-,-
CORIGLIANO-ROSSANO,21318,164,-,-,-
COSENZA,17262,148,-,-,-
CROPALATI,223,-,-,-,-
CROSIA,2538,16,-,-,-
DIAMANTE,831,7,-,-,-
DIPIGNANO,1128,9,-,-,-
DOMANICO,300,-,-,-,-
FAGNANO CASTELLO,424,6,-,-,-
FALCONARA ALBANESE,283,-,-,-,-
FIGLINE VEGLIATURO,341,-,-,-,-
FIRMO,326,-,-,-,-
FIUMEFREDDO BRUZIO,764,-,-,-,-
FRANCAVILLA MARITTIMA,627,-,-,-,-
FRASCINETO,416,-,-,-,-
FUSCALDO,1837,8,-,-,-
GRIMALDI,402,-,-,-,-
GRISOLIA,471,-,-,-,-
GUARDIA PIEMONTESE,392,-,-,-,-
LAGO,570,-,-,-,-
LAINO BORGO,431,-,-,-,-
LAINO CASTELLO,173,-,-,-,-
LAPPANO,171,-,-,-,-
LATTARICO,978,6,-,-,-
LONGOBARDI,502,23,-,-,-
LONGOBUCCO,744,-,-,-,-
LUNGRO,342,6,-,-,-
LUZZI,2122,17,-,-,-
MAIERA',208,-,-,-,-
MALITO,153,-,-,-,-
MALVITO,289,8,-,-,-
MANDATORICCIO,535,-,-,-,-
MANGONE,476,-,-,-,-
MARANO MARCHESATO,919,8,-,-,-
MARANO PRINCIPATO,671,-,-,-,-
MARZI,222,-,-,-,-
MENDICINO,2384,9,-,-,-
MONGRASSANO,439,6,-,-,-
MONTALTO UFFUGO,6297,26,-,-,-
MONTEGIORDANO,370,-,-,-,-
MORANO CALABRO,303,10,-,-,-
MORMANNO,265,9,-,-,-
MOTTAFOLLONE,156,-,-,-,-
NOCARA,42,-,-,-,-
ORIOLO,146,-,-,-,-
ORSOMARSO,239,-,-,-,-
PALUDI,194,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3391,31,-,-,-
PAPASIDERO,38,-,-,-,-
PARENTI,558,-,-,-,-
PATERNO CALABRO,373,-,-,-,-
PEDIVIGLIANO,192,-,-,-,-
PIANE CRATI,326,-,-,-,-
PIETRAFITTA,200,-,-,-,-
PIETRAPAOLA,273,-,-,-,-
PLATACI,87,-,-,-,-
PRAIA A MARE,1010,7,-,-,-
RENDE,10202,53,-,-,-
ROCCA IMPERIALE,354,-,-,-,-
ROGGIANO GRAVINA,1372,17,-,-,-
ROGLIANO,1371,11,-,-,-
ROSE,1071,8,-,-,-
ROSETO CAPO SPULICO,190,-,-,-,-
ROTA GRECA,208,-,-,-,-
ROVITO,472,-,-,-,-
SAN BASILE,120,-,-,-,-
SAN BENEDETTO ULLANO,269,-,-,-,-
SAN COSMO ALBANESE,183,6,-,-,-
SAN DEMETRIO CORONE,617,-,-,-,-
SAN DONATO DI NINEA,253,-,-,-,-
SAN FILI,506,6,-,-,-
SAN GIORGIO ALBANESE,320,6,-,-,-
SAN GIOVANNI IN FIORE,3982,33,-,-,-
SAN LORENZO BELLIZZI,77,-,-,-,-
SAN LORENZO DEL VALLO,462,-,-,-,-
SAN LUCIDO,940,9,-,-,-
SAN MARCO ARGENTANO,1599,7,-,-,-
SAN MARTINO DI FINITA,222,-,-,-,-
SAN NICOLA ARCELLA,272,-,-,-,-
SAN PIETRO IN AMANTEA,124,-,-,-,-
SAN PIETRO IN GUARANO,963,9,-,-,-
SAN SOSTI,368,7,-,-,-
SAN VINCENZO LA COSTA,612,-,-,-,-
SANGINETO,163,-,-,-,-
SANTA CATERINA ALBANESE,108,-,-,-,-
SANTA DOMENICA TALAO,74,-,-,-,-
SANTA MARIA DEL CEDRO,790,-,-,-,-
SANTA SOFIA D'EPIRO,264,7,-,-,-
SANT'AGATA DI ESARO,123,-,-,-,-
SANTO STEFANO DI ROGLIANO,588,-,-,-,-
SARACENA,832,6,-,-,-
SCALA COELI,41,-,-,-,-
SCALEA,2146,8,-,-,-
SCIGLIANO,174,-,-,-,-
SERRA D'AIELLO,151,-,-,-,-
SPEZZANO ALBANESE,1198,19,-,-,-
SPEZZANO DELLA SILA,914,14,-,-,-
TARSIA,410,-,-,-,-
TERRANOVA DA SIBARI,967,12,-,-,-
TERRAVECCHIA,97,-,-,-,-
TORANO CASTELLO,915,20,-,-,-
TORTORA,823,9,-,-,-
TREBISACCE,1789,15,-,-,-
VACCARIZZO ALBANESE,230,-,-,-,-
VERBICARO,235,6,-,-,-
VILLAPIANA,824,-,-,-,-
ZUMPANO,788,-,-,-,-
