Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,200,-,-,-,-
ACQUAPPESA,309,-,-,-,-
ACRI,3548,33,-,-,-
AIELLO CALABRO,300,-,-,-,-
AIETA,45,-,-,-,-
ALBIDONA,306,-,-,-,-
ALESSANDRIA DEL CARRETTO,44,-,-,-,-
ALTILIA,177,-,-,-,-
ALTOMONTE,814,-,-,-,-
ALTRA ASP,1035,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4151,25,-,-,-
AMENDOLARA,279,-,-,-,-
APRIGLIANO,554,10,-,-,-
BELMONTE CALABRO,372,-,-,-,-
BELSITO,235,-,-,-,-
BELVEDERE MARITTIMO,1609,10,-,-,-
BIANCHI,340,-,-,-,-
BISIGNANO,1942,19,-,-,-
BOCCHIGLIERO,130,7,-,-,-
BONIFATI,375,7,-,-,-
BUONVICINO,294,-,-,-,-
CALOPEZZATI,451,-,-,-,-
CALOVETO,350,-,-,-,-
CAMPANA,280,7,-,-,-
CANNA,124,-,-,-,-
CARIATI,1199,15,-,-,-
CAROLEI,640,-,-,-,-
CARPANZANO,25,-,-,-,-
CASALI DEL MANCO,2468,21,-,-,-
CASSANO ALLO IONIO,3778,30,-,-,-
CASTIGLIONE COSENTINO,815,8,-,-,-
CASTROLIBERO,2325,17,-,-,-
CASTROREGIO,43,-,-,-,-
CASTROVILLARI,3827,30,-,-,-
CELICO,488,7,-,-,-
CELLARA,101,-,-,-,-
CERCHIARA DI CALABRIA,451,8,-,-,-
CERISANO,702,-,-,-,-
CERVICATI,160,-,-,-,-
CERZETO,303,-,-,-,-
CETRARO,2226,24,-,-,-
CIVITA,62,-,-,-,-
CLETO,253,-,-,-,-
COLOSIMI,334,-,-,-,-
CORIGLIANO-ROSSANO,20794,162,-,-,-
COSENZA,16791,146,-,-,-
CROPALATI,218,-,-,-,-
CROSIA,2479,16,-,-,-
DIAMANTE,778,6,-,-,-
DIPIGNANO,1089,9,-,-,-
DOMANICO,280,-,-,-,-
FAGNANO CASTELLO,418,6,-,-,-
FALCONARA ALBANESE,269,-,-,-,-
FIGLINE VEGLIATURO,334,-,-,-,-
FIRMO,301,-,-,-,-
FIUMEFREDDO BRUZIO,724,-,-,-,-
FRANCAVILLA MARITTIMA,598,-,-,-,-
FRASCINETO,409,-,-,-,-
FUSCALDO,1778,8,-,-,-
GRIMALDI,398,-,-,-,-
GRISOLIA,464,-,-,-,-
GUARDIA PIEMONTESE,370,-,-,-,-
LAGO,545,-,-,-,-
LAINO BORGO,417,-,-,-,-
