Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,136,-,-,-,-
ACQUAPPESA,167,-,-,-,-
ACRI,2080,27,-,-,-
AIELLO CALABRO,129,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,164,-,-,-,-
ALESSANDRIA DEL CARRETTO,12,-,-,-,-
ALTILIA,102,-,-,-,-
ALTOMONTE,573,-,-,-,-
ALTRA ASP,885,9,-,-,-
ALTRA REGIONE,594,11,-,-,-
AMANTEA,2199,19,-,-,-
AMENDOLARA,201,-,-,-,-
APRIGLIANO,397,9,-,-,-
BELMONTE CALABRO,195,-,-,-,-
BELSITO,125,-,-,-,-
BELVEDERE MARITTIMO,896,10,-,-,-
BIANCHI,205,-,-,-,-
BISIGNANO,1339,17,-,-,-
BOCCHIGLIERO,116,7,-,-,-
BONIFATI,200,-,-,-,-
BUONVICINO,159,-,-,-,-
CALOPEZZATI,179,-,-,-,-
CALOVETO,190,-,-,-,-
CAMPANA,234,6,-,-,-
CANNA,53,-,-,-,-
CARIATI,733,12,-,-,-
CAROLEI,400,-,-,-,-
CARPANZANO,11,-,-,-,-
CASALI DEL MANCO,1585,20,-,-,-
CASSANO ALLO IONIO,2412,29,-,-,-
CASTIGLIONE COSENTINO,417,-,-,-,-
CASTROLIBERO,1470,13,-,-,-
CASTROREGIO,15,-,-,-,-
CASTROVILLARI,2227,23,-,-,-
CELICO,402,7,-,-,-
CELLARA,62,-,-,-,-
CERCHIARA DI CALABRIA,219,-,-,-,-
CERISANO,424,-,-,-,-
CERVICATI,104,-,-,-,-
CERZETO,207,-,-,-,-
CETRARO,1333,16,-,-,-
CIVITA,42,-,-,-,-
CLETO,110,-,-,-,-
COLOSIMI,173,-,-,-,-
CORIGLIANO-ROSSANO,12808,147,-,-,-
COSENZA,10711,114,-,-,-
CROPALATI,121,-,-,-,-
CROSIA,1398,13,-,-,-
DIAMANTE,295,-,-,-,-
DIPIGNANO,703,8,-,-,-
DOMANICO,164,-,-,-,-
FAGNANO CASTELLO,264,-,-,-,-
FALCONARA ALBANESE,183,-,-,-,-
FIGLINE VEGLIATURO,199,-,-,-,-
FIRMO,152,-,-,-,-
FIUMEFREDDO BRUZIO,409,-,-,-,-
FRANCAVILLA MARITTIMA,343,-,-,-,-
FRASCINETO,225,-,-,-,-
FUSCALDO,1101,8,-,-,-
GRIMALDI,169,-,-,-,-
GRISOLIA,321,-,-,-,-
GUARDIA PIEMONTESE,172,-,-,-,-
LAGO,298,-,-,-,-
LAINO BORGO,202,-,-,-,-
LAINO CASTELLO,93,-,-,-,-
LAPPANO,119,-,-,-,-
LATTARICO,584,-,-,-,-
LONGOBARDI,233,17,-,-,-
LONGOBUCCO,416,-,-,-,-
LUNGRO,194,6,-,-,-
LUZZI,1315,14,-,-,-
MAIERA',89,-,-,-,-
MALITO,76,-,-,-,-
MALVITO,160,-,-,-,-
MANDATORICCIO,394,-,-,-,-
MANGONE,296,-,-,-,-
MARANO MARCHESATO,529,8,-,-,-
MARANO PRINCIPATO,409,-,-,-,-
MARZI,175,-,-,-,-
MENDICINO,1470,6,-,-,-
MONGRASSANO,270,-,-,-,-
MONTALTO UFFUGO,3702,22,-,-,-
MONTEGIORDANO,189,-,-,-,-
MORANO CALABRO,255,9,-,-,-
MORMANNO,183,8,-,-,-
MOTTAFOLLONE,91,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,105,-,-,-,-
ORSOMARSO,146,-,-,-,-
PALUDI,97,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1657,23,-,-,-
PAPASIDERO,27,-,-,-,-
PARENTI,352,-,-,-,-
PATERNO CALABRO,256,-,-,-,-
PEDIVIGLIANO,100,-,-,-,-
PIANE CRATI,227,-,-,-,-
PIETRAFITTA,140,-,-,-,-
PIETRAPAOLA,144,-,-,-,-
PLATACI,58,-,-,-,-
PRAIA A MARE,435,7,-,-,-
RENDE,6082,45,-,-,-
ROCCA IMPERIALE,279,-,-,-,-
