Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,198,-,-,-,-
ACQUAPPESA,292,-,-,-,-
ACRI,3341,33,-,-,-
AIELLO CALABRO,285,-,-,-,-
AIETA,40,-,-,-,-
ALBIDONA,259,-,-,-,-
ALESSANDRIA DEL CARRETTO,40,-,-,-,-
ALTILIA,176,-,-,-,-
ALTOMONTE,808,-,-,-,-
ALTRA ASP,1031,14,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3982,24,-,-,-
AMENDOLARA,271,-,-,-,-
APRIGLIANO,540,10,-,-,-
BELMONTE CALABRO,351,-,-,-,-
BELSITO,225,-,-,-,-
BELVEDERE MARITTIMO,1551,10,-,-,-
BIANCHI,298,-,-,-,-
BISIGNANO,1894,19,-,-,-
BOCCHIGLIERO,130,7,-,-,-
BONIFATI,355,7,-,-,-
BUONVICINO,285,-,-,-,-
CALOPEZZATI,422,-,-,-,-
CALOVETO,346,-,-,-,-
CAMPANA,278,7,-,-,-
CANNA,111,-,-,-,-
CARIATI,1140,14,-,-,-
CAROLEI,624,-,-,-,-
CARPANZANO,21,-,-,-,-
CASALI DEL MANCO,2411,20,-,-,-
CASSANO ALLO IONIO,3675,30,-,-,-
CASTIGLIONE COSENTINO,797,8,-,-,-
CASTROLIBERO,2260,17,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3711,28,-,-,-
CELICO,483,7,-,-,-
CELLARA,99,-,-,-,-
CERCHIARA DI CALABRIA,427,8,-,-,-
CERISANO,678,-,-,-,-
CERVICATI,155,-,-,-,-
CERZETO,291,-,-,-,-
CETRARO,2100,23,-,-,-
CIVITA,59,-,-,-,-
CLETO,227,-,-,-,-
COLOSIMI,300,-,-,-,-
CORIGLIANO-ROSSANO,20167,162,-,-,-
COSENZA,16412,142,-,-,-
CROPALATI,205,-,-,-,-
CROSIA,2396,16,-,-,-
DIAMANTE,721,-,-,-,-
DIPIGNANO,1070,8,-,-,-
DOMANICO,272,-,-,-,-
FAGNANO CASTELLO,401,6,-,-,-
FALCONARA ALBANESE,262,-,-,-,-
FIGLINE VEGLIATURO,331,-,-,-,-
FIRMO,291,-,-,-,-
FIUMEFREDDO BRUZIO,708,-,-,-,-
FRANCAVILLA MARITTIMA,578,-,-,-,-
FRASCINETO,407,-,-,-,-
FUSCALDO,1726,8,-,-,-
GRIMALDI,390,-,-,-,-
GRISOLIA,453,-,-,-,-
GUARDIA PIEMONTESE,334,-,-,-,-
LAGO,533,-,-,-,-
LAINO BORGO,406,-,-,-,-
LAINO CASTELLO,160,-,-,-,-
LAPPANO,166,-,-,-,-
LATTARICO,933,6,-,-,-
LONGOBARDI,469,21,-,-,-
LONGOBUCCO,690,-,-,-,-
LUNGRO,330,6,-,-,-
LUZZI,2027,17,-,-,-
MAIERA',194,-,-,-,-
MALITO,140,-,-,-,-
MALVITO,263,8,-,-,-
MANDATORICCIO,504,-,-,-,-
MANGONE,445,-,-,-,-
MARANO MARCHESATO,882,8,-,-,-
MARANO PRINCIPATO,647,-,-,-,-
MARZI,216,-,-,-,-
MENDICINO,2295,8,-,-,-
MONGRASSANO,414,6,-,-,-
MONTALTO UFFUGO,6002,25,-,-,-
MONTEGIORDANO,338,-,-,-,-
MORANO CALABRO,297,9,-,-,-
MORMANNO,234,9,-,-,-
MOTTAFOLLONE,150,-,-,-,-
NOCARA,41,-,-,-,-
ORIOLO,140,-,-,-,-
ORSOMARSO,228,-,-,-,-
PALUDI,174,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3148,31,-,-,-
PAPASIDERO,34,-,-,-,-
PARENTI,530,-,-,-,-
PATERNO CALABRO,355,-,-,-,-
PEDIVIGLIANO,175,-,-,-,-
PIANE CRATI,315,-,-,-,-
PIETRAFITTA,180,-,-,-,-
PIETRAPAOLA,254,-,-,-,-
PLATACI,79,-,-,-,-
PRAIA A MARE,920,7,-,-,-
RENDE,9726,52,-,-,-
ROCCA IMPERIALE,342,-,-,-,-
ROGGIANO GRAVINA,1282,15,-,-,-
ROGLIANO,1308,11,-,-,-
ROSE,1023,8,-,-,-
ROSETO CAPO SPULICO,161,-,-,-,-
ROTA GRECA,190,-,-,-,-
ROVITO,438,-,-,-,-
SAN BASILE,117,-,-,-,-
SAN BENEDETTO ULLANO,263,-,-,-,-
SAN COSMO ALBANESE,173,6,-,-,-
SAN DEMETRIO CORONE,573,-,-,-,-
SAN DONATO DI NINEA,222,-,-,-,-
SAN FILI,484,6,-,-,-
SAN GIORGIO ALBANESE,290,-,-,-,-
SAN GIOVANNI IN FIORE,3682,33,-,-,-
SAN LORENZO BELLIZZI,64,-,-,-,-
SAN LORENZO DEL VALLO,422,-,-,-,-
SAN LUCIDO,840,9,-,-,-
SAN MARCO ARGENTANO,1510,7,-,-,-
SAN MARTINO DI FINITA,195,-,-,-,-
SAN NICOLA ARCELLA,256,-,-,-,-
SAN PIETRO IN AMANTEA,118,-,-,-,-
SAN PIETRO IN GUARANO,902,9,-,-,-
SAN SOSTI,328,7,-,-,-
SAN VINCENZO LA COSTA,581,-,-,-,-
SANGINETO,156,-,-,-,-
SANTA CATERINA ALBANESE,106,-,-,-,-
SANTA DOMENICA TALAO,72,-,-,-,-
SANTA MARIA DEL CEDRO,763,-,-,-,-
SANTA SOFIA D'EPIRO,236,7,-,-,-
SANT'AGATA DI ESARO,121,-,-,-,-
SANTO STEFANO DI ROGLIANO,556,-,-,-,-
SARACENA,775,6,-,-,-
SCALA COELI,37,-,-,-,-
SCALEA,2038,8,-,-,-
SCIGLIANO,161,-,-,-,-
SERRA D'AIELLO,133,-,-,-,-
SPEZZANO ALBANESE,1117,18,-,-,-
SPEZZANO DELLA SILA,860,14,-,-,-
TARSIA,381,-,-,-,-
TERRANOVA DA SIBARI,925,12,-,-,-
TERRAVECCHIA,83,-,-,-,-
TORANO CASTELLO,890,20,-,-,-
TORTORA,751,8,-,-,-
TREBISACCE,1630,14,-,-,-
VACCARIZZO ALBANESE,209,-,-,-,-
VERBICARO,213,6,-,-,-
VILLAPIANA,763,-,-,-,-
ZUMPANO,746,-,-,-,-
