Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,182,-,-,-,-
ACQUAPPESA,233,-,-,-,-
ACRI,2916,30,-,-,-
AIELLO CALABRO,221,-,-,-,-
AIETA,23,-,-,-,-
ALBIDONA,232,-,-,-,-
ALESSANDRIA DEL CARRETTO,29,-,-,-,-
ALTILIA,159,-,-,-,-
ALTOMONTE,723,-,-,-,-
ALTRA ASP,970,12,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3332,23,-,-,-
AMENDOLARA,227,-,-,-,-
APRIGLIANO,484,10,-,-,-
BELMONTE CALABRO,291,-,-,-,-
BELSITO,190,-,-,-,-
BELVEDERE MARITTIMO,1299,10,-,-,-
BIANCHI,266,-,-,-,-
BISIGNANO,1659,17,-,-,-
BOCCHIGLIERO,124,7,-,-,-
BONIFATI,296,-,-,-,-
BUONVICINO,256,-,-,-,-
CALOPEZZATI,316,-,-,-,-
CALOVETO,262,-,-,-,-
CAMPANA,259,6,-,-,-
CANNA,74,-,-,-,-
CARIATI,947,13,-,-,-
CAROLEI,514,-,-,-,-
CARPANZANO,15,-,-,-,-
CASALI DEL MANCO,2060,20,-,-,-
CASSANO ALLO IONIO,3006,29,-,-,-
CASTIGLIONE COSENTINO,637,6,-,-,-
CASTROLIBERO,1966,16,-,-,-
CASTROREGIO,42,-,-,-,-
CASTROVILLARI,3053,25,-,-,-
CELICO,455,7,-,-,-
CELLARA,90,-,-,-,-
CERCHIARA DI CALABRIA,304,-,-,-,-
CERISANO,548,-,-,-,-
CERVICATI,142,-,-,-,-
CERZETO,249,-,-,-,-
CETRARO,1734,20,-,-,-
CIVITA,53,-,-,-,-
CLETO,185,-,-,-,-
COLOSIMI,236,-,-,-,-
CORIGLIANO-ROSSANO,16492,153,-,-,-
COSENZA,14220,132,-,-,-
CROPALATI,166,-,-,-,-
CROSIA,1892,14,-,-,-
DIAMANTE,522,-,-,-,-
DIPIGNANO,899,8,-,-,-
DOMANICO,214,-,-,-,-
FAGNANO CASTELLO,326,-,-,-,-
FALCONARA ALBANESE,233,-,-,-,-
FIGLINE VEGLIATURO,259,-,-,-,-
FIRMO,213,-,-,-,-
FIUMEFREDDO BRUZIO,579,-,-,-,-
FRANCAVILLA MARITTIMA,454,-,-,-,-
FRASCINETO,321,-,-,-,-
FUSCALDO,1429,8,-,-,-
GRIMALDI,324,-,-,-,-
GRISOLIA,407,-,-,-,-
GUARDIA PIEMONTESE,251,-,-,-,-
LAGO,465,-,-,-,-
LAINO BORGO,305,-,-,-,-
LAINO CASTELLO,139,-,-,-,-
LAPPANO,147,-,-,-,-
LATTARICO,806,6,-,-,-
LONGOBARDI,355,19,-,-,-
LONGOBUCCO,578,-,-,-,-
LUNGRO,289,6,-,-,-
LUZZI,1755,15,-,-,-
MAIERA',175,-,-,-,-
MALITO,103,-,-,-,-
MALVITO,219,6,-,-,-
MANDATORICCIO,450,-,-,-,-
MANGONE,375,-,-,-,-
MARANO MARCHESATO,745,8,-,-,-
MARANO PRINCIPATO,554,-,-,-,-
MARZI,200,-,-,-,-
MENDICINO,1982,7,-,-,-
MONGRASSANO,363,-,-,-,-
MONTALTO UFFUGO,5044,22,-,-,-
MONTEGIORDANO,283,-,-,-,-
MORANO CALABRO,281,9,-,-,-
MORMANNO,216,8,-,-,-
MOTTAFOLLONE,130,-,-,-,-
NOCARA,36,-,-,-,-
ORIOLO,132,-,-,-,-
ORSOMARSO,188,-,-,-,-
PALUDI,136,-,-,-,-
PANETTIERI,36,-,-,-,-
PAOLA,2531,27,-,-,-
PAPASIDERO,33,-,-,-,-
PARENTI,479,-,-,-,-
PATERNO CALABRO,319,-,-,-,-
PEDIVIGLIANO,131,-,-,-,-
PIANE CRATI,276,-,-,-,-
PIETRAFITTA,162,-,-,-,-
PIETRAPAOLA,190,-,-,-,-
PLATACI,74,-,-,-,-
PRAIA A MARE,604,7,-,-,-
RENDE,8322,49,-,-,-
ROCCA IMPERIALE,316,-,-,-,-
ROGGIANO GRAVINA,1114,13,-,-,-
ROGLIANO,1200,9,-,-,-
ROSE,852,8,-,-,-
ROSETO CAPO SPULICO,152,-,-,-,-
ROTA GRECA,164,-,-,-,-
ROVITO,401,-,-,-,-
SAN BASILE,96,-,-,-,-
SAN BENEDETTO ULLANO,240,-,-,-,-
SAN COSMO ALBANESE,145,6,-,-,-
SAN DEMETRIO CORONE,370,-,-,-,-
SAN DONATO DI NINEA,169,-,-,-,-
SAN FILI,443,-,-,-,-
SAN GIORGIO ALBANESE,198,-,-,-,-
SAN GIOVANNI IN FIORE,3250,32,-,-,-
SAN LORENZO BELLIZZI,54,-,-,-,-
SAN LORENZO DEL VALLO,350,-,-,-,-
SAN LUCIDO,733,8,-,-,-
SAN MARCO ARGENTANO,1254,7,-,-,-
SAN MARTINO DI FINITA,153,-,-,-,-
SAN NICOLA ARCELLA,230,-,-,-,-
SAN PIETRO IN AMANTEA,97,-,-,-,-
SAN PIETRO IN GUARANO,745,9,-,-,-
SAN SOSTI,292,7,-,-,-
SAN VINCENZO LA COSTA,472,-,-,-,-
SANGINETO,143,-,-,-,-
SANTA CATERINA ALBANESE,89,-,-,-,-
SANTA DOMENICA TALAO,61,-,-,-,-
SANTA MARIA DEL CEDRO,650,-,-,-,-
SANTA SOFIA D'EPIRO,208,7,-,-,-
SANT'AGATA DI ESARO,117,-,-,-,-
SANTO STEFANO DI ROGLIANO,492,-,-,-,-
SARACENA,683,-,-,-,-
SCALA COELI,33,-,-,-,-
SCALEA,1597,8,-,-,-
SCIGLIANO,136,-,-,-,-
SERRA D'AIELLO,112,-,-,-,-
SPEZZANO ALBANESE,949,16,-,-,-
SPEZZANO DELLA SILA,757,13,-,-,-
TARSIA,295,-,-,-,-
TERRANOVA DA SIBARI,867,12,-,-,-
TERRAVECCHIA,67,-,-,-,-
TORANO CASTELLO,779,19,-,-,-
TORTORA,510,8,-,-,-
TREBISACCE,1306,12,-,-,-
VACCARIZZO ALBANESE,159,-,-,-,-
VERBICARO,203,6,-,-,-
VILLAPIANA,639,-,-,-,-
ZUMPANO,648,-,-,-,-
