Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,211,-,-,-,-
ACQUAPPESA,389,-,-,-,-
ACRI,4138,36,-,-,-
AIELLO CALABRO,338,-,-,-,-
AIETA,68,-,-,-,-
ALBIDONA,380,-,-,-,-
ALESSANDRIA DEL CARRETTO,51,-,-,-,-
ALTILIA,207,-,-,-,-
ALTOMONTE,986,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4735,25,-,-,-
AMENDOLARA,312,-,-,-,-
APRIGLIANO,618,10,-,-,-
BELMONTE CALABRO,427,-,-,-,-
BELSITO,265,-,-,-,-
BELVEDERE MARITTIMO,1867,10,-,-,-
BIANCHI,386,-,-,-,-
BISIGNANO,2200,21,-,-,-
BOCCHIGLIERO,144,7,-,-,-
BONIFATI,414,7,-,-,-
BUONVICINO,361,-,-,-,-
CALOPEZZATI,491,-,-,-,-
CALOVETO,378,-,-,-,-
CAMPANA,286,7,-,-,-
CANNA,141,-,-,-,-
CARIATI,1241,16,-,-,-
CAROLEI,834,-,-,-,-
CARPANZANO,30,-,-,-,-
CASALI DEL MANCO,2844,25,-,-,-
CASSANO ALLO IONIO,4252,30,-,-,-
CASTIGLIONE COSENTINO,975,10,-,-,-
CASTROLIBERO,2731,18,-,-,-
CASTROREGIO,46,-,-,-,-
CASTROVILLARI,4463,33,-,-,-
CELICO,592,8,-,-,-
CELLARA,131,-,-,-,-
CERCHIARA DI CALABRIA,481,10,-,-,-
CERISANO,832,-,-,-,-
CERVICATI,195,-,-,-,-
CERZETO,332,-,-,-,-
CETRARO,2537,25,-,-,-
CIVITA,67,-,-,-,-
CLETO,294,-,-,-,-
COLOSIMI,411,-,-,-,-
CORIGLIANO-ROSSANO,23089,165,-,-,-
COSENZA,19938,156,-,-,-
CROPALATI,248,-,-,-,-
CROSIA,2702,17,-,-,-
DIAMANTE,934,8,-,-,-
DIPIGNANO,1347,12,-,-,-
DOMANICO,383,-,-,-,-
FAGNANO CASTELLO,472,6,-,-,-
FALCONARA ALBANESE,338,-,-,-,-
FIGLINE VEGLIATURO,364,-,-,-,-
FIRMO,339,-,-,-,-
FIUMEFREDDO BRUZIO,941,-,-,-,-
FRANCAVILLA MARITTIMA,662,-,-,-,-
FRASCINETO,467,-,-,-,-
FUSCALDO,2015,8,-,-,-
GRIMALDI,470,-,-,-,-
GRISOLIA,500,-,-,-,-
GUARDIA PIEMONTESE,463,-,-,-,-
LAGO,671,-,-,-,-
LAINO BORGO,462,-,-,-,-
LAINO CASTELLO,184,-,-,-,-
LAPPANO,186,-,-,-,-
LATTARICO,1106,6,-,-,-
LONGOBARDI,566,23,-,-,-
LONGOBUCCO,786,-,-,-,-
LUNGRO,372,6,-,-,-
LUZZI,2378,17,-,-,-
MAIERA',239,-,-,-,-
MALITO,202,-,-,-,-
MALVITO,355,8,-,-,-
MANDATORICCIO,555,-,-,-,-
MANGONE,521,-,-,-,-
MARANO MARCHESATO,1045,8,-,-,-
MARANO PRINCIPATO,776,-,-,-,-
MARZI,241,-,-,-,-
MENDICINO,2820,9,-,-,-
MONGRASSANO,494,6,-,-,-
MONTALTO UFFUGO,7138,29,-,-,-
MONTEGIORDANO,386,-,-,-,-
MORANO CALABRO,431,10,-,-,-
MORMANNO,274,11,-,-,-
MOTTAFOLLONE,190,-,-,-,-
NOCARA,46,-,-,-,-
ORIOLO,155,-,-,-,-
ORSOMARSO,260,-,-,-,-
PALUDI,223,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3844,34,-,-,-
PAPASIDERO,41,-,-,-,-
PARENTI,582,-,-,-,-
PATERNO CALABRO,436,-,-,-,-
PEDIVIGLIANO,212,-,-,-,-
PIANE CRATI,365,-,-,-,-
PIETRAFITTA,220,-,-,-,-
PIETRAPAOLA,290,-,-,-,-
PLATACI,92,-,-,-,-
PRAIA A MARE,1139,7,-,-,-
RENDE,11969,57,-,-,-
ROCCA IMPERIALE,369,-,-,-,-
ROGGIANO GRAVINA,1499,17,-,-,-
ROGLIANO,1514,11,-,-,-
ROSE,1199,8,-,-,-
ROSETO CAPO SPULICO,200,-,-,-,-
ROTA GRECA,248,-,-,-,-
ROVITO,517,-,-,-,-
SAN BASILE,136,-,-,-,-
SAN BENEDETTO ULLANO,288,-,-,-,-
SAN COSMO ALBANESE,195,6,-,-,-
SAN DEMETRIO CORONE,674,-,-,-,-
SAN DONATO DI NINEA,286,-,-,-,-
SAN FILI,563,6,-,-,-
SAN GIORGIO ALBANESE,386,6,-,-,-
SAN GIOVANNI IN FIORE,4180,34,-,-,-
SAN LORENZO BELLIZZI,79,-,-,-,-
SAN LORENZO DEL VALLO,534,-,-,-,-
SAN LUCIDO,1091,10,-,-,-
SAN MARCO ARGENTANO,1786,7,-,-,-
SAN MARTINO DI FINITA,257,-,-,-,-
SAN NICOLA ARCELLA,299,-,-,-,-
SAN PIETRO IN AMANTEA,129,-,-,-,-
SAN PIETRO IN GUARANO,1158,10,-,-,-
SAN SOSTI,426,7,-,-,-
SAN VINCENZO LA COSTA,703,-,-,-,-
SANGINETO,170,-,-,-,-
SANTA CATERINA ALBANESE,130,-,-,-,-
SANTA DOMENICA TALAO,80,-,-,-,-
SANTA MARIA DEL CEDRO,852,-,-,-,-
SANTA SOFIA D'EPIRO,324,7,-,-,-
SANT'AGATA DI ESARO,127,-,-,-,-
SANTO STEFANO DI ROGLIANO,665,-,-,-,-
SARACENA,894,6,-,-,-
SCALA COELI,41,-,-,-,-
SCALEA,2297,8,-,-,-
SCIGLIANO,222,-,-,-,-
SERRA D'AIELLO,166,-,-,-,-
SPEZZANO ALBANESE,1322,21,-,-,-
SPEZZANO DELLA SILA,1075,15,-,-,-
TARSIA,436,-,-,-,-
TERRANOVA DA SIBARI,1039,13,-,-,-
TERRAVECCHIA,103,-,-,-,-
TORANO CASTELLO,1002,20,-,-,-
TORTORA,943,9,-,-,-
TREBISACCE,1942,16,-,-,-
VACCARIZZO ALBANESE,253,-,-,-,-
VERBICARO,301,6,-,-,-
VILLAPIANA,873,-,-,-,-
ZUMPANO,841,-,-,-,-
