Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,218,-,-,-,-
ACQUAPPESA,405,-,-,-,-
ACRI,4300,36,-,-,-
AIELLO CALABRO,365,-,-,-,-
AIETA,74,-,-,-,-
ALBIDONA,409,-,-,-,-
ALESSANDRIA DEL CARRETTO,55,-,-,-,-
ALTILIA,218,-,-,-,-
ALTOMONTE,1021,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,5118,26,-,-,-
AMENDOLARA,323,-,-,-,-
APRIGLIANO,654,11,-,-,-
BELMONTE CALABRO,505,-,-,-,-
BELSITO,273,-,-,-,-
BELVEDERE MARITTIMO,1986,10,-,-,-
BIANCHI,402,-,-,-,-
BISIGNANO,2326,21,-,-,-
BOCCHIGLIERO,149,7,-,-,-
BONIFATI,423,7,-,-,-
BUONVICINO,392,-,-,-,-
CALOPEZZATI,517,-,-,-,-
CALOVETO,384,-,-,-,-
CAMPANA,312,8,-,-,-
CANNA,151,-,-,-,-
CARIATI,1300,17,-,-,-
CAROLEI,874,-,-,-,-
CARPANZANO,30,-,-,-,-
CASALI DEL MANCO,2942,26,-,-,-
CASSANO ALLO IONIO,4451,31,-,-,-
CASTIGLIONE COSENTINO,1043,11,-,-,-
CASTROLIBERO,2910,18,-,-,-
CASTROREGIO,50,-,-,-,-
CASTROVILLARI,4790,35,-,-,-
CELICO,610,8,-,-,-
CELLARA,148,-,-,-,-
CERCHIARA DI CALABRIA,497,10,-,-,-
CERISANO,889,-,-,-,-
CERVICATI,204,-,-,-,-
CERZETO,344,-,-,-,-
CETRARO,2613,25,-,-,-
CIVITA,75,-,-,-,-
CLETO,346,-,-,-,-
COLOSIMI,435,-,-,-,-
CORIGLIANO-ROSSANO,24269,171,-,-,-
COSENZA,21106,165,-,-,-
CROPALATI,254,-,-,-,-
CROSIA,2846,17,-,-,-
DIAMANTE,978,8,-,-,-
DIPIGNANO,1431,12,-,-,-
DOMANICO,395,-,-,-,-
FAGNANO CASTELLO,487,6,-,-,-
FALCONARA ALBANESE,363,-,-,-,-
FIGLINE VEGLIATURO,388,-,-,-,-
FIRMO,371,6,-,-,-
FIUMEFREDDO BRUZIO,994,-,-,-,-
FRANCAVILLA MARITTIMA,683,-,-,-,-
FRASCINETO,484,-,-,-,-
FUSCALDO,2102,8,-,-,-
GRIMALDI,482,-,-,-,-
GRISOLIA,513,-,-,-,-
GUARDIA PIEMONTESE,480,-,-,-,-
LAGO,719,-,-,-,-
LAINO BORGO,472,-,-,-,-
LAINO CASTELLO,185,-,-,-,-
LAPPANO,196,-,-,-,-
LATTARICO,1145,6,-,-,-
LONGOBARDI,603,23,-,-,-
LONGOBUCCO,810,-,-,-,-
LUNGRO,384,7,-,-,-
LUZZI,2469,17,-,-,-
MAIERA',270,-,-,-,-
MALITO,212,-,-,-,-
MALVITO,381,9,-,-,-
MANDATORICCIO,575,-,-,-,-
MANGONE,553,-,-,-,-
MARANO MARCHESATO,1105,8,-,-,-
MARANO PRINCIPATO,836,-,-,-,-
MARZI,259,-,-,-,-
MENDICINO,2971,9,-,-,-
MONGRASSANO,520,6,-,-,-
MONTALTO UFFUGO,7506,29,-,-,-
MONTEGIORDANO,405,-,-,-,-
MORANO CALABRO,501,10,-,-,-
MORMANNO,278,11,-,-,-
MOTTAFOLLONE,215,-,-,-,-
NOCARA,51,-,-,-,-
ORIOLO,158,-,-,-,-
ORSOMARSO,266,-,-,-,-
PALUDI,233,-,-,-,-
PANETTIERI,39,-,-,-,-
PAOLA,4016,37,-,-,-
PAPASIDERO,41,-,-,-,-
PARENTI,587,-,-,-,-
PATERNO CALABRO,454,-,-,-,-
PEDIVIGLIANO,212,-,-,-,-
PIANE CRATI,390,-,-,-,-
PIETRAFITTA,232,-,-,-,-
PIETRAPAOLA,307,-,-,-,-
PLATACI,96,-,-,-,-
PRAIA A MARE,1191,7,-,-,-
RENDE,12785,61,-,-,-
ROCCA IMPERIALE,374,-,-,-,-
ROGGIANO GRAVINA,1555,18,-,-,-
ROGLIANO,1593,11,-,-,-
ROSE,1246,9,-,-,-
ROSETO CAPO SPULICO,204,-,-,-,-
ROTA GRECA,253,-,-,-,-
ROVITO,532,-,-,-,-
SAN BASILE,148,-,-,-,-
SAN BENEDETTO ULLANO,293,-,-,-,-
SAN COSMO ALBANESE,202,6,-,-,-
SAN DEMETRIO CORONE,735,-,-,-,-
SAN DONATO DI NINEA,292,-,-,-,-
SAN FILI,587,6,-,-,-
SAN GIORGIO ALBANESE,403,6,-,-,-
SAN GIOVANNI IN FIORE,4355,34,-,-,-
SAN LORENZO BELLIZZI,79,-,-,-,-
SAN LORENZO DEL VALLO,557,-,-,-,-
SAN LUCIDO,1156,11,-,-,-
SAN MARCO ARGENTANO,1881,7,-,-,-
SAN MARTINO DI FINITA,276,-,-,-,-
SAN NICOLA ARCELLA,312,-,-,-,-
SAN PIETRO IN AMANTEA,143,-,-,-,-
SAN PIETRO IN GUARANO,1243,10,-,-,-
SAN SOSTI,449,7,-,-,-
SAN VINCENZO LA COSTA,761,-,-,-,-
SANGINETO,175,-,-,-,-
SANTA CATERINA ALBANESE,132,-,-,-,-
SANTA DOMENICA TALAO,81,-,-,-,-
SANTA MARIA DEL CEDRO,877,-,-,-,-
SANTA SOFIA D'EPIRO,340,7,-,-,-
SANT'AGATA DI ESARO,133,-,-,-,-
SANTO STEFANO DI ROGLIANO,720,-,-,-,-
SARACENA,967,8,-,-,-
SCALA COELI,60,-,-,-,-
SCALEA,2361,8,-,-,-
SCIGLIANO,231,-,-,-,-
SERRA D'AIELLO,176,-,-,-,-
SPEZZANO ALBANESE,1380,22,-,-,-
SPEZZANO DELLA SILA,1097,16,-,-,-
TARSIA,480,-,-,-,-
TERRANOVA DA SIBARI,1082,14,-,-,-
TERRAVECCHIA,110,-,-,-,-
TORANO CASTELLO,1053,22,-,-,-
TORTORA,1011,9,-,-,-
TREBISACCE,2080,18,-,-,-
VACCARIZZO ALBANESE,264,-,-,-,-
VERBICARO,316,7,-,-,-
VILLAPIANA,902,-,-,-,-
ZUMPANO,861,-,-,-,-
