Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,178,-,-,-,-
ACQUAPPESA,224,-,-,-,-
ACRI,2888,30,-,-,-
AIELLO CALABRO,213,-,-,-,-
AIETA,21,-,-,-,-
ALBIDONA,227,-,-,-,-
ALESSANDRIA DEL CARRETTO,29,-,-,-,-
ALTILIA,159,-,-,-,-
ALTOMONTE,710,-,-,-,-
ALTRA ASP,963,12,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,3261,23,-,-,-
AMENDOLARA,227,-,-,-,-
APRIGLIANO,481,10,-,-,-
BELMONTE CALABRO,289,-,-,-,-
BELSITO,186,-,-,-,-
BELVEDERE MARITTIMO,1285,10,-,-,-
BIANCHI,266,-,-,-,-
BISIGNANO,1643,17,-,-,-
BOCCHIGLIERO,124,7,-,-,-
BONIFATI,285,-,-,-,-
BUONVICINO,253,-,-,-,-
CALOPEZZATI,309,-,-,-,-
CALOVETO,258,-,-,-,-
CAMPANA,259,6,-,-,-
CANNA,72,-,-,-,-
CARIATI,935,13,-,-,-
CAROLEI,507,-,-,-,-
CARPANZANO,15,-,-,-,-
CASALI DEL MANCO,2037,20,-,-,-
CASSANO ALLO IONIO,2956,29,-,-,-
CASTIGLIONE COSENTINO,625,6,-,-,-
CASTROLIBERO,1941,16,-,-,-
CASTROREGIO,41,-,-,-,-
CASTROVILLARI,3007,25,-,-,-
CELICO,453,7,-,-,-
CELLARA,90,-,-,-,-
CERCHIARA DI CALABRIA,295,-,-,-,-
CERISANO,543,-,-,-,-
CERVICATI,140,-,-,-,-
CERZETO,249,-,-,-,-
CETRARO,1714,20,-,-,-
CIVITA,52,-,-,-,-
CLETO,175,-,-,-,-
COLOSIMI,227,-,-,-,-
CORIGLIANO-ROSSANO,16267,152,-,-,-
COSENZA,14009,132,-,-,-
CROPALATI,161,-,-,-,-
CROSIA,1864,14,-,-,-
DIAMANTE,512,-,-,-,-
DIPIGNANO,888,8,-,-,-
DOMANICO,208,-,-,-,-
FAGNANO CASTELLO,324,-,-,-,-
FALCONARA ALBANESE,232,-,-,-,-
FIGLINE VEGLIATURO,256,-,-,-,-
FIRMO,205,-,-,-,-
FIUMEFREDDO BRUZIO,564,-,-,-,-
FRANCAVILLA MARITTIMA,450,-,-,-,-
FRASCINETO,308,-,-,-,-
FUSCALDO,1407,8,-,-,-
GRIMALDI,315,-,-,-,-
GRISOLIA,405,-,-,-,-
GUARDIA PIEMONTESE,250,-,-,-,-
LAGO,456,-,-,-,-
LAINO BORGO,293,-,-,-,-
LAINO CASTELLO,137,-,-,-,-
LAPPANO,146,-,-,-,-
LATTARICO,793,6,-,-,-
LONGOBARDI,333,19,-,-,-
LONGOBUCCO,567,-,-,-,-
LUNGRO,281,6,-,-,-
LUZZI,1725,15,-,-,-
MAIERA',172,-,-,-,-
MALITO,103,-,-,-,-
MALVITO,214,6,-,-,-
MANDATORICCIO,448,-,-,-,-
MANGONE,369,-,-,-,-
MARANO MARCHESATO,732,8,-,-,-
MARANO PRINCIPATO,539,-,-,-,-
MARZI,196,-,-,-,-
MENDICINO,1960,7,-,-,-
MONGRASSANO,361,-,-,-,-
MONTALTO UFFUGO,4974,22,-,-,-
MONTEGIORDANO,266,-,-,-,-
MORANO CALABRO,281,9,-,-,-
MORMANNO,215,8,-,-,-
MOTTAFOLLONE,125,-,-,-,-
NOCARA,36,-,-,-,-
ORIOLO,131,-,-,-,-
ORSOMARSO,188,-,-,-,-
PALUDI,129,-,-,-,-
PANETTIERI,36,-,-,-,-
PAOLA,2492,27,-,-,-
PAPASIDERO,33,-,-,-,-
PARENTI,475,-,-,-,-
PATERNO CALABRO,314,-,-,-,-
PEDIVIGLIANO,129,-,-,-,-
PIANE CRATI,267,-,-,-,-
PIETRAFITTA,162,-,-,-,-
PIETRAPAOLA,187,-,-,-,-
PLATACI,74,-,-,-,-
PRAIA A MARE,591,7,-,-,-
RENDE,8215,48,-,-,-
ROCCA IMPERIALE,310,-,-,-,-
ROGGIANO GRAVINA,1097,13,-,-,-
ROGLIANO,1186,9,-,-,-
ROSE,840,8,-,-,-
ROSETO CAPO SPULICO,152,-,-,-,-
ROTA GRECA,163,-,-,-,-
ROVITO,400,-,-,-,-
SAN BASILE,95,-,-,-,-
SAN BENEDETTO ULLANO,239,-,-,-,-
SAN COSMO ALBANESE,144,6,-,-,-
SAN DEMETRIO CORONE,364,-,-,-,-
SAN DONATO DI NINEA,169,-,-,-,-
SAN FILI,438,-,-,-,-
SAN GIORGIO ALBANESE,182,-,-,-,-
SAN GIOVANNI IN FIORE,3228,32,-,-,-
SAN LORENZO BELLIZZI,54,-,-,-,-
SAN LORENZO DEL VALLO,350,-,-,-,-
SAN LUCIDO,730,8,-,-,-
SAN MARCO ARGENTANO,1248,7,-,-,-
SAN MARTINO DI FINITA,149,-,-,-,-
SAN NICOLA ARCELLA,223,-,-,-,-
SAN PIETRO IN AMANTEA,96,-,-,-,-
SAN PIETRO IN GUARANO,731,9,-,-,-
SAN SOSTI,284,7,-,-,-
SAN VINCENZO LA COSTA,468,-,-,-,-
SANGINETO,143,-,-,-,-
SANTA CATERINA ALBANESE,88,-,-,-,-
SANTA DOMENICA TALAO,61,-,-,-,-
SANTA MARIA DEL CEDRO,642,-,-,-,-
SANTA SOFIA D'EPIRO,203,7,-,-,-
SANT'AGATA DI ESARO,117,-,-,-,-
SANTO STEFANO DI ROGLIANO,487,-,-,-,-
SARACENA,675,-,-,-,-
SCALA COELI,33,-,-,-,-
SCALEA,1572,8,-,-,-
SCIGLIANO,131,-,-,-,-
SERRA D'AIELLO,110,-,-,-,-
SPEZZANO ALBANESE,938,16,-,-,-
SPEZZANO DELLA SILA,750,13,-,-,-
TARSIA,283,-,-,-,-
TERRANOVA DA SIBARI,864,12,-,-,-
TERRAVECCHIA,66,-,-,-,-
TORANO CASTELLO,777,19,-,-,-
TORTORA,502,8,-,-,-
TREBISACCE,1283,12,-,-,-
VACCARIZZO ALBANESE,151,-,-,-,-
VERBICARO,201,6,-,-,-
VILLAPIANA,631,-,-,-,-
ZUMPANO,641,-,-,-,-
