Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,141,-,-,-,-
ACQUAPPESA,174,-,-,-,-
ACRI,2184,27,-,-,-
AIELLO CALABRO,137,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,178,-,-,-,-
ALESSANDRIA DEL CARRETTO,14,-,-,-,-
ALTILIA,106,-,-,-,-
ALTOMONTE,592,-,-,-,-
ALTRA ASP,893,9,-,-,-
ALTRA REGIONE,597,11,-,-,-
AMANTEA,2341,20,-,-,-
AMENDOLARA,208,-,-,-,-
APRIGLIANO,407,10,-,-,-
BELMONTE CALABRO,216,-,-,-,-
BELSITO,159,-,-,-,-
BELVEDERE MARITTIMO,960,10,-,-,-
BIANCHI,218,-,-,-,-
BISIGNANO,1371,17,-,-,-
BOCCHIGLIERO,116,7,-,-,-
BONIFATI,207,-,-,-,-
BUONVICINO,172,-,-,-,-
CALOPEZZATI,201,-,-,-,-
CALOVETO,201,-,-,-,-
CAMPANA,234,6,-,-,-
CANNA,58,-,-,-,-
CARIATI,763,12,-,-,-
CAROLEI,411,-,-,-,-
CARPANZANO,12,-,-,-,-
CASALI DEL MANCO,1654,20,-,-,-
CASSANO ALLO IONIO,2480,29,-,-,-
CASTIGLIONE COSENTINO,449,-,-,-,-
CASTROLIBERO,1552,14,-,-,-
CASTROREGIO,16,-,-,-,-
CASTROVILLARI,2363,24,-,-,-
CELICO,416,7,-,-,-
CELLARA,77,-,-,-,-
CERCHIARA DI CALABRIA,224,-,-,-,-
CERISANO,445,-,-,-,-
CERVICATI,107,-,-,-,-
CERZETO,215,-,-,-,-
CETRARO,1420,16,-,-,-
CIVITA,42,-,-,-,-
CLETO,115,-,-,-,-
COLOSIMI,177,-,-,-,-
CORIGLIANO-ROSSANO,13295,148,-,-,-
COSENZA,11262,118,-,-,-
CROPALATI,130,-,-,-,-
CROSIA,1437,13,-,-,-
DIAMANTE,312,-,-,-,-
DIPIGNANO,743,8,-,-,-
DOMANICO,167,-,-,-,-
FAGNANO CASTELLO,287,-,-,-,-
FALCONARA ALBANESE,203,-,-,-,-
FIGLINE VEGLIATURO,216,-,-,-,-
FIRMO,164,-,-,-,-
FIUMEFREDDO BRUZIO,443,-,-,-,-
FRANCAVILLA MARITTIMA,355,-,-,-,-
FRASCINETO,245,-,-,-,-
FUSCALDO,1162,8,-,-,-
GRIMALDI,183,-,-,-,-
GRISOLIA,335,-,-,-,-
GUARDIA PIEMONTESE,173,-,-,-,-
LAGO,310,-,-,-,-
LAINO BORGO,236,-,-,-,-
LAINO CASTELLO,109,-,-,-,-
LAPPANO,121,-,-,-,-
LATTARICO,607,-,-,-,-
LONGOBARDI,252,17,-,-,-
LONGOBUCCO,429,-,-,-,-
LUNGRO,209,6,-,-,-
LUZZI,1368,14,-,-,-
MAIERA',95,-,-,-,-
MALITO,77,-,-,-,-
MALVITO,170,-,-,-,-
MANDATORICCIO,410,-,-,-,-
MANGONE,302,-,-,-,-
MARANO MARCHESATO,560,8,-,-,-
MARANO PRINCIPATO,418,-,-,-,-
MARZI,178,-,-,-,-
MENDICINO,1546,6,-,-,-
MONGRASSANO,285,-,-,-,-
MONTALTO UFFUGO,3916,22,-,-,-
MONTEGIORDANO,200,-,-,-,-
MORANO CALABRO,261,9,-,-,-
MORMANNO,187,8,-,-,-
MOTTAFOLLONE,93,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,111,-,-,-,-
ORSOMARSO,148,-,-,-,-
PALUDI,102,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1842,23,-,-,-
PAPASIDERO,29,-,-,-,-
PARENTI,372,-,-,-,-
PATERNO CALABRO,270,-,-,-,-
PEDIVIGLIANO,106,-,-,-,-
PIANE CRATI,241,-,-,-,-
PIETRAFITTA,145,-,-,-,-
PIETRAPAOLA,149,-,-,-,-
PLATACI,59,-,-,-,-
PRAIA A MARE,453,7,-,-,-
RENDE,6410,45,-,-,-
ROCCA IMPERIALE,282,-,-,-,-
ROGGIANO GRAVINA,965,13,-,-,-
ROGLIANO,965,8,-,-,-
ROSE,687,8,-,-,-
ROSETO CAPO SPULICO,142,-,-,-,-
ROTA GRECA,128,-,-,-,-
ROVITO,362,-,-,-,-
SAN BASILE,67,-,-,-,-
SAN BENEDETTO ULLANO,215,-,-,-,-
SAN COSMO ALBANESE,127,6,-,-,-
SAN DEMETRIO CORONE,284,-,-,-,-
SAN DONATO DI NINEA,138,-,-,-,-
SAN FILI,353,-,-,-,-
SAN GIORGIO ALBANESE,124,-,-,-,-
SAN GIOVANNI IN FIORE,2776,31,-,-,-
SAN LORENZO BELLIZZI,34,-,-,-,-
SAN LORENZO DEL VALLO,297,-,-,-,-
SAN LUCIDO,672,8,-,-,-
SAN MARCO ARGENTANO,1010,7,-,-,-
SAN MARTINO DI FINITA,123,-,-,-,-
SAN NICOLA ARCELLA,190,-,-,-,-
SAN PIETRO IN AMANTEA,47,-,-,-,-
SAN PIETRO IN GUARANO,527,7,-,-,-
SAN SOSTI,215,7,-,-,-
SAN VINCENZO LA COSTA,339,-,-,-,-
SANGINETO,116,-,-,-,-
SANTA CATERINA ALBANESE,68,-,-,-,-
SANTA DOMENICA TALAO,50,-,-,-,-
SANTA MARIA DEL CEDRO,540,-,-,-,-
SANTA SOFIA D'EPIRO,168,7,-,-,-
SANT'AGATA DI ESARO,106,-,-,-,-
SANTO STEFANO DI ROGLIANO,387,-,-,-,-
SARACENA,496,-,-,-,-
SCALA COELI,31,-,-,-,-
SCALEA,1207,8,-,-,-
SCIGLIANO,98,-,-,-,-
SERRA D'AIELLO,86,-,-,-,-
SPEZZANO ALBANESE,840,16,-,-,-
SPEZZANO DELLA SILA,642,12,-,-,-
TARSIA,192,-,-,-,-
TERRANOVA DA SIBARI,799,12,-,-,-
TERRAVECCHIA,44,-,-,-,-
TORANO CASTELLO,653,19,-,-,-
TORTORA,438,7,-,-,-
TREBISACCE,939,11,-,-,-
VACCARIZZO ALBANESE,130,-,-,-,-
VERBICARO,191,6,-,-,-
VILLAPIANA,551,-,-,-,-
ZUMPANO,549,-,-,-,-
