Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,211,-,-,-,-
ACQUAPPESA,392,-,-,-,-
ACRI,4141,36,-,-,-
AIELLO CALABRO,339,-,-,-,-
AIETA,68,-,-,-,-
ALBIDONA,380,-,-,-,-
ALESSANDRIA DEL CARRETTO,51,-,-,-,-
ALTILIA,208,-,-,-,-
ALTOMONTE,986,-,-,-,-
ALTRA ASP,1048,15,-,-,-
ALTRA REGIONE,599,11,-,-,-
AMANTEA,4738,25,-,-,-
AMENDOLARA,313,-,-,-,-
APRIGLIANO,619,10,-,-,-
BELMONTE CALABRO,427,-,-,-,-
BELSITO,265,-,-,-,-
BELVEDERE MARITTIMO,1870,10,-,-,-
BIANCHI,386,-,-,-,-
BISIGNANO,2203,21,-,-,-
BOCCHIGLIERO,144,7,-,-,-
BONIFATI,414,7,-,-,-
BUONVICINO,361,-,-,-,-
CALOPEZZATI,491,-,-,-,-
CALOVETO,378,-,-,-,-
CAMPANA,287,7,-,-,-
CANNA,141,-,-,-,-
CARIATI,1241,16,-,-,-
CAROLEI,834,-,-,-,-
CARPANZANO,30,-,-,-,-
CASALI DEL MANCO,2844,25,-,-,-
CASSANO ALLO IONIO,4254,30,-,-,-
CASTIGLIONE COSENTINO,976,10,-,-,-
CASTROLIBERO,2735,18,-,-,-
CASTROREGIO,46,-,-,-,-
CASTROVILLARI,4467,33,-,-,-
CELICO,592,8,-,-,-
CELLARA,132,-,-,-,-
CERCHIARA DI CALABRIA,481,10,-,-,-
CERISANO,832,-,-,-,-
CERVICATI,195,-,-,-,-
CERZETO,332,-,-,-,-
CETRARO,2543,25,-,-,-
CIVITA,67,-,-,-,-
CLETO,294,-,-,-,-
COLOSIMI,411,-,-,-,-
CORIGLIANO-ROSSANO,23104,165,-,-,-
COSENZA,19955,156,-,-,-
CROPALATI,249,-,-,-,-
CROSIA,2704,17,-,-,-
DIAMANTE,939,8,-,-,-
DIPIGNANO,1347,12,-,-,-
DOMANICO,385,-,-,-,-
FAGNANO CASTELLO,472,6,-,-,-
FALCONARA ALBANESE,340,-,-,-,-
FIGLINE VEGLIATURO,365,-,-,-,-
FIRMO,340,-,-,-,-
FIUMEFREDDO BRUZIO,942,-,-,-,-
FRANCAVILLA MARITTIMA,662,-,-,-,-
FRASCINETO,467,-,-,-,-
FUSCALDO,2015,8,-,-,-
GRIMALDI,470,-,-,-,-
GRISOLIA,500,-,-,-,-
GUARDIA PIEMONTESE,463,-,-,-,-
LAGO,671,-,-,-,-
LAINO BORGO,462,-,-,-,-
LAINO CASTELLO,184,-,-,-,-
LAPPANO,186,-,-,-,-
LATTARICO,1107,6,-,-,-
LONGOBARDI,566,23,-,-,-
LONGOBUCCO,786,-,-,-,-
LUNGRO,373,6,-,-,-
LUZZI,2381,17,-,-,-
MAIERA',239,-,-,-,-
MALITO,202,-,-,-,-
MALVITO,355,8,-,-,-
MANDATORICCIO,555,-,-,-,-
MANGONE,521,-,-,-,-
MARANO MARCHESATO,1045,8,-,-,-
MARANO PRINCIPATO,777,-,-,-,-
MARZI,241,-,-,-,-
MENDICINO,2825,9,-,-,-
MONGRASSANO,495,6,-,-,-
MONTALTO UFFUGO,7147,29,-,-,-
MONTEGIORDANO,388,-,-,-,-
MORANO CALABRO,432,10,-,-,-
MORMANNO,274,11,-,-,-
MOTTAFOLLONE,190,-,-,-,-
NOCARA,46,-,-,-,-
ORIOLO,155,-,-,-,-
ORSOMARSO,260,-,-,-,-
PALUDI,223,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3847,34,-,-,-
PAPASIDERO,41,-,-,-,-
PARENTI,582,-,-,-,-
PATERNO CALABRO,436,-,-,-,-
PEDIVIGLIANO,212,-,-,-,-
PIANE CRATI,366,-,-,-,-
PIETRAFITTA,220,-,-,-,-
PIETRAPAOLA,290,-,-,-,-
PLATACI,92,-,-,-,-
PRAIA A MARE,1139,7,-,-,-
RENDE,11978,57,-,-,-
ROCCA IMPERIALE,369,-,-,-,-
ROGGIANO GRAVINA,1499,17,-,-,-
ROGLIANO,1515,11,-,-,-
ROSE,1201,8,-,-,-
ROSETO CAPO SPULICO,200,-,-,-,-
ROTA GRECA,248,-,-,-,-
ROVITO,517,-,-,-,-
SAN BASILE,137,-,-,-,-
SAN BENEDETTO ULLANO,288,-,-,-,-
SAN COSMO ALBANESE,195,6,-,-,-
SAN DEMETRIO CORONE,674,-,-,-,-
SAN DONATO DI NINEA,286,-,-,-,-
SAN FILI,564,6,-,-,-
SAN GIORGIO ALBANESE,386,6,-,-,-
SAN GIOVANNI IN FIORE,4180,34,-,-,-
SAN LORENZO BELLIZZI,79,-,-,-,-
SAN LORENZO DEL VALLO,534,-,-,-,-
SAN LUCIDO,1093,10,-,-,-
SAN MARCO ARGENTANO,1789,7,-,-,-
SAN MARTINO DI FINITA,259,-,-,-,-
SAN NICOLA ARCELLA,299,-,-,-,-
SAN PIETRO IN AMANTEA,129,-,-,-,-
SAN PIETRO IN GUARANO,1158,10,-,-,-
SAN SOSTI,429,7,-,-,-
SAN VINCENZO LA COSTA,704,-,-,-,-
SANGINETO,170,-,-,-,-
SANTA CATERINA ALBANESE,130,-,-,-,-
SANTA DOMENICA TALAO,80,-,-,-,-
SANTA MARIA DEL CEDRO,852,-,-,-,-
SANTA SOFIA D'EPIRO,324,7,-,-,-
SANT'AGATA DI ESARO,127,-,-,-,-
SANTO STEFANO DI ROGLIANO,665,-,-,-,-
SARACENA,896,6,-,-,-
SCALA COELI,41,-,-,-,-
SCALEA,2297,8,-,-,-
SCIGLIANO,222,-,-,-,-
SERRA D'AIELLO,166,-,-,-,-
SPEZZANO ALBANESE,1322,21,-,-,-
SPEZZANO DELLA SILA,1076,15,-,-,-
TARSIA,437,-,-,-,-
TERRANOVA DA SIBARI,1040,13,-,-,-
TERRAVECCHIA,103,-,-,-,-
TORANO CASTELLO,1003,20,-,-,-
TORTORA,944,9,-,-,-
TREBISACCE,1944,16,-,-,-
VACCARIZZO ALBANESE,253,-,-,-,-
VERBICARO,301,6,-,-,-
VILLAPIANA,873,-,-,-,-
ZUMPANO,841,-,-,-,-
