Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,138,-,-,-,-
ACQUAPPESA,168,-,-,-,-
ACRI,2103,27,-,-,-
AIELLO CALABRO,130,-,-,-,-
AIETA,12,-,-,-,-
ALBIDONA,165,-,-,-,-
ALESSANDRIA DEL CARRETTO,12,-,-,-,-
ALTILIA,103,-,-,-,-
ALTOMONTE,577,-,-,-,-
ALTRA ASP,889,9,-,-,-
ALTRA REGIONE,594,11,-,-,-
AMANTEA,2231,19,-,-,-
AMENDOLARA,205,-,-,-,-
APRIGLIANO,398,10,-,-,-
BELMONTE CALABRO,196,-,-,-,-
BELSITO,136,-,-,-,-
BELVEDERE MARITTIMO,912,10,-,-,-
BIANCHI,211,-,-,-,-
BISIGNANO,1341,17,-,-,-
BOCCHIGLIERO,116,7,-,-,-
BONIFATI,201,-,-,-,-
BUONVICINO,160,-,-,-,-
CALOPEZZATI,187,-,-,-,-
CALOVETO,193,-,-,-,-
CAMPANA,234,6,-,-,-
CANNA,55,-,-,-,-
CARIATI,738,12,-,-,-
CAROLEI,403,-,-,-,-
CARPANZANO,11,-,-,-,-
CASALI DEL MANCO,1605,20,-,-,-
CASSANO ALLO IONIO,2427,29,-,-,-
CASTIGLIONE COSENTINO,422,-,-,-,-
CASTROLIBERO,1487,13,-,-,-
CASTROREGIO,15,-,-,-,-
CASTROVILLARI,2262,23,-,-,-
CELICO,406,7,-,-,-
CELLARA,67,-,-,-,-
CERCHIARA DI CALABRIA,219,-,-,-,-
CERISANO,427,-,-,-,-
CERVICATI,105,-,-,-,-
CERZETO,208,-,-,-,-
CETRARO,1343,16,-,-,-
CIVITA,42,-,-,-,-
CLETO,111,-,-,-,-
COLOSIMI,175,-,-,-,-
CORIGLIANO-ROSSANO,12914,147,-,-,-
COSENZA,10843,115,-,-,-
CROPALATI,126,-,-,-,-
CROSIA,1409,13,-,-,-
DIAMANTE,299,-,-,-,-
DIPIGNANO,714,8,-,-,-
DOMANICO,165,-,-,-,-
FAGNANO CASTELLO,271,-,-,-,-
FALCONARA ALBANESE,189,-,-,-,-
FIGLINE VEGLIATURO,205,-,-,-,-
FIRMO,154,-,-,-,-
FIUMEFREDDO BRUZIO,416,-,-,-,-
FRANCAVILLA MARITTIMA,346,-,-,-,-
FRASCINETO,230,-,-,-,-
FUSCALDO,1120,8,-,-,-
GRIMALDI,169,-,-,-,-
GRISOLIA,322,-,-,-,-
GUARDIA PIEMONTESE,172,-,-,-,-
LAGO,301,-,-,-,-
LAINO BORGO,215,-,-,-,-
LAINO CASTELLO,97,-,-,-,-
LAPPANO,120,-,-,-,-
LATTARICO,591,-,-,-,-
LONGOBARDI,233,17,-,-,-
LONGOBUCCO,419,-,-,-,-
LUNGRO,197,6,-,-,-
LUZZI,1326,14,-,-,-
MAIERA',90,-,-,-,-
MALITO,76,-,-,-,-
MALVITO,163,-,-,-,-
MANDATORICCIO,399,-,-,-,-
MANGONE,297,-,-,-,-
MARANO MARCHESATO,535,8,-,-,-
MARANO PRINCIPATO,410,-,-,-,-
MARZI,176,-,-,-,-
MENDICINO,1491,6,-,-,-
MONGRASSANO,272,-,-,-,-
MONTALTO UFFUGO,3752,22,-,-,-
MONTEGIORDANO,190,-,-,-,-
MORANO CALABRO,256,9,-,-,-
MORMANNO,184,8,-,-,-
MOTTAFOLLONE,92,-,-,-,-
NOCARA,34,-,-,-,-
ORIOLO,109,-,-,-,-
ORSOMARSO,146,-,-,-,-
PALUDI,97,-,-,-,-
PANETTIERI,18,-,-,-,-
PAOLA,1712,23,-,-,-
PAPASIDERO,27,-,-,-,-
PARENTI,355,-,-,-,-
PATERNO CALABRO,259,-,-,-,-
PEDIVIGLIANO,101,-,-,-,-
PIANE CRATI,228,-,-,-,-
