Data,Comune,Casi da inizio pandemia,Incremento,Settimana,Casi/100000
20211123,RENDE,1568,0,48,39
20211124,RENDE,1568,0,48,37
20211125,RENDE,1568,0,48,20
20211126,RENDE,1581,13,48,54
20211127,RENDE,1581,0,48,54
20211128,RENDE,1581,0,48,39
20211129,RENDE,1581,0,49,37
20211130,RENDE,1586,5,49,51
20211201,RENDE,1596,10,49,79
20211202,RENDE,1604,8,49,101
20211203,RENDE,1605,1,49,68
20211204,RENDE,1605,0,49,68
20211205,RENDE,1617,12,49,101
20211206,RENDE,1617,0,50,101
20211207,RENDE,1621,4,50,99
20211208,RENDE,1626,5,50,85
20211209,RENDE,1626,0,50,62
20211210,RENDE,1639,13,50,96
20211211,RENDE,1642,3,50,104
20211212,RENDE,1660,18,50,121
20211213,RENDE,1660,0,51,121
20211214,RENDE,1660,0,51,110
20211215,RENDE,1661,1,51,99
20211216,RENDE,1675,14,51,138
20211217,RENDE,1690,15,51,144
20211218,RENDE,1691,1,51,138
20211219,RENDE,1695,4,51,99
20211220,RENDE,1695,0,52,99
20211221,RENDE,1707,12,52,132
20211222,RENDE,1721,14,52,169
20211223,RENDE,1722,1,52,132
20211224,RENDE,1722,0,52,90
20211225,RENDE,1764,42,52,206
