Data,Comune,Casi da inizio pandemia,Incremento,Settimana,Casi/100000
20211024,COSENZA,2616,3,43,58
20211025,COSENZA,2616,0,44,53
20211026,COSENZA,2617,1,44,37
20211027,COSENZA,2621,4,44,35
20211028,COSENZA,2624,3,44,26
20211029,COSENZA,2625,1,44,27
20211030,COSENZA,2626,1,44,20
20211031,COSENZA,2636,10,44,31
20211101,COSENZA,2636,0,45,31
20211102,COSENZA,2636,0,45,29
20211103,COSENZA,2637,1,45,24
20211104,COSENZA,2643,6,45,29
20211105,COSENZA,2644,1,45,29
20211106,COSENZA,2651,7,45,38
20211107,COSENZA,2650,-1,45,21
20211108,COSENZA,2652,2,46,24
20211109,COSENZA,2651,-1,46,23
20211110,COSENZA,2656,5,46,29
20211111,COSENZA,2660,4,46,26
20211112,COSENZA,2664,4,46,31
20211113,COSENZA,2670,6,46,29
20211114,COSENZA,2671,1,46,32
20211115,COSENZA,2674,3,47,34
20211116,COSENZA,2676,2,47,38
20211117,COSENZA,2687,11,47,47
20211118,COSENZA,2698,11,47,58
20211119,COSENZA,2700,2,47,55
20211120,COSENZA,2710,10,47,61
20211121,COSENZA,2712,2,47,63
20211122,COSENZA,2713,1,48,59
20211123,COSENZA,2716,3,48,61
20211124,COSENZA,2725,9,48,58
20211125,COSENZA,2725,0,48,41
20211126,COSENZA,2739,14,48,59
20211127,COSENZA,2743,4,48,50
20211128,COSENZA,2749,6,48,56
20211129,COSENZA,2751,2,49,58
20211130,COSENZA,2752,1,49,55
20211201,COSENZA,2766,14,49,63
20211202,COSENZA,2769,3,49,67
20211203,COSENZA,2773,4,49,52
20211204,COSENZA,2773,0,49,46
20211205,COSENZA,2785,12,49,55
20211206,COSENZA,2783,-2,50,49
20211207,COSENZA,2797,14,50,69
20211208,COSENZA,2809,12,50,66
20211209,COSENZA,2813,4,50,67
20211210,COSENZA,2822,9,50,75
20211211,COSENZA,2830,8,50,87
20211212,COSENZA,2842,12,50,87
20211213,COSENZA,2845,3,51,95
20211214,COSENZA,2846,1,51,75
20211215,COSENZA,2860,14,51,78
20211216,COSENZA,2879,19,51,101
20211217,COSENZA,2892,13,51,107
20211218,COSENZA,2909,17,51,120
20211219,COSENZA,2916,7,51,113
20211220,COSENZA,2919,3,52,113
20211221,COSENZA,2921,2,52,114
20211222,COSENZA,2932,11,52,110
20211223,COSENZA,2961,29,52,125
20211224,COSENZA,2961,0,52,105
20211225,COSENZA,2996,35,52,133
